transactionnumber,date,expensetype,expensearea,supplier,amount,file,negative
2130497,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,196720.0,BART 03 - June.xlsx,1
2130497,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,ROCHE PRODUCTS LTD,37176.0,BART 03 - June.xlsx,1
2130497,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,26452.0,BART 03 - June.xlsx,1
2130497,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,73727.0,BART 03 - June.xlsx,1
2130544,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AAH,97047.0,BART 03 - June.xlsx,1
2130558,2020-06-03 00:00:00,CATERING EQUIPMENT,COVID-19 - ESTATES,ELIOR UK PLC,85522.0,BART 03 - June.xlsx,1
2130580,2020-06-03 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,122684.0,BART 03 - June.xlsx,1
2130580,2020-06-03 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,194047.0,BART 03 - June.xlsx,1
2130586,2020-06-03 00:00:00,BUILDINGS / STRUCTURE,THEATRE 3&4 RECOVERY CHILLER REPLACEMENT,JD SERVICES HVAC LTD,35948.0,BART 03 - June.xlsx,1
2130610,2020-06-03 00:00:00,BUILDINGS / STRUCTURE,14 & 15 FLOORS CONVERSION RLH - FOR COVID 19 WARDS,WATES CONSTRUCTION LTD,1741347.0,BART 03 - June.xlsx,1
2130633,2020-06-03 00:00:00,SOFTWARE MAINTENANCE,WXH A&C STAFFING,SECTRA LTD,39399.0,BART 03 - June.xlsx,1
2130645,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,QUALASEPT LTD T/A BATH ASU,25152.0,BART 03 - June.xlsx,1
2130647,2020-06-03 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,UNISURGE INTERNATIONAL LTD,34175.0,BART 03 - June.xlsx,1
2130647,2020-06-03 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,UNISURGE INTERNATIONAL LTD,30319.0,BART 03 - June.xlsx,1
2130647,2020-06-03 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,UNISURGE INTERNATIONAL LTD,30337.0,BART 03 - June.xlsx,1
2130647,2020-06-03 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,UNISURGE INTERNATIONAL LTD,28756.0,BART 03 - June.xlsx,1
2130647,2020-06-03 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,UNISURGE INTERNATIONAL LTD,57534.0,BART 03 - June.xlsx,1
2130687,2020-06-03 00:00:00,DRUGS: HOMECARE PASSTHROUGH,HOMECARE DRUGS RECHARGE,HEALTHCARE AT HOME LTD,30125.0,BART 03 - June.xlsx,1
2130699,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,147375.0,BART 03 - June.xlsx,1
2130699,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,173991.0,BART 03 - June.xlsx,1
2130699,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,117900.0,BART 03 - June.xlsx,1
2130699,2020-06-03 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,82149.0,BART 03 - June.xlsx,1
2130711,2020-06-03 00:00:00,PROFESSIONAL FEES CONTRIBUTION,CORPORATE DEVELOPMENT AND TRUST SECRETARY,CARE QUALITY COMMISION,1044521.0,BART 03 - June.xlsx,1
2130716,2020-06-03 00:00:00,R&D: LCRN PAYMENTS: OTHER TRUSTS,NORTH THAMES CRN 2019/20,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,133481.0,BART 03 - June.xlsx,1
2130725,2020-06-03 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),52771.0,BART 03 - June.xlsx,1
2130725,2020-06-03 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),358573.0,BART 03 - June.xlsx,1
2130726,2020-06-03 00:00:00,OTHER EXPENSES,TRUSTWIDE CANCER,TAUNTON & SOMERSET NHS TRUST,49902.0,BART 03 - June.xlsx,1
2130734,2020-06-03 00:00:00,OFFICE EQUIPMENT,COVID-19 - CORPORATE,OXFORD MEDICAL SIMULATION LTD,29989.0,BART 03 - June.xlsx,1
3622,2020-06-04 00:00:00,MEDICAL & SURGICAL EQUIPMENT,STRATEGIC SOURCING,SIMON JERSEY LTD,180144.0,BART 03 - June.xlsx,1
3622,2020-06-04 00:00:00,MEDICAL & SURGICAL EQUIPMENT,STRATEGIC SOURCING,SIMON JERSEY LTD,599880.0,BART 03 - June.xlsx,1
2130816,2020-06-05 00:00:00,MEDICAL & SURGICAL EQUIPMENT,REPLACEMENT OF REMOTE ISSUE FRIDGES - MDG 19/20,HAEMONETICS UK LTD,293460.0,BART 03 - June.xlsx,1
2130833,2020-06-05 00:00:00,NON-CLINICAL CONTRACT SERVICES,ENERGY & UTILITIES - SBH,CAPITAL HOSPITALS LTD,54233.0,BART 03 - June.xlsx,1
2130848,2020-06-05 00:00:00,CONSULTANCY FEES,EPR DEVELOPMENT AND SUPPORT,CLINISYS SOLUTIONS LTD,25600.0,BART 03 - June.xlsx,1
2130852,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AAH,119241.0,BART 03 - June.xlsx,1
2130852,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY DISPENSARY STOCK,AAH,34178.0,BART 03 - June.xlsx,1
2130852,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AAH,28873.0,BART 03 - June.xlsx,1
2130911,2020-06-05 00:00:00,IMAGING EQUIPMENT,P.A.C.S,SECTRA LTD,295540.0,BART 03 - June.xlsx,1
2130912,2020-06-05 00:00:00,REFUSE COLLECTION,WASTE DISPOSAL & CONSUMABLES,SKANSKA,48569.0,BART 03 - June.xlsx,1
2130912,2020-06-05 00:00:00,REFUSE COLLECTION,WASTE DISPOSAL & CONSUMABLES,SKANSKA,50411.0,BART 03 - June.xlsx,1
2130912,2020-06-05 00:00:00,REFUSE COLLECTION,WASTE DISPOSAL & CONSUMABLES,SKANSKA,49289.0,BART 03 - June.xlsx,1
2130947,2020-06-05 00:00:00,ANAESTHETIC EQUIPMENT & ACCESSORIES,NUCLEAR MEDICINE,PCCA LTD,38761.0,BART 03 - June.xlsx,1
2130952,2020-06-05 00:00:00,BUILDINGS / STRUCTURE,MATERNITY WORKS- NON DONATED,FOREST GATE CONSTRUCTION CO LTD,44094.0,BART 03 - June.xlsx,1
2130952,2020-06-05 00:00:00,BUILDINGS / STRUCTURE,MATERNITY WORKS- NON DONATED,FOREST GATE CONSTRUCTION CO LTD,109427.0,BART 03 - June.xlsx,1
2130954,2020-06-05 00:00:00,LAN MAINTENANCE,NETWORK AND SECURITY,BLOCK SOLUTIONS LTD,499556.0,BART 03 - June.xlsx,1
2130954,2020-06-05 00:00:00,MAINFRAME & IT INSTALLATIONS,NETWORK REPLACEMENT & MANAGED SERVICE 19/20,BLOCK SOLUTIONS LTD,155815.0,BART 03 - June.xlsx,1
2130962,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,102687.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),192486.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),224028.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),201024.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),67200.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),342000.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),898200.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),68686.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),281299.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),107880.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),130200.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),25064.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),43960.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),43960.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),34269.0,BART 03 - June.xlsx,1
2130982,2020-06-05 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,SUPPLY CHAIN COORDINATION LTD (SCCL),33796.0,BART 03 - June.xlsx,1
2130983,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,NUH PHARMACY STOCK,UNIVERSITY COLLEGE LONDON NHS FOUNDATION  TRUST,41313.0,BART 03 - June.xlsx,1
2130983,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,UNIVERSITY COLLEGE LONDON NHS FOUNDATION  TRUST,130260.0,BART 03 - June.xlsx,1
2130983,2020-06-05 00:00:00,JAC SINGLE STOCK SYSTEM,WXH PHARMACY DISPENSARY STOCK,UNIVERSITY COLLEGE LONDON NHS FOUNDATION  TRUST,31011.0,BART 03 - June.xlsx,1
3620,2020-06-10 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,COMMERCIAL LTD,89250.0,BART 03 - June.xlsx,1
2131008,2020-06-10 00:00:00,FURNITURE & FITTINGS,COVID-19 - ESTATES,ANDRAC LTD,73680.0,BART 03 - June.xlsx,1
2131030,2020-06-10 00:00:00,COMPUTER HARDWARE,COVID-19 - CORPORATE,CCS MEDIA LTD,47658.0,BART 03 - June.xlsx,1
2131030,2020-06-10 00:00:00,COMPUTER HARDWARE,COVID-19 - CORPORATE,CCS MEDIA LTD,73008.0,BART 03 - June.xlsx,1
2131037,2020-06-10 00:00:00,ESTATES SERVICES CONTRACTS,COVID-19 - ESTATES,MID CONTRACTING & CONSULTING LTD,68255.0,BART 03 - June.xlsx,1
2131053,2020-06-10 00:00:00,POSTAGE,POSTAGE - RLH,SWISS POST SOLUTIONS LTD,69648.0,BART 03 - June.xlsx,1
2131053,2020-06-10 00:00:00,HIRE OF TRANSPORT,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,344831.0,BART 03 - June.xlsx,1
2131063,2020-06-10 00:00:00,ESTATES SERVICES CONTRACTS,COVID-19 - ESTATES,MHL GROUP SERVICES LTD,26017.0,BART 03 - June.xlsx,1
2131101,2020-06-10 00:00:00,TRAVEL/TRANSPORT EXPENSES,COVID-19 - ESTATES,QUEEN MARY UNIVERSITY OF LONDON,34171.0,BART 03 - June.xlsx,1
2131141,2020-06-10 00:00:00,OTHER EXPENSES,NORTH THAMES CRN 2020/21,UNIVERSITY OF SOUTHAMPTON,37290.0,BART 03 - June.xlsx,1
2131167,2020-06-10 00:00:00,NON-CLINICAL CONTRACT SERVICES,ENERGY & UTILITIES - SBH,CAPITAL HOSPITALS LTD,54233.0,BART 03 - June.xlsx,1
2131169,2020-06-10 00:00:00,INFORMATION TECHNOLOGY  LICENCES,ELCFIS CONSORTIUM,VERSION 1 SOLUTIONS LTD,29179.0,BART 03 - June.xlsx,1
2131201,2020-06-10 00:00:00,MEDICAL & SURGICAL EQUIPMENT,3X    PORTABLE SCANNERS,MINDRAY (UK) LTD,44196.0,BART 03 - June.xlsx,1
2131229,2020-06-10 00:00:00,RECRUITMENT EXPENSES,TEMPORARY RECRUITMENT,PULSE HEALTHCARE LTD,202803.0,BART 03 - June.xlsx,1
2131229,2020-06-10 00:00:00,RECRUITMENT EXPENSES,NGH CORPORATE SERVICES COVID19,PULSE HEALTHCARE LTD,95985.0,BART 03 - June.xlsx,1
2131229,2020-06-10 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,163359.0,BART 03 - June.xlsx,1
2131229,2020-06-10 00:00:00,RECRUITMENT EXPENSES,NGH CORPORATE SERVICES COVID19,PULSE HEALTHCARE LTD,48399.0,BART 03 - June.xlsx,1
2131265,2020-06-10 00:00:00,SOFTWARE MAINTENANCE,SERVER,INSIGHT DIRECT UK LTD,103080.0,BART 03 - June.xlsx,1
2131265,2020-06-10 00:00:00,COMPUTER MAINTENANCE,SERVER,INSIGHT DIRECT UK LTD,66241.0,BART 03 - June.xlsx,1
2131303,2020-06-10 00:00:00,POSTAGE,COVID19 STORE - NUH,SLE LTD,61222.0,BART 03 - June.xlsx,1
2131369,2020-06-10 00:00:00,ESTATES SERVICES CONTRACTS,NGH CLINICAL PHYSICS,MTS HEALTH LTD,29934.0,BART 03 - June.xlsx,1
2131402,2020-06-10 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),39561.0,BART 03 - June.xlsx,1
2131402,2020-06-10 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),229985.0,BART 03 - June.xlsx,1
2131402,2020-06-10 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),54049.0,BART 03 - June.xlsx,1
3601,2020-06-11 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,NFI DIET LTD,60000.0,BART 03 - June.xlsx,1
2131431,2020-06-12 00:00:00,BUILDINGS / STRUCTURE,C BLOCK - FORMATION OF DECANT SPACE,INIGO CONTRACT SERVICES LTD,173360.0,BART 03 - June.xlsx,1
2131465,2020-06-12 00:00:00,LAB EQUIPMENT,HAEMATOLOGY ONCOLOGY,ANTHONY NOLAN TRUST (THE),35953.0,BART 03 - June.xlsx,1
2131468,2020-06-12 00:00:00,MEDICAL & SURGICAL EQUIPMENT,NGH BEDFORD WARD,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,34636.0,BART 03 - June.xlsx,1
2131470,2020-06-12 00:00:00,POSTAGE,POSTAGE - RLH,SWISS POST SOLUTIONS LTD,63770.0,BART 03 - June.xlsx,1
2131475,2020-06-12 00:00:00,BUILDINGS / STRUCTURE,EDC - CANCER CENTRE AT MILE END,LOGAN CONSTRUCTION (SE) LTD,168479.0,BART 03 - June.xlsx,1
2131498,2020-06-12 00:00:00,BUILDINGS / STRUCTURE,"CUSTOM HOUSE , EAST AND WEST HAM WARDS",T&B CONTRACTORS LTD,237750.0,BART 03 - June.xlsx,1
2131530,2020-06-12 00:00:00,LAB EQUIPMENT,SITE MANAGEMENT - NGH COVID19,BRUKER UK LTD,51247.0,BART 03 - June.xlsx,1
2131534,2020-06-12 00:00:00,PFI UC OTHER SERVICE PAYMENTS,PFI UNITARY FEE,HEALTHCARE SUPPORT (NEWHAM) LTD,590676.0,BART 03 - June.xlsx,1
2131534,2020-06-12 00:00:00,PFI UC MSP FACILITIES MANAGEMENT SERVICES,PFI UNITARY FEE,HEALTHCARE SUPPORT (NEWHAM) LTD,94146.0,BART 03 - June.xlsx,1
2131536,2020-06-12 00:00:00,STAFF PROTECTIVE CLOTHING,SITE MANAGEMENT - NGH COVID19,ASHTEAD PLANT HIRE CO LTD,251970.0,BART 03 - June.xlsx,1
2131543,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,ALEXION PHARMA UK LTD,120960.0,BART 03 - June.xlsx,1
2131550,2020-06-12 00:00:00,OTHER EXPENSES,PFI FM SERVICES,CAPITAL HOSPITALS LTD,1059536.0,BART 03 - June.xlsx,1
2131550,2020-06-12 00:00:00,OTHER EXPENSES,PFI FM SERVICES,CAPITAL HOSPITALS LTD,559311.0,BART 03 - June.xlsx,1
2131573,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,WXH PHARMACY DISPENSARY STOCK,NOVARTIS CONSUMER HEALTH,43372.0,BART 03 - June.xlsx,1
2131584,2020-06-12 00:00:00,CLINICAL MONITORING EQUIPMENT,COVID19 COSTS - RLH,BELMONT MEDICAL TECHNOLOGIES LTD,46869.0,BART 03 - June.xlsx,1
2131606,2020-06-12 00:00:00,MINOR CONTRACTED WORKS,SITE MANAGEMENT - NGH COVID19,ENSIGNA CONSTRUCTION LTD,41231.0,BART 03 - June.xlsx,1
2131628,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,NGH PHARMACY STOCK,ITH PHARMA,56384.0,BART 03 - June.xlsx,1
2131628,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,NGH PHARMACY STOCK,ITH PHARMA,25174.0,BART 03 - June.xlsx,1
2131655,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,ALLOGA UK LTD,27120.0,BART 03 - June.xlsx,1
2131655,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,ALLOGA UK LTD,25500.0,BART 03 - June.xlsx,1
2131655,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,ALLOGA UK LTD,90000.0,BART 03 - June.xlsx,1
2131655,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,ALLOGA UK LTD,36000.0,BART 03 - June.xlsx,1
2131657,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,NGH PHARMACY STOCK,ALLIANCE HEALTHCARE DISTRIBUTION LTD,38880.0,BART 03 - June.xlsx,1
2131657,2020-06-12 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ALLIANCE HEALTHCARE DISTRIBUTION LTD,35236.0,BART 03 - June.xlsx,1
2131666,2020-06-12 00:00:00,BUILDINGS / STRUCTURE,WOMEN AND CHILDREN'S SERVICES,FOREST GATE CONSTRUCTION CO LTD,385043.0,BART 03 - June.xlsx,1
2131670,2020-06-12 00:00:00,VEHICLE EXPENSES,COVID-19 - ESTATES,INNOV8 CLEANING SOLUTIONS LTD,27849.0,BART 03 - June.xlsx,1
2131680,2020-06-12 00:00:00,ESTATES SERVICES CONTRACTS,NGH CLINICAL PHYSICS,MTS HEALTH LTD,102522.0,BART 03 - June.xlsx,1
2131683,2020-06-12 00:00:00,LAB EQUIPMENT,COVID19 COSTS - RLH,ADVANCED INSTRUMENTS LTD,32088.0,BART 03 - June.xlsx,1
2131686,2020-06-12 00:00:00,SLA: EAST LONDON NHS FOUNDATION TRUST,CHILD PSYCHIATRY THHT SLA,EAST LONDON NHS FOUNDATION TRUST,155826.0,BART 03 - June.xlsx,1
2131686,2020-06-12 00:00:00,SLA: EAST LONDON NHS FOUNDATION TRUST,RETINOBLASTOMA,EAST LONDON NHS FOUNDATION TRUST,61718.0,BART 03 - June.xlsx,1
2131686,2020-06-12 00:00:00,SLA: EAST LONDON NHS FOUNDATION TRUST,CHILD PSYCHIATRY THHT SLA,EAST LONDON NHS FOUNDATION TRUST,77913.0,BART 03 - June.xlsx,1
2131686,2020-06-12 00:00:00,SLA: EAST LONDON NHS FOUNDATION TRUST,RETINOBLASTOMA,EAST LONDON NHS FOUNDATION TRUST,30859.0,BART 03 - June.xlsx,1
2131729,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,JANSSEN-CILAG LTD,53913.0,BART 03 - June.xlsx,1
2131742,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AMGEN LTD,58089.0,BART 03 - June.xlsx,1
2131746,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,SHIRE PHARAMACEUTICALS,46200.0,BART 03 - June.xlsx,1
2131807,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,ENERGY & UTILITIES - WXH,ENGIE SERVICES LTD,70982.0,BART 03 - June.xlsx,1
2131808,2020-06-17 00:00:00,SOFTWARE MAINTENANCE,TECHNICAL SUPPORT,G2 SPEECH UK LTD,45965.0,BART 03 - June.xlsx,1
2131831,2020-06-17 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - RLH,EDWARDS LIFE SCIENCES LTD,30240.0,BART 03 - June.xlsx,1
2131834,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,185880.0,BART 03 - June.xlsx,1
2131834,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,97632.0,BART 03 - June.xlsx,1
2131834,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,223056.0,BART 03 - June.xlsx,1
2131834,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,175285.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,73763.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,25035.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,75792.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,25509.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,53291.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,201506.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,191572.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,75792.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,53291.0,BART 03 - June.xlsx,1
2131856,2020-06-17 00:00:00,NON-CLINICAL CONTRACT SERVICES,EPR DEVELOPMENT AND SUPPORT,CERNER LTD,43077.0,BART 03 - June.xlsx,1
2131859,2020-06-17 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,MEDTRONIC LTD,70848.0,BART 03 - June.xlsx,1
2131859,2020-06-17 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,MEDTRONIC LTD,82320.0,BART 03 - June.xlsx,1
2131861,2020-06-17 00:00:00,MEDICAL & SURGICAL EQUIPMENT,IMAGING DURABLES - MES 19/20,CAPITAL HOSPITALS LTD,51208.0,BART 03 - June.xlsx,1
2131870,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,HAMELN PHARMACEUTICALS LTD,28908.0,BART 03 - June.xlsx,1
2131899,2020-06-17 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,SANOFI,37872.0,BART 03 - June.xlsx,1
2131905,2020-06-17 00:00:00,ELECTRICITY,ENERGY & UTILITIES - NUH,EDF ENERGY,102908.0,BART 03 - June.xlsx,1
2131916,2020-06-17 00:00:00,LAB EQUIPMENT,MICROBIOLOGY,BIOMERIEUX UK LTD,45498.0,BART 03 - June.xlsx,1
2131916,2020-06-17 00:00:00,LAB EQUIPMENT,MICROBIOLOGY,BIOMERIEUX UK LTD,181762.0,BART 03 - June.xlsx,1
2131920,2020-06-17 00:00:00,LAB EQUIPMENT,VIROLOGY,QIAGEN LTD,318029.0,BART 03 - June.xlsx,1
2131920,2020-06-17 00:00:00,LAB REAGENTS & CHEMICALS,COVID19 COSTS - PATHOLOGY,QIAGEN LTD,72421.0,BART 03 - June.xlsx,1
2131929,2020-06-17 00:00:00,RECRUITMENT EXPENSES,NGH CORPORATE SERVICES COVID19,PULSE HEALTHCARE LTD,113458.0,BART 03 - June.xlsx,1
2131929,2020-06-17 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,162261.0,BART 03 - June.xlsx,1
2131929,2020-06-17 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,299216.0,BART 03 - June.xlsx,1
2131961,2020-06-17 00:00:00,COMPUTER MAINTENANCE,SERVER,INSIGHT DIRECT UK LTD,42228.0,BART 03 - June.xlsx,1
2131961,2020-06-17 00:00:00,COMPUTER CONSUMABLES,SERVER,INSIGHT DIRECT UK LTD,54552.0,BART 03 - June.xlsx,1
