organisationname,date,transactionnumber,supplier,expensearea,expensetype,amount,file,negative,ideptfamily
Royal Free London NHS Foundation Trust,14/08/2020,18865,Janssen-Cilag Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,32874.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,18933,Alliance Healthcare (Distribution) Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,27001.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,3339,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,117967.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,3340,Althea Uk And Ireland Ltd,Tw:Ebme,Msse Maintenance Contracts,43745.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,3504,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,321515.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,3505,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,119558.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,3508,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,64749.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,14/08/2020,3509,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,66291.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/08/2020,1487783,Hsl (Fm) Llp,Tw:Accounts Payable,Pathology Tests Joint Venture,1341764.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/08/2020,1488744,Hsl (Fm) Llp,Tw:Accounts Payable,Pathology Tests Joint Venture,-1341764.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,19/08/2020,1496729,Hmrc Cumbernauld,Tw:Balance Sheet,Creditors - Income Tax,7247233.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,19/08/2020,1496736,Hmrc Cumbernauld,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,3337012.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,19/08/2020,1496737,Hmrc Cumbernauld,Tw:Balance Sheet,Creditors-Nat Insurance-Ers,4542041.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,19/08/2020,3690,Hmrc Cumbernauld,Tw:Balance Sheet-Property Serv,Creditors - Income Tax,33355.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1307348,University College London,Tw:Accounts Payable,Blood Products,27136.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1412946,Cerner Limited,Tw:Patient Systems,Other Non-Clinical Supplies,391680.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1440282,Abm Aviation (Uk) Limited,Rf:Rfh Facilities Management,Other Non-Clinical Services,156652.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1452837,Bender Uk Ltd,Rf:Corona Virus 11south Works,Engineering Equip & Materials,71118.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1458320,Static Systems Group Plc,Rf:Corona Virus 11south Works,Engineering Equip & Materials,26334.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1458518,Bender Uk Ltd,Rf:Corona Virus 11south Works,Engineering Equip & Materials,102072.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1463991,Covac Ltd,Rf:Mechanical Projects-Backlog,Estates Services Contracts,69264.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1469351,Supply Chain Coordination Ltd (Maintenance),Bh:Radiology,Msse Maintenance Contracts,30779.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1469582,Radiometer Ltd,Rf:Covoid19 Equipments,Med&Surg Equipment,29880.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1469693,Lip Medical Ltd,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,46890.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1470050,North Middlesex University Hospital Nhs Trust,Rf:Ophthalmology-Medical,Outpatients - Slr,52848.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1477239,University College London,Tw:Accounts Payable,Blood Products,-27136.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,21/08/2020,1477285,D&L Medical Limited,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,43890.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1481613,Cfes Limited,Tw:Covid-19 Stp,Other Non-Clinical Supplies,92185.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1481652,Lawmed Ltd,Rf:The Airseal-Ulpa Units,Med&Surg Equipment,46308.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1484322,Insight Direct (Uk) Ltd,Tw:Stp Cyber Funding,Other Non-Clinical Supplies,33303.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1484879,Notting Hill Genesis,Rf:Princess Christian House,Other Non-Clinical Supplies,56801.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1484896,Nes Holdings (Uk) Ltd,Ch:Wellington Ward,Healthcare Commercial Sector,35800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1485012,Ernst & Young Llp,Tw:Financial Director,Consultancy Fees,36000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1485308,Martech Technical Services Ltd,Rf:Int Building Fabric-Backlog,Building Contracts,37352.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1485336,Bytes Software Services Ltd,Tw:Information Man And Tech,Other Non-Clinical Supplies,78502.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1486066,Medtronic Ltd,Rf:Gastroenterology,Healthcare Commercial Sector,25800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1486067,Medtronic Ltd,Rf:Gastroenterology,Healthcare Commercial Sector,25800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1486131,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,91699.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1486133,Baxter Healthcare Ltd,Rf:Capd,Renal Dialysis Consumables,194998.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1487519,Roche Products Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,34451.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1487868,Elis Uk Ltd,Rf:Rfh Facilities Contract,Contract Laundry,85899.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1488444,Utilyx Healthcare Energy Services Ltd (Ancil),Rf:Energy,Rentals Operating Leases,93496.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1488796,Haverstock Healthcare Ltd,Rf:A & E Nursing,Services Ccgs Clinical,75021.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1488950,Utilyx Healthcare Energy Services Ltd,Rf:Energy,Energy Management Contracts,150979.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1488979,Dictate It,Tw:Patient Systems,It Software,37187.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1488981,Dictate It,Tw:Patient Systems,It Software,94669.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1489610,Bevan Brittan Llp,Tw:Clinical Risk + Safety,Legal Costs,48150.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1489682,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,27971.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1489703,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,31975.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1489704,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,25118.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1489705,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,25118.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1490340,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,33877.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1490666,Pharmaxo Pharmacy Services Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,32165.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1491762,Bayer Plc,Tw:Balance Sheet,Pharmacy Issues & Receipts,45622.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1492124,Roche Products Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,50054.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1492125,Roche Products Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,37176.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1492126,Roche Products Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,32544.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1492140,Shire Pharmaceuticals Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,115500.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1492171,Alloga Uk,Tw:Balance Sheet,Pharmacy Issues & Receipts,31560.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1493117,Radiology Reporting Online Llp,Bh:Radiology,Healthcare Commercial Sector,65944.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1493123,Ecourier,Rf:Rfh Transport,Transport-Equipment/Materials,67224.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1494790,Amgen Limited,Tw:Balance Sheet,Pharmacy Issues & Receipts,28539.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1494793,Amgen Limited,Tw:Balance Sheet,Pharmacy Issues & Receipts,41859.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1495905,Nhs Blood And Transplant,Bh:Blood Tran,Blood Products,70992.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1495908,Nhs Blood And Transplant,Rf:Haematology Labs,Blood Products,168943.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1495911,Kpmg Llp,Tw:Financial Director,Audit Fees - External,33279.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,1496687,Cec Healthcare Coding Ltd,Tw:Clinical Coding,It Service Contracts,59871.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,18575,Janssen-Cilag Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,43572.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,3348,Imtech Low Carbon Solutions Ltd,Tw:Energy & Utilities,Msse Maintenance Contracts,46818.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,21/08/2020,3706,Universal Sealants (Uk) Ltd,Ch:Mscp Refurbishment,Ic Building Contracts,320601.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,25/08/2020,3769,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,-321515.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,25/08/2020,3800,Cbre Managed Services Ltd,Tw:Estates Maintenance,Msse Maintenance Contracts,-55694.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,25/08/2020,3809,Universal Sealants (Uk) Ltd,Ch:Mscp Refurbishment,Ic Building Contracts,-223452.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,25/08/2020,3810,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,321515.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,25/08/2020,3841,Cbre Managed Services Ltd,Tw:Estates Maintenance,Msse Maintenance Contracts,55694.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,25/08/2020,3850,Universal Sealants (Uk) Ltd,Ch:Mscp Refurbishment,Ic Building Contracts,223452.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,25/08/2020,3861,Imtech Low Carbon Solutions Ltd,Tw:Energy & Utilities,Msse Maintenance Contracts,-46818.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,25/08/2020,3872,Imtech Low Carbon Solutions Ltd,Tw:Energy & Utilities,Msse Maintenance Contracts,46818.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,25/08/2020,3883,Currie & Brown Uk Limited,Tw:Whht Consultancy,Consultancy Fees,-26110.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,25/08/2020,3896,Currie & Brown Uk Limited,Tw:Whht Consultancy,Consultancy Fees,26110.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1352286,London Dermatologist Ltd,Rf:Dermatology,Agency Other Medical,52650.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1352300,London Dermatologist Ltd,Rf:Dermatology,Agency Other Medical,43740.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1352303,London Dermatologist Ltd,Rf:Dermatology,Agency Other Medical,65070.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1431978,Cerner Limited,Tw:Patient Systems,Other Non-Clinical Supplies,308068.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1436679,Hsl (Fm) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,27452.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1436680,Hsl (Fm) Llp,Rf:General Pathology,Pathology Tests Joint Venture,60649.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1440253,Hsl (Fm) Llp,Rf:General Pathology,Pathology Mls Contract,43200.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1452815,Cerner Limited,Tw:Patient Systems,Other Non-Clinical Supplies,425408.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1452817,Cerner Limited,Tw:Patient Systems,Other Non-Clinical Supplies,50441.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1452908,Hsl (Fm) Llp,Rf:General Pathology,Pathology Tests Joint Venture,44466.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1474052,Hsl (Fm) Llp,Rf:General Pathology,Pathology Tests Joint Venture,48210.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1481547,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,194325.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1487714,Ash Corporate Finance (Hampstead) Ltd,Tw:Balance Sheet,Finance Lease Obligation,372745.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1489005,Community Matters Ltd,Tw:Nurs & Midwifery Education,Courses & Conferences,84000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1489501,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,118935.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1489503,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,116594.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1491512,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,57600.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1491583,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,51758.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1491584,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,48523.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1493469,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,-62162.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,01/09/2020,1493471,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,-198734.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,01/09/2020,1494487,Csl Behring,Tw:Balance Sheet,Pharmacy Issues & Receipts,189000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1494532,Grifols Uk Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,49375.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1494565,Octapharma Limited,Tw:Balance Sheet,Pharmacy Issues & Receipts,72800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1496547,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,928470.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1498013,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,31975.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1498850,Biotest Uk Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,39975.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1498916,Novartis Pharmaceuticals,Tw:Balance Sheet,Pharmacy Issues & Receipts,166776.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1499174,Amgen Limited,Tw:Balance Sheet,Pharmacy Issues & Receipts,29282.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,18871,Novartis Pharmaceuticals,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,41713.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,19012,Gilead Sciences Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,30763.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,19022,Novartis Pharmaceuticals,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,32156.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,3510,Althea Uk And Ireland Ltd,Tw:Ebme,Msse Maintenance Contracts,43745.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,02/09/2020,18279,Alloga Uk,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,55083.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,02/09/2020,18281,Alloga Uk,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,66099.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,02/09/2020,18289,Alloga Uk,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,44066.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1469717,Uclh Nhs Foundation Trust,Rf:Diabetic Team,Services Uclh Ft Clinical,33561.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1469718,Uclh Nhs Foundation Trust,Rf:Diabetic Team,Services Uclh Ft Clinical,33561.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1469723,Uclh Nhs Foundation Trust,Rf:Diabetic Team,Services Uclh Ft Clinical,33561.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1479927,Rfl Property Services Limited,Rf:Ih Catering Patients,Ic Ih Catering Patients,72480.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1490755,Interserve Catering Services Ltd,Rf:Pp Hotel Services,Contract Catering,77106.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1491254,Arjo Uk Ltd,Rf:Beds And Mattresses Ref No,Med&Surg Equipment,50328.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1494190,Supply Chain Coordination Ltd (Maintenance),Ch:Medical - Radiology,Radiology Maint Contracts,43856.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1494401,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,64698.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1495146,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,31888.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1495602,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,29107.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1495690,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,31714.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1495994,Dell Corporation Ltd,Tw:Information Man And Tech,Other Non-Clinical Supplies,27997.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1497080,Ellis Building Services Ltd,Rf:Mechanical Projects-Backlog,Building Equipment & Materials,56608.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1498895,Gilead Sciences Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,39449.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,04/09/2020,1499034,Shire Pharmaceuticals Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,120360.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,11/09/2020,1499030,Roche Products Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,48494.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1478044,Gazprom Energy,Rf:Energy,Gas,95187.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1500104,Epoch Trading Ltd,Rf:Covid-19 (Surge),Staff Clothing,40000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/09/2020,1500278,Philips Respironics Uk Ltd,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,31863.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,02/09/2020,1497293,Rfl Property Services Limited,Rf:Ih Catering Restaurant,Ic Ih Catering Retail,266535.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1431402,Hsl (Fm) Llp,Rf:General Pathology,Pathology Tests Joint Venture,1341764.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1431404,Hsl (Fm) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,696706.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1431547,Hsl (Analytics) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,660427.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1431548,Hsl (Analytics) Llp,Rf:General Pathology,Pathology Tests Joint Venture,938348.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1449297,Hsl (Analytics) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,660427.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1449309,Hsl (Analytics) Llp,Rf:General Pathology,Pathology Tests Joint Venture,938348.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1449310,Hsl (Fm) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,696706.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1449311,Hsl (Fm) Llp,Rf:General Pathology,Pathology Tests Joint Venture,1341764.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1467473,Hsl (Fm) Llp,Rf:General Pathology,Pathology Tests Joint Venture,1341764.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1467474,Hsl (Fm) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,696706.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1467475,Hsl (Analytics) Llp,Rf:General Pathology,Pathology Tests Joint Venture,938348.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1467476,Hsl (Analytics) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,660427.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1487774,Hsl (Analytics) Llp,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,660427.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/09/2020,1487779,Hsl (Analytics) Llp,Rf:General Pathology,Pathology Tests Joint Venture,938348.0,ROYF 04-06 - July - September.csv,1,
