ccg,date,expensearea,expensetype,supplier,transactionnumber,amount,file,negative,expensetypoe
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Participation,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,1966.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,WESTBOURNE GREEN SURGERY (THE),34516452,1991.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,LANARK MEDICAL CENTRE,34516436,2044.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,COVENT GARDEN MEDICAL CENTRE,34614352,2190.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,BALANCE SHEET,Apprenticeship Levy Payable,HMRC,34615820,2240.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Rates,WELLINGTON HEALTH CENTRE (THE),34516454,2304.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,MAYFAIR MEDICAL CENTRE,34614375,2368.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Participation,VICTORIA MEDICAL CENTRE,34614384,2374.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,DR MAHER SHAKARCHIS PRACTICE,34516434,2385.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS PCN DES Participation,KINGS COLLEGE HEALTH CENTRE,34516438,2436.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,CRAWFORD STREET SURGERY,34614387,2494.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Participation,ST JOHNS WOOD MEDICAL PRACTICE,34614382,2558.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS PCO Other,LANARK MEDICAL CENTRE,34516436,2585.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,CONNAUGHT SQUARE PRACTICE,34516430,2672.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,LITTLE VENICE MEDICAL CENTRE,34614370,2672.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Rates,PADDINGTON GREEN HEALTH CENTRE,34516448,2688.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-GMS Cost of Drugs -Prescribing,FITZROVIA MEDICAL CENTRE,34628290,2688.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,ME-GMS GP Prior Year EEs,MAIDA VALE MEDICAL CENTRE (THE),34614377,2730.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Clinical Director,COVENT GARDEN MEDICAL CENTRE,34614352,2765.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,WELLINGTON HEALTH CENTRE (THE),34516454,2882.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,MAIDA VALE MEDICAL CENTRE (THE),34614377,2999.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,ME - GMS GP Prior Year ERs,MAIDA VALE MEDICAL CENTRE (THE),34614377,3019.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,FITZROVIA MEDICAL CENTRE,34628290,3035.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,AT MEDICS STREATHAM PLACE,34516456,3138.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,KINGS COLLEGE HEALTH CENTRE,34516438,3212.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Clinical Director,ST JOHNS WOOD MEDICAL PRACTICE,34614382,3219.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-APMS OOH Opt Outs,AT MEDICS STREATHAM PLACE,34516456,3221.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,CAVENDISH HEALTH CENTRE,34516428,3298.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Notional Rent,DR MAHER SHAKARCHIS PRACTICE,34516434,3333.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Notional Rent,DR VICTORIA MUIRS PRACTICE,34614363,3333.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,LITTLE VENICE MEDICAL CENTRE,34614370,3369.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,IMPERIAL COLLEGE HEALTH CENTRE,34614366,3387.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,LANARK MEDICAL CENTRE,34516436,3455.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,BALANCE SHEET,Income tax <1Yr-Student Loans,HMRC,34615820,3457.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,LISSON GROVE HEALTH CENTRE,34516440,3927.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,MILLBANK MEDICAL CENTRE,34516444,3966.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,MARYLEBONE HEALTH CENTRE,34516442,4022.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS PCN DES Clinical Director,LISSON GROVE HEALTH CENTRE,34516440,4036.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-GMS Cost of Drugs -Prescribing,DR VICTORIA MUIRS PRACTICE,34614363,4089.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,CRAWFORD STREET SURGERY,34614387,4189.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Rates,NEWTON MEDICAL CENTRE,34516446,4211.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,CAVENDISH HEALTH CENTRE,34516428,4246.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,MILLBANK MEDICAL CENTRE,34516444,4426.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,BELGRAVIA SURGERY,34614350,4442.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,CONNAUGHT SQUARE PRACTICE,34516430,4498.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Notional Rent,MAIDA VALE MEDICAL CENTRE (THE),34614377,4500.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,COVENT GARDEN MEDICAL CENTRE,34614352,4610.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS DES Minor Surgery,VICTORIA MEDICAL CENTRE,34614384,4642.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,4699.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Clinical Director,VICTORIA MEDICAL CENTRE,34614384,4764.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS PCN DES Clinical Director,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,4764.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,WELLINGTON HEALTH CENTRE (THE),34516454,4830.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Notional Rent,WESTBOURNE GREEN SURGERY (THE),34516452,4865.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,PADDINGTON GREEN HEALTH CENTRE,34516448,4951.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,LISSON GROVE HEALTH CENTRE,34516440,5133.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Rates,CAVENDISH HEALTH CENTRE,34516428,5187.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,DR VICTORIA MUIRS PRACTICE,34614363,5446.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,WESTBOURNE GREEN SURGERY (THE),34516452,5528.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS DES Extended Hours Access,COVENT GARDEN MEDICAL CENTRE,34614352,5553.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-GMS PCN DES PCN support,COVENT GARDEN MEDICAL CENTRE,34614352,5745.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Out of Hours Opt Outs,KINGS COLLEGE HEALTH CENTRE,34516438,5864.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,NEWTON MEDICAL CENTRE,34516446,5932.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,NEWTON MEDICAL CENTRE,34516446,6005.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS QOF Aspiration,PADDINGTON GREEN HEALTH CENTRE,34516448,6361.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS DES Extended Hours Access,ST JOHNS WOOD MEDICAL PRACTICE,34614382,6466.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Notional Rent,WELLINGTON HEALTH CENTRE (THE),34516454,6676.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-GMS PCN DES PCN support,ST JOHNS WOOD MEDICAL PRACTICE,34614382,6689.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Growth,MARYLEBONE HEALTH CENTRE,34516442,7196.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,BELGRAVIA SURGERY,34614350,7536.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,8092.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS DES Extended Hours Access,LISSON GROVE HEALTH CENTRE,34516440,8106.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-PMS PCN DES PCN support,LISSON GROVE HEALTH CENTRE,34516440,8386.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS PCO Other,KINGS COLLEGE HEALTH CENTRE,34516438,8443.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,ST JOHNS WOOD MEDICAL PRACTICE,34614382,8738.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS DES Extended Hours Access,VICTORIA MEDICAL CENTRE,34614384,9568.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS DES Extended Hours Access,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,9568.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-GMS PCN DES PCN support,VICTORIA MEDICAL CENTRE,34614384,9931.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,LOCAL ENHANCED SERVICES,C&M-GMS PCN DES PCN support,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,9931.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS QOF Aspiration,VICTORIA MEDICAL CENTRE,34614384,10179.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,ME - PMS GP Prior Year ERs,PADDINGTON GREEN HEALTH CENTRE,34516448,11214.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Actual Rent,KINGS COLLEGE HEALTH CENTRE,34516438,11782.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,IMPERIAL COLLEGE HEALTH CENTRE,34614366,14408.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Actual Rent,LISSON GROVE HEALTH CENTRE,34516440,15066.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Notional Rent,PIMLICO HEALTH AT THE MARVEN SURGERY,34628291,15350.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,ME-PMS GP Prior Year EEs,PADDINGTON GREEN HEALTH CENTRE,34516448,15436.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Notional Rent,MARYLEBONE HEALTH CENTRE,34516442,16314.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Actual Rent,CONNAUGHT SQUARE PRACTICE,34516430,18750.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,MAYFAIR MEDICAL CENTRE,34614375,21440.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-APMS Prem Healthcentre Rent,SOHO SQUARE GENERAL PRACTICE,34516450,22575.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Healthcentre Rent,DR ABOUZEKRY,34614354,23113.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Rates,VICTORIA MEDICAL CENTRE,34614384,23252.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,SOHO SQUARE SURGERY,34614380,24040.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,DR ABOUZEKRY,34614354,24616.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),PRECIOUS HOMES LTD,34652255,25070.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,DEMENTIA,Clinical&Medical-Othe Public Sector,LONDON CARE LTD,34579930,25750.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),PRECIOUS HOMES LTD,34652250,25906.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),HOME FROM HOME CARE LTD,34459631,26618.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,LANARK MEDICAL CENTRE,34516436,27706.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC CHILDREN,Cont Care- Children,CITY OF WESTMINSTER,34486042,28878.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,COMMISSIONING SCHEMES,Clinical&Medical-Independent Sector,SWPCH,34631345,29258.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC CHILDREN,Cont Care- Children,CITY OF WESTMINSTER,34527049,29335.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,DR MAHER SHAKARCHIS PRACTICE,34516434,29858.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,DR G AHMED,34614357,30621.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,WESTBOURNE GREEN SURGERY (THE),34516452,31675.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,MEDICAL CENTRE WOODFIELD ROAD,34614372,32209.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),WESTMINSTER SOCIETY FOR PEOPLE WITH LEARNING,34666979,32889.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),NAS SERVICES LTD,34485991,34294.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-APMS Contract Value,HOMELESS HEALTH CIC,34516458,34662.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,DOCTOR HICKEY SURGERY,34516432,34953.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,HOSPICES,Clinical&Medical-Voluntary Sector,ROYAL TRINITY HOSPICE,34486061,35250.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,FUNDED NURSING CARE,Cont Care-Funded Nursing Care Allow,NHS HAMMERSMITH AND FULHAM CCG,34459637,35781.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,LITTLE VENICE MEDICAL CENTRE,34614370,37605.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,COVENT GARDEN MEDICAL CENTRE,34614352,38314.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,CRAWFORD STREET SURGERY,34614387,40643.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,ME - PMS GP Prior Year ERs,MILLBANK MEDICAL CENTRE,34516444,41250.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,ME-PMS GP Prior Year EEs,MILLBANK MEDICAL CENTRE,34516444,41687.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Prem Actual Rent,MAYFAIR MEDICAL CENTRE,34614375,43020.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,MENTAL HEALTH CONTRACTS,Hcare Srv Rec Fdtn Trust-Contract Baseline,EAST LONDON NHS FOUNDATION TRUST,34566112,44244.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,WELLINGTON HEALTH CENTRE (THE),34516454,44262.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,MAIDA VALE MEDICAL CENTRE (THE),34614377,48273.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,CAVENDISH HEALTH CENTRE,34516428,51147.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,FITZROVIA MEDICAL CENTRE,34628290,52820.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,BALANCE SHEET,National Insurance < 1 yr-NI-EES,HMRC,34615820,53426.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,MILLBANK MEDICAL CENTRE,34516444,55326.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,ACUTE COMMISSIONING,Hcare Srv Rec Fdtn Trust-Contract Baseline,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,34566116,56897.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Rates,MARYLEBONE HEALTH CENTRE,34516442,57278.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,MENTAL HEALTH CONTRACTS,Hcare Srv Rec Fdtn Trust-Contract Baseline,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,34566115,58411.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Prem Actual Rent,PADDINGTON GREEN HEALTH CENTRE,34516448,59606.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-APMS Contract Value,SOHO SQUARE GENERAL PRACTICE,34516450,61026.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,BELGRAVIA SURGERY,34614350,61126.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,WHEELCHAIR SERVICE,Clinical&Medical-Commercial Sector,AJ MOBILITY LTD,34527050,61920.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,LISSON GROVE HEALTH CENTRE,34516440,63603.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,DR VICTORIA MUIRS PRACTICE,34614363,63861.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,CONNAUGHT SQUARE PRACTICE,34516430,64548.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,MARYLEBONE HEALTH CENTRE,34516442,67863.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-GMS Global Sum,IMPERIAL COLLEGE HEALTH CENTRE,34614366,77020.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,PRC DELEGATED CO-COMMISSIONING,C&M-PMS Contract Value,PADDINGTON GREEN HEALTH CENTRE,34516448,77449.0,NWCL 08 - November.pdf.csv,1,
NHS Central London CCG,30/11/2020,BALANCE SHEET,National Insurance < 1 yr-NI- ERS,HMRC,34615820,80899.0,NWCL 08 - November.pdf.csv,1,
