ccg,date,expensearea,expensetype,supplier,transactionnumber,amount,file,negative,exepnsearea
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,31951326,49789.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,External Consultancy Fees,NON RECURRENT PROGRAMMES,SOFTCAT PLC,31836765,50286.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Voluntary Sector,GENERAL RESERVE - PROGRAMME,MARIE STOPES INTERNATIONAL,32031516,51092.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,31951276,51347.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,31951341,52993.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,31951287,53205.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,31991682,57000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M A KHAN & PARTNERS LONDON,31951291,57217.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Voluntary Sector,HOSPICES,ST LUKES HOSPICE,31861057,57916.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,31951305,60394.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,31974992,60445.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,31951291,60538.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,31951278,60630.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Computer Software/License,NON RECURRENT PROGRAMMES,SOFTCAT PLC,32054721,62996.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,31974989,63153.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,31951267,63772.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Non-NHS trade<1Yr-LMC Levy Payment,BALANCE SHEET,LONDONWIDE LMCS,31920384,63952.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,31974994,64497.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,31951263,65166.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,31951326,65613.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,31951265,68498.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,31951339,69727.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,31951337,71237.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32031484,72998.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,31951272,73632.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),31951333,75234.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,31951300,75858.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Othe Public Sector,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,31909712,75865.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),31951331,76280.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hlthcre-Foundation Trsts,MENTAL HEALTH COMMUNITY CRISIS,NHS CENTRAL LONDON (WESTMINSTER) CCG,31960111,77000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Healthcare Srv Rec CCG,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,32031608,79420.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,31861049,81478.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,31951328,84101.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust,CHILD AND ADOLESCENT MENTAL HEALTH,WEST LONDON NHS TRUST,31920324,90000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,WHITTINGTON HOSPITAL NHS TRUST (THE),31986920,92877.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Computer Software/License,CONTRACT MANAGEMENT,BYTES SOFTWARE SERVICES LTD,31988058,95776.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),31951335,96265.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Computer Software/License,GENERAL RESERVE - PROGRAMME,ECONSULT HEALTH LTD,32031519,100000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RAMDAHEN & PARTNERS,31951303,100919.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,NWLHT FACILITIES LLP,31837486,103555.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,31951318,107572.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,31974989,118390.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,31933871,118716.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,PRIMARY CARE IT,NHS CENTRAL LONDON (WESTMINSTER) CCG,31960111,125000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust,LONG TERM CONDITIONS,LONDON NORTH WEST HEALTHCARE NHS TRUST,31920314,125495.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust,ACUTE COMMISSIONING,NHS CENTRAL LONDON (WESTMINSTER) CCG,31960111,127000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,CONNECT HEALTH LTD,31861035,129792.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,CONNECT HEALTH LTD,31861059,129792.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Basic Sal-Rechgs to-from Other NHS,COMMUNITY SERVICES,NHS CENTRAL LONDON (WESTMINSTER) CCG,31951524,132000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,31867718,149360.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,31974989,151456.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,AT MEDICS LTD,31920331,166000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,NWLHT ANALYTICAL LLP,31849732,168568.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,WHITTINGTON HOSPITAL NHS TRUST (THE),32031427,172873.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951313,182487.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust,GENERAL RESERVE - PROGRAMME,LONDON AMBULANCE SERVICE NHS TRUST,32062615,190000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,31867718,214771.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust,MATERNITY SERVICES,NHS CENTRAL LONDON (WESTMINSTER) CCG,31960111,218000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,32031507,230756.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,32031458,284941.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Income tax <1Yr,BALANCE SHEET,HMRC,31867718,297023.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,Mental Health Transformation,NHS CENTRAL LONDON (WESTMINSTER) CCG,31960111,330000.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF BRENT,31861064,349407.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,External Consultancy Fees,NON RECURRENT PROGRAMMES,SOFTCAT PLC,31837483,489555.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,GP FORWARD VIEW,NHS CENTRAL LONDON (WESTMINSTER) CCG,31960111,739000.0,NWBR 01 - April.pdf.csv,1,
,31-May-20,,Recharge : Provided,INHEALTHCARE LIMITED,32147191,72000.0,NWBR 02 - May.pdf.csv,1,EQUALITY AND DIVERSITY
,31-May-20,,Hcare Srv Rec NHS Trust-Contract Baseline,WHITTINGTON HOSPITAL NHS TRUST (THE),32172834,85532.0,NWBR 02 - May.pdf.csv,1,ACUTE COMMISSIONING
,31-May-20,,Professional Fees,UNIFIED HEALTH & CARE LTD,32172867,32379.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Professional Fees,CHS HEALTHCARE,32172885,60000.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care-Physical Disab (65+),EMERGENCY PERSONNEL LTD,32172952,33743.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care-Physical Disab (65+),EMERGENCY PERSONNEL LTD,32173053,-33743.0,NWBR 02 - May.pdf.csv,-1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Clinical&Medical-Othe Public Sector,LONDON BOROUGH OF BRENT,32173063,437383.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care- Palliative Care,LONDON BOROUGH OF BRENT,32173266,4770.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care-Learning Disab(<65),LONDON BOROUGH OF BRENT,32173266,198047.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care-Mental Health (<65),LONDON BOROUGH OF BRENT,32173266,9128.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care-Physical Disab (65+),LONDON BOROUGH OF BRENT,32173266,91463.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Cont Care-Physical Disab (<65),LONDON BOROUGH OF BRENT,32173266,104843.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Hcare Srv Rec NHS Trust-Contract Baseline,WHITTINGTON HOSPITAL NHS TRUST (THE),32173266,-85532.0,NWBR 02 - May.pdf.csv,-1,ACUTE COMMISSIONING
,31-May-20,,Computer Hardware Purch,EXPONENTIAL-E LTD,32173273,30600.0,NWBR 02 - May.pdf.csv,1,IM&T PROJECTS
,31-May-20,,Computer Software/License,EXPONENTIAL-E LTD,32205758,140760.0,NWBR 02 - May.pdf.csv,1,IM&T PROJECTS
,31-May-20,,Clinical&Medical-Commercial Sector,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,32205828,306254.0,NWBR 02 - May.pdf.csv,1,URGENT CARE
,31-May-20,,Clinical&Medical-Commercial Sector,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,32217728,173011.0,NWBR 02 - May.pdf.csv,1,URGENT CARE
,31-May-20,,Clinical&Medical-Commercial Sector,SPECIAL AMBULANCE SERVICE LTD,32217730,27000.0,NWBR 02 - May.pdf.csv,1,EFFECTIVE USE OF RESOURCES - (P)
,31-May-20,,Professional Fees,BOSTON CONSULTING GROUP UK LLP,32217747,187200.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Hcare Srv Rec NHS Trust,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32217772,59318.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Professional Fees,BOSTON CONSULTING GROUP UK LLP,32217778,264000.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-PMS LES Primary Care Offer,K&W HEALTHCARE LTD,32217791,25431.0,NWBR 02 - May.pdf.csv,1,BEREAVEMENT SERVICE
,31-May-20,,C&M-GMS LES Cardiovascular Disease,HARNESS CARE CO-OPERATIVE LTD,32217804,36625.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES DMARDS,HARNESS CARE CO-OPERATIVE LTD,32217817,4997.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Diabetes-Insulin (GTT),HARNESS CARE CO-OPERATIVE LTD,32217817,2015.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Phlebotomy,HARNESS CARE CO-OPERATIVE LTD,32217817,34662.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Zoladex,HARNESS CARE CO-OPERATIVE LTD,32217817,5410.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Cardiovascular Disease,K&W HEALTHCARE LTD,32217817,43700.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES DMARDS,K&W HEALTHCARE LTD,32217821,6215.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Diabetes-Insulin (GTT),K&W HEALTHCARE LTD,32217821,4423.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Phlebotomy,K&W HEALTHCARE LTD,32217821,62855.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,C&M-GMS LES Zoladex,K&W HEALTHCARE LTD,32217821,4625.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32217821,43257.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32237625,-471782.0,NWBR 02 - May.pdf.csv,-1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Computer Software/License,NHS NEL CSU,32237762,80000.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Clinical&Medical-Voluntary Sector,HOSPITAL OF ST JOHN & ST ELIZABETH,32260215,28450.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Computer Hardware Purch,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32282020,312000.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Computer Hardware Purch,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32282021,290000.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Computer Hardware Purch,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32282022,300000.0,NWBR 02 - May.pdf.csv,1,GENERAL RESERVE - PROGRAMME
,31-May-20,,Clinical&Medical-Voluntary Sector,MARIE STOPES INTERNATIONAL,32282023,49534.0,NWBR 02 - May.pdf.csv,1,PLANNED CARE
,31-May-20,,Hcare Srv Rec NHS Trust-Contract Baseline,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32300085,61910.0,NWBR 02 - May.pdf.csv,1,MENTAL HEALTH CONTRACTS
,31-May-20,,Hcare Srv Rec NHS Trust-Contract Baseline,BARTS HEALTH NHS TRUST,32306191,119365.0,NWBR 02 - May.pdf.csv,1,ACUTE COMMISSIONING
,31-May-20,,Hcare Srv Rec NHS Trust-Non Contract,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,32306192,32211.0,NWBR 02 - May.pdf.csv,1,NCAS/OATS
,31-May-20,,Hcare Srv Rec Fdtn Trust-Contract Baseline,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32306193,81329.0,NWBR 02 - May.pdf.csv,1,MENTAL HEALTH CONTRACTS
,31-May-20,,Hcare Srv Rec Fdtn Trust-Contract Baseline,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32306194,3647291.0,NWBR 02 - May.pdf.csv,1,MENTAL HEALTH CONTRACTS
,31-May-20,,Hcare Srv Rec NHS Trust-Contract Baseline,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32306195,270029.0,NWBR 02 - May.pdf.csv,1,PALLIATIVE CARE
,31-May-20,,Hcare Srv Rec Fdtn Trust-Contract Baseline,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,32306196,335023.0,NWBR 02 - May.pdf.csv,1,ACUTE COMMISSIONING
,31-May-20,,Hcare Srv Rec NHS Trust-Contract Baseline,EAST AND NORTH HERTFORDSHIRE NHS TRUST,32306197,38265.0,NWBR 02 - May.pdf.csv,1,ACUTE COMMISSIONING
,30-Jun-20,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32551032,81478.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,AT MEDICS LTD,32648709,433736.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32863242,61910.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,BARTS HEALTH NHS TRUST,32719890,-53255.0,NWBR 03 - June.pdf.csv,-1,
,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32715947,119365.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Audit Fees: Statutory,EQUALITY AND DIVERSITY,BDO LLP,32719898,28084.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Computer Software/License,GP COMPLAINTS - (P),BLUETEQ LTD,32716028,38400.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,32894179,232796.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32557793,107769.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32735708,107769.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32735710,-26627.0,NWBR 03 - June.pdf.csv,-1,
,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32761939,107769.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRAMPTON HEALTH CENTRE,32863089,18.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,1936.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,36342.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,655.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,2445.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,13.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,14672.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,8035.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,BRENT CENTRE FOR YOUNG PEOPLE,32823457,33500.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,32827718,32211.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32719901,-152560.0,NWBR 03 - June.pdf.csv,-1,
,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823464,-9515.0,NWBR 03 - June.pdf.csv,-1,
,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823464,-7604.0,NWBR 03 - June.pdf.csv,-1,
,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823464,230167.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-APMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,140.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,6307.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,1217.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,25829.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,13163.0,NWBR 03 - June.pdf.csv,1,
,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32823465,81329.0,NWBR 03 - June.pdf.csv,1,
