Department,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR R DABO,770.36
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR A GALLOWAY & PARTNERS,773.33
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,779.52
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,T KEYAMO,779.73
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BAKARE,784.14
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,797.02
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PARVIN BHATIA,800.58
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR COLLINS & PARTNERS,803.64
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PUVINATHAN,811.4
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DENMARK ROAD SURGERY,815.47
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR A SARAJLIC,816
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,KESTON HOUSE MEDICAL PRACTICE,816.25
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LONDON ROAD MEDICAL PRACTICE,817.23
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AK SENNIK,817.53
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,840
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JUBILEE SURGERY(THE),844.01
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,847.5
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,VINEYARD HILL ROAD SURGERY,865.32
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J W GILLGRASS & PARTNERS,873.5
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,LEANDER ROAD SURGERY,878.2
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K BEGG,878.98
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHRISTIE CL & PARTNERS,884.46
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,885.86
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,DR WE GRIFFITHS,886.74
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,889.93
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,910.83
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A DITRI & PARTNERS,911.63
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR NORRIS,929.04
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,931.66
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHANG & PARTNERS,938.63
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR V P SHAH & PARTNERS,941.43
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR PARAMESWARAN,943.3
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S E RAMSBOTHAM,956.36
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ROWANS SURGERY (THE),959.68
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,P L BOWEN,962.65
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,967.85
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BARUCH & PARTNERS,972.96
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR I M WILSON,973.22
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR A SARAJLIC,973.82
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,V M BEARN,979.08
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR V P SHAH & PARTNERS,980
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P P CHARLTON & PARTNERS,987.96
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LEANDER ROAD SURGERY,988.59
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,QUEENHILL MEDICAL PRACTICE,991.39
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KUMAR & PARTNERS,992.37
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"1,000.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR GARDINER & PARTNER,"1,006.36"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,P L BOWEN,"1,010.76"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,QUEENHILL MEDICAL PRACTICE,"1,014.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M GRAHAM,"1,017.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"1,022.90"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ATTARD & OJO,"1,024.26"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ST PAULS COTTAGE,"1,028.72"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"1,036.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,COUNTRY PARK PRACTICE,"1,039.63"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR WILCOCK & PARTNERS,"1,043.85"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"1,046.15"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CARE UK CLINICAL SERVICES LTD,"1,054.89"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AUCKLAND SURGERY,"1,057.39"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LANGLEY MEDICAL PRACTICE,"1,057.40"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,VINEYARD HILL ROAD SURGERY,"1,058.36"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAYFIELD SURGERY,"1,060.29"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS CUTTING KHAN & SHEYIN,"1,078.43"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,QUEENSTOWN ROAD MEDICAL PRACTICE,"1,087.77"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST PAULS COTTAGE,"1,100.38"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,YORK MEDICAL PRACTICE,"1,104.92"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,"1,118.58"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"1,128.01"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,STONECOT SURGERY,"1,139.46"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ORCHARD PRACTICE,"1,142.29"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHIRLEY MEDICAL CENTRE,"1,144.09"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"1,156.03"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"1,159.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR E KATAY & PARTNERS,"1,162.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR N VAJPEYI,"1,162.64"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CENTRAL MEDICAL CENTRE,"1,167.80"
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"1,179.16"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"1,183.05"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,YORK MEDICAL PRACTICE,"1,185.13"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,K KO,"1,185.66"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A J FREE,"1,201.49"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"1,207.79"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STENT & PARTNERS,"1,212.26"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PORTLAND MEDICAL CENTRE,"1,226.71"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"1,230.72"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STONECOT SURGERY,"1,232.55"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JAMES O`RIORDAN MEDICAL CENTRE(THE),"1,236.59"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,"1,237.19"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,JUBILEE SURGERY(THE),"1,238.31"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M SHIRAZ,"1,251.90"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,VINEYARD SURGERY,"1,257.64"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR R LALL,"1,257.90"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,"1,260.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR S WOOLF,"1,268.29"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MALDON ROAD SURGERY,"1,268.29"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TRINITY MEDICAL CENTRE LONDON,"1,271.89"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A THURAIRATNAM,"1,278.22"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"1,280.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CARE UK CLINICAL SERVICES LTD,"1,281.92"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,B HUDSON,"1,289.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A OKONMAH & PARTNERS,"1,293.21"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR TC MOHAN,"1,299.48"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"1,317.19"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M N PATEL & PARTNERS,"1,319.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"1,320.91"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CLAREMONT MEDICAL CENTRE SURBITON,"1,334.53"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR FLOOD & PARTNERS,"1,344.24"
Department of Health,NHS South West London CCG,31/07/2020,Cont Care- Prior Year Payments,FUNDED NURSING CARE,ST JOHNS NURSING HOME LTD,"1,348.13"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,T K HALDER,"1,348.71"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LEWIS & PARTNERS,"1,351.46"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR WE GRIFFITHS,"1,361.79"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HAIDER PRACTICE,"1,367.45"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,"1,372.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ALTON PRACTICE (THE),"1,381.09"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR A GALLOWAY & PARTNERS,"1,383.47"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AYUB & PARTNERS,"1,397.08"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"1,400.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL CENTRE CROYDON,"1,426.58"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,EAST CROYDON MEDICAL CENTRE,"1,428.55"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR ALLEN & PARTNERS LONDON,"1,434.63"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,"1,437.71"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,THORNTON ROAD SURGERY,"1,440.88"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ROBERTSON & PARTNERS,"1,440.98"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,"1,445.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"1,452.36"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"1,460.22"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR WE GRIFFITHS,"1,465.81"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JOHNSON & PARTNERS LONDON,"1,469.68"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,M N BAIG,"1,476.21"
Department of Health,NHS South West London CCG,31/07/2020,Clinical&Medical-Independent Sector,COMMUNICATIONS & PR,ALTAIR MEDIA LTD,"1,488.13"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RODRIGUES & PARTNERS,"1,494.93"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR V P SHAH & PARTNERS,"1,505.36"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"1,512.60"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,EAST SUSSEX HEALTHCARE NHS TRUST,"1,525.24"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR W H BARCLAY & PARTNERS,"1,534.86"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARKWAY H C,"1,538.42"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR M SHIRAZ,"1,538.58"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,R S A SEYAN,"1,540.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,DRS CUTTING KHAN & SHEYIN,"1,545.42"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,YORK MEDICAL PRACTICE,"1,553.72"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PRACTICE FURZEDOWN,"1,557.06"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,"1,570.61"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"1,580.17"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BOTTING & PARTNERS,"1,589.20"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ST PAULS COTTAGE,"1,590.34"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HALING PARK PARTNERSHIP,"1,600.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHEAM GP CENTRE,"1,600.96"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,J GRANNELL,"1,601.56"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,THORNTON ROAD SURGERY,"1,602.57"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR S E RAMSBOTHAM,"1,606.28"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,H S KOONER,"1,618.49"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR A OKONMAH & PARTNERS,"1,621.75"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,T K HALDER,"1,621.75"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SELSDON PARK MEDICAL PRACTICE,"1,622.57"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"1,626.12"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,"1,627.70"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PORTLAND MEDICAL CENTRE,"1,629.40"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"1,632.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LUCKETT & PARTNERS,"1,635.34"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ALLEN & PARTNERS LONDON,"1,647.04"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C J D PEACH,"1,657.68"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARUCH & PARTNERS,"1,658.07"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR I D R HARPER & PARTNERS,"1,659.65"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,R S A SEYAN,"1,668.45"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,D H GORDON,"1,675.70"
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"1,678.77"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,PORTLAND MEDICAL CENTRE,"1,680.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,B HUDSON,"1,684.13"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LAVENDER HILL GROUP PRACTICE,"1,690.19"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"1,693.87"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,"1,705.82"
