NHS Abrev,trust name,Latitude,Longitude,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
STA,South Tyneside And Sunderland NHS Foundation Trust,54.902214,-1.410327,1066.0,234.0,1.0,0.022412832513185457,0.18761726078799248,THE ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,2.0,1.0
STE,South Tees Hospitals NHS Foundation Trust,54.551755,-1.214805,4644.0,1054.0,21.0,0.12271129398211739,0.5813953488372093,SOUTH TEES HOSPITALS CHARITY AND ASSOCIATED FUNDS,27.0,7.0
STO,Stockport NHS Foundation Trust,53.383778,-2.13202,4485.0,523.0,8.0,0.20041701125235192,0.8918617614269788,ST JOHN AMBULANCE,40.0,2.0
SUH,Southend University Hospital NHS Foundation Trust,51.553838,0.688617,2486.0,198.0,34.0,0.5132018765680164,0.4827031375703942,THE FETAL MEDICINE FOUNDATION,12.0,2.0
SUP,Sussex Partnership NHS Foundation Trust,50.84121,-0.411162,1729.0,125.0,44.0,1.7213003992545859,2.6604973973395025,TURNING POINT,46.0,17.0
SWA,South Warwickshire NHS Foundation Trust,52.289965,-1.583203,2759.0,253.0,55.0,0.6221409834285828,1.0873504893077202,WCS CARE GROUP LIMITED,30.0,5.0
SWL,South West London and St George's Mental Health NHS Trust,51.437358,-0.172348,1350.0,145.0,47.0,2.4058812525769353,4.37037037037037,COMMUNITY DRUG AND ALCOHOL RECOVERY SERVICES,59.0,3.0
SWY,South West Yorkshire Partnership NHS Foundation Trust,53.69734,-1.494054,1540.0,126.0,110.0,0.33711371663482276,0.9090909090909091,CLOVERLEAF ADVOCACY 2000 LIMITED,14.0,4.0
TAM,Tameside Hospital NHS Foundation Trust,53.49153,-2.071433,2338.0,288.0,56.0,1.229368917013328,1.3686911890504705,ACTION TOGETHER CIO,32.0,4.0
TAV,Tavistock and Portman NHS Foundation Trust,51.546898,-0.175443,84.0,15.0,14.0,4.719377885573336,17.857142857142858,WARREN HOUSE GROUP AT DARTINGTON,15.0,6.0
TEE,"Tees, Esk and Wear Valleys NHS Foundation Trust",54.543494,-1.591147,2820.0,241.0,1.0,3.121726505347131,4.290780141843972,MENTAL HEALTH MATTERS,121.0,11.0
TOR,Torbay and South Devon NHS Foundation Trust,50.482316,-3.553804,1968.0,163.0,22.0,3.1305067030215947,4.2682926829268295,UNITED RESPONSE,84.0,16.0
UHB,University Hospitals Birmingham NHS Foundation Trust,52.453198,-1.93847,3314.0,456.0,38.0,0.20799317027919914,0.724200362100181,ANTHONY NOLAN,24.0,5.0
UHL,University Hospitals Of Leicester NHS Trust,52.6268,-1.135953,13920.0,1976.0,98.0,0.1438009435069508,0.55316091954023,EAST MIDLANDS CROSSROADSCARING FOR CARERS,77.0,5.0
UHM,University Hospitals Of Morecambe Bay NHS Foundation Trust,54.306703,-2.732552,140.0,14.0,2.0,0.0,0.0,0,0.0,0.0
UHN,University Hospitals of North Midlands,53.003171,-2.212066,2466.0,533.0,24.0,0.019961625710914237,0.16220600162206003,THE RENAL ASSOCIATION,4.0,3.0
UHP,University Hospitals Plymouth NHS Trust,50.41672,-4.113684,7137.0,739.0,59.0,0.5158929668835506,0.9527812806501331,ST LUKES HOSPICE PLYMOUTH,68.0,8.0
UHS,University Hospital Southampton NHS Foundation Trust,50.933019,-1.435104,8194.0,1232.0,58.0,0.5392467729465845,1.3790578472052721,NUFFIELD HEALTH,113.0,10.0
WAL,The Walton Centre NHS Foundation Trust,53.466395,-2.931,43.0,6.0,1.0,0.0,0.0,0,0.0,0.0
WHC,Worcestershire Health and Care NHS Trust,52.192339,-2.178135,174.0,13.0,5.0,0.2931452298948356,0.5747126436781609,COMMUNITY FIRST,1.0,1.0
WHH,West Hertfordshire Hospitals NHS Trust,51.648921,-0.404187,8862.0,1097.0,118.0,0.03051115348860916,0.033852403520649964,RAFT RESTORATION OF APPEARANCE AND FUNCTION TRUST,3.0,2.0
WHI,Whittington Health NHS Trust,51.566482,-0.139066,3518.0,320.0,76.0,0.025799431565069888,0.08527572484366117,COMMUNITIES INTO TRAINING AND EMPLOYMENT,3.0,2.0
WHT,Walsall Healthcare NHS Trust,52.58233,-1.998924,4401.0,493.0,123.0,0.06184603971968393,0.2044989775051125,NUFFIELD HEALTH,9.0,6.0
WIU,Wirral University Teaching Hospital NHS Foundation Trust,53.36964,-3.096815,1247.0,241.0,2.0,0.02774539109974649,0.16038492381716118,WIRRAL HOSPICE ST JOHNS,2.0,2.0
WLO,West London NHS Trust,51.50598,-0.356441,637.0,130.0,8.0,1.2476821915904268,3.767660910518053,NATIONAL SCHIZOPHRENIA FELLOWSHIP,24.0,5.0
WOR,Worcestershire Acute Hospitals NHS Trust,52.191193,-2.181158,3179.0,489.0,32.0,0.012599792048350924,0.06291286568103177,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP,2.0,2.0
WSH,Western Sussex Hospitals NHS Foundation Trust,50.816691,-0.363429,2739.0,421.0,54.0,0.6700603537314367,1.5334063526834611,BRITISH PREGNANCY ADVISORY SERVICE,42.0,3.0
WSU,West Suffolk NHS Foundation Trust,52.231662,0.709176,1578.0,212.0,39.0,0.1137493615744806,0.38022813688212925,ST NICHOLAS HOSPICE SUFFOLK,6.0,4.0
WWL,"Wrightington, Wigan and Leigh NHS Foundation Trust",53.55774,-2.629091,5588.0,763.0,106.0,0.0475592217207462,0.161059413027917,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP,9.0,2.0
WYE,Wye Valley NHS Trust,52.057013,-2.705709,2367.0,335.0,88.0,1.940609744242985,4.140261934938741,NUFFIELD HEALTH,98.0,4.0
YAS,Yorkshire Ambulance Service NHS Trust,53.709391,-1.517971,2661.0,343.0,100.0,2.0983348944260496,4.8478015783540025,ST JOHN AMBULANCE,129.0,3.0
YDH,Yeovil District Hospital NHS Foundation Trust,50.944843,-2.634712,2199.0,219.0,39.0,0.07905745408618925,0.2728512960436562,THE BRITISH RED CROSS SOCIETY,6.0,4.0
YTH,York Teaching Hospital NHS Foundation Trust,53.968952,-1.084285,1565.0,341.0,22.0,0.16975609472531544,0.7028753993610224,YORKSHIRE MESMAC,11.0,4.0
