Department Family,Entity,Date,Expsene Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,ALBION STREET HEALTH CENTRE,32690007,1294.2
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,ST MARKS MEDICAL CENTRE,32690205,1298.42
Department of Health,CCG,30/06/2020,C&M?GMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,BROMLEY COMMON PRACTICE,32768139,1311.53
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BROMLEY COMMON PRACTICE,32768139,1311.72
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,WOODLANDS HEALTH CENTRE LONDON,32690138,1315.51
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,WOODLANDS PRACTICE,32768136,1316.58
Department of Health,CCG,30/06/2020,C&M?GMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,WHITEHOUSE SURGERY,32768129,1320.27
Department of Health,CCG,30/06/2020,C&M?PMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,CLIFTON RISE PRACTICE,32690027,1320.6
Department of Health,CCG,30/06/2020,C&M?PMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,BIGGIN HILL SURGERY,32768035,1320.6
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,BEXLEY MEDICAL GROUP,32690172,1323.24
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,ADDINGTON ROAD SURGERY,32768030,1326.19
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,DR PLANA F & PARTNER,32690186,1333.32
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690157,1346.61
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY SIDCUP,32690203,1353.74
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,WOODLANDS IN SIDCUP,32690217,1360.82
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,BIGGIN HILL SURGERY,32768035,1361.85
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,CATOR MEDICAL CENTRE,32768054,1371.22
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,QUEENS ROAD PARTNERSHIP,32690096,1372.14
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,GREENWICH PENINSULA,32690218,1374.67
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,PENROSE SURGERY,32666217,1381.1
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,DR MASTERTON & PARTNERS,32674505,1382.65
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,HONOR OAK GROUP PRACTICE,32666210,1383.11
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,CHELSFIELD SURGERY,32768044,1394.17
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,GRANTHAM CENTRE,32666206,1396.55
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,BERMONDSEY SPA MEDICAL CENTRE,32689999,1400
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,FOREST HILL GROUP PRACTICE,32690056,1400
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,IVEAGH SURGERY,32690066,1400
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,PARK MEDICAL CENTRE LONDON,32690090,1400
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,STREATHAM COMMON GROUP PRACTICE,32690112,1400
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,TORRIDON ROAD MEDICAL PRACTICE,32690121,1400
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,GILLMANS ROAD SURGERY,32768077,1400
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,SUMMERCROFT SURGERY,32768119,1400
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,SUMMERCROFT SURGERY,32768119,1403.44
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,DR CURRAN & PTNRS,32690037,1405.73
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,KNIGHTS HILL SURGERY,32807151,1409.42
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,PAXTON GREEN PRACTICE,32666216,1412.19
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,OLD KENT ROAD SURGERY,32690084,1419.9
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BALLATER,32768026,1427.16
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,ACORNS SURGERY,32690003,1448.1
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,1449.99
Department of Health,CCG,30/06/2020,C&M?GMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,PLUMBRIDGE MEDICAL CENTRE,32820084,1450.41
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,MAWBEY GROUP PRACTICE,32690077,1456.98
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,LAMBETH WALK GROUP PRACTICE,32690073,1466.64
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,ROYAL ARSENAL PMS,32690201,1487.5
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BERMONDSEY SPA MEDICAL CENTRE,32689999,1489.08
Department of Health,CCG,30/06/2020,C&M?PMS Prem Healthcentre Rates,PRC DELEGATED CO?COMMISSIONING,DR BHADRA & DR PADIYAR PARTNERS TA RIVERSIDE SURGERY,32690222,1493.13
Department of Health,CCG,30/06/2020,ME?GMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,INGELTON AVENUE,32820089,1495.75
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,NUNHEAD SURGERY,32690086,1497.47
Department of Health,CCG,30/06/2020,C&M?GMS Other Addtl Staff Paymts,PRC DELEGATED CO?COMMISSIONING,INGELTON AVENUE,32820089,1498
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BIGGIN HILL SURGERY,32768035,1506.21
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,DR MOSTAFA M A,32690181,1507.98
Department of Health,CCG,30/06/2020,Cont Care?Physical Disab (<65),CLINICAL ASSESSMENT AND TREATMENT CENTRES,ROYAL HOSPITAL FOR NEURO DISABILITY,32915483,1509.38
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,SOUTHBROUGH LANE SURGERY,32768110,1510.52
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,GROVE MEDICAL CENTRE LONDON,32666207,1511.91
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,QUEENS ROAD SURGERY LONDON,32690098,1515.03
Department of Health,CCG,30/06/2020,C&M?GMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,SURGERY BECKENHAM,32768114,1517.79
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,DYSART SURGERY,32753670,1525.21
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BRIXTON HILL GROUP PRACTICE,32690013,1525.79
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CRYSTAL PALACE,32690053,1526.67
Department of Health,CCG,30/06/2020,C&M?APMS Other Addtl Staff Paymts,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD HEALTHCARE CENTRE,32690221,1527.09
Department of Health,CCG,30/06/2020,C&M?GMS Prem Healthcentre Rates,PRC DELEGATED CO?COMMISSIONING,KNIGHTS HILL SURGERY,32807151,1528.2
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,STREATHAM COMMON GROUP PRACTICE,32690112,1528.37
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,SUMMERCROFT SURGERY,32768119,1528.67
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,CORNER SURGERY,32690025,1540
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CRYSTAL PALACE,32690053,1540
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,BROOMWOOD ROAD SURGERY,32768039,1540
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,CHINBROOK SURGERY,32666199,1547.81
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,BEXLEY MEDICAL GROUP,32690172,1552.8
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY WEST WICKHAM,32768111,1553.32
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BELLEGROVE ROAD SURGERY,32690165,1556.65
Department of Health,CCG,30/06/2020,C&M?GMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,FAMILY SURGERY ORPINGTON,32768075,1563.33
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,1569.43
Department of Health,CCG,30/06/2020,C&M?PMS PCO Locum Sickness,PRC DELEGATED CO?COMMISSIONING,FOREST HILL GROUP PRACTICE,32690056,1574.4
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,LEWISHAM MEDICAL CENTRE,32698057,1578.16
Department of Health,CCG,30/06/2020,C&M?PMS Additional Staff Payments,PRC DELEGATED CO?COMMISSIONING,DR RATNESWAREN S,32690184,1578.51
Department of Health,CCG,30/06/2020,C&M?PMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,ALBION SURGERY,32668619,1584.72
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,CAMBERWELL GREEN SURGERY,32666197,1588.71
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,LINKS MEDICAL PRACTICE (THE),32768092,1600.45
Department of Health,CCG,30/06/2020,C&M?GMS Other Addtl Staff Paymts,PRC DELEGATED CO?COMMISSIONING,FORGE CLOSE SURGERY,32768083,1601.5
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,AT MEDICS LISTER,32690148,1605.14
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,FAIRFIELDS PRACTICE LONDON,32690194,1611.44
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,TORRIDON ROAD MEDICAL PRACTICE,32690121,1612.94
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,WOODLANDS PRACTICE,32768136,1619.69
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,ROYAL ARSENAL PMS,32690201,1631.31
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,WELLS PARK PRACTICE,32690134,1635.62
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BROOMWOOD ROAD SURGERY,32768039,1637.08
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,WELLING MEDICAL,32690213,1639.85
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BEXLEY GROUP PRACTICE,32690170,1643.16
Department of Health,CCG,30/06/2020,C&M?APMS Contract Value,PRC DELEGATED CO?COMMISSIONING,BROMLEY GP ALLIANCE,32753692,1652.52
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,1669.18
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,1669.89
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,KNOLL MEDICAL PRACTICE,32753673,1670.95
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,CAMBERWELL GREEN SURGERY,32666197,1680
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,CLAPHAM PARK GROUP PRACTICE,32690018,1680
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,LAMBETH WALK GROUP PRACTICE,32690073,1680
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,TRIVENI PMS,32690208,1680
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,WELLING MEDICAL,32690213,1680
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,PARKVIEW SURGERY LONDON,32820036,1680
Department of Health,CCG,30/06/2020,Income tax <1Yr?Student Loans,BALANCE SHEET,HMRC,32768857,1694
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,OAKFIELD SURGERY LONDON,32768146,1699.21
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY SIDCUP,32690203,1704.92
Department of Health,CCG,30/06/2020,C&M?GMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,ST MARY CRAY PRACTICE,32768125,1704.92
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,LEES ROAD SURGERY,32690071,1709.05
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,POVEREST MEDICAL CENTRE,32768103,1710.78
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,GREEN ST GREEN MEDICAL CENTRE,32768086,1716.2
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,CONCORDIA MELBOURNE GROVE,32690021,1724.16
Department of Health,CCG,30/06/2020,C&M?PMS Prem Healthcentre Rates,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,1736.38
Department of Health,CCG,30/06/2020,C&M?GMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,BANK HOUSE SURGERY FARNBOROUGH,32768031,1741.67
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,FOREST HILL GROUP PRACTICE,32690056,1743.86
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,STREATHAM COMMON GROUP PRACTICE,32690112,1745.3
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,COLDHARBOURHILL PMS,32668624,1747.5
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,HURLEY CLINIC,32690161,1748.72
Department of Health,CCG,30/06/2020,C&M?APMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,32690159,1752.31
Department of Health,CCG,30/06/2020,C&M?PMS Prem Clinical Waste,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690155,1764.91
Department of Health,CCG,30/06/2020,C&M?PMS PCO Doctors Ret Scheme,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,1769.16
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,WATERLOO HEALTH CENTRE,32690136,1774.24
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,SOUTH VIEW LODGE DR WILLATT HEATHCOTE,32768105,1779.53
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,SILVERLOCK,32690105,1786.61
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,ST MARKS MEDICAL CENTRE,32690205,1791.67
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,IVEAGH SURGERY,32690066,1795.14
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,SANDMERE PRACTICE,32690102,1820
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,SOUTHBROUGH LANE SURGERY,32768110,1820
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Clinical Director,PRC DELEGATED CO?COMMISSIONING,TRIVENI PMS,32690208,1826.06
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,SANDMERE PRACTICE,32690102,1827.06
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,SOUTHBROUGH LANE SURGERY,32768110,1836.14
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,VALE MEDICAL CENTRE,32666221,1853.17
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,ALBION SURGERY,32668619,1860.85
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,STOCKWELL GROUP PRACTICE,32666219,1865.61
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,PLUMSTEAD H C PMS,32690199,1869.01
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,HURLEY CLINIC,32690069,1873.73
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,MANOR BROOK MEDICAL PRACTICE,32690198,1890.36
Department of Health,CCG,30/06/2020,C&M?GMS Other Addtl Staff Paymts,PRC DELEGATED CO?COMMISSIONING,ST MARY CRAY PRACTICE,32768125,1908.42
Department of Health,CCG,30/06/2020,C&M?GMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,SURGERY BROMLEY,32768117,1916.67
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,BEXLEY GROUP PRACTICE,32690170,1917.36
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,AMERSHAM VALE TRAINING PRACTICE,32690001,1923.41
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,NEW ELTHAM MC DR ARORA,32690224,1929.04
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,DR PLANA F & PARTNER,32690186,1934.29
Department of Health,CCG,30/06/2020,C&M?APMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,CATOR MEDICAL CENTRE,32768054,1936.88
Department of Health,CCG,30/06/2020,C&M?GMS Other Addtl Staff Paymts,PRC DELEGATED CO?COMMISSIONING,BANK HOUSE SURGERY FARNBOROUGH,32768031,1945.04
Department of Health,CCG,30/06/2020,Cont Care? Prior Year Payments,CHC ADULT FULLY FUNDED,METRO HOMECARE LTD,32797561,1951.84
Department of Health,CCG,30/06/2020,C&M?GMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,INGELTON AVENUE,32820089,1953.55
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,ADDINGTON ROAD SURGERY,32768030,1960
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,1967.92
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,ST JOHNS MEDICAL CENTRE,32666220,1974.06
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,KNOLL MEDICAL PRACTICE,32753673,1976.21
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,FORGE CLOSE SURGERY,32768083,1982.9
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,ADDINGTON ROAD SURGERY,32768030,1996
Department of Health,CCG,30/06/2020,C&M?PCN DES Support Payment,PRC DELEGATED CO?COMMISSIONING,TRIVENI PMS,32690208,2002.45
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,EDITH CAVELL PRACTICE,32690045,2004.01
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,STREATHAM COMMON GROUP PRACTICE,32690112,2004.28
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,DR BHADRA & DR PADIYAR PARTNERS TA RIVERSIDE SURGERY,32690222,2020.83
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,HERNE HILL GROUP PRACTICE,32690060,2021.76
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,2023.48
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,DULWICH MEDICAL CENTRE CRYSTAL PALACE,32690053,2024.23
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,BALLATER,32768026,2025.12
Department of Health,CCG,30/06/2020,C&M?GMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,SURGERY BIGGIN HILL,32768116,2028.17
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,DR MCINTYRE & PARTNERS,32690180,2039.88
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,HERNE HILL GROUP PRACTICE,32690060,2041.85
Department of Health,CCG,30/06/2020,C&M?GMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,ANERLEY SURGERY,32768023,2045.83
Department of Health,CCG,30/06/2020,C&M?GMS Other FDR Payment,PRC DELEGATED CO?COMMISSIONING,ANERLEY SURGERY,32768023,2055.62
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,2061.07
Department of Health,CCG,30/06/2020,C&M?GMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,ST MARY CRAY PRACTICE,32768125,2066.67
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,BARNARD PRACTICE,32668617,2077.7
Department of Health,CCG,30/06/2020,C&M?PMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,ALBION STREET HEALTH CENTRE,32690007,2086.4
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,CONCORDIA PARKSIDE,32690023,2089.36
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,WOODLANDS PRACTICE,32768136,2099.96
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,STREATHAM PLACE,32690142,2100
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,ABBEY WOOD SURGERY,32690167,2100
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,PLUMSTEAD H C PMS,32690199,2100
Department of Health,CCG,30/06/2020,C&M?PMS Prem Rates,PRC DELEGATED CO?COMMISSIONING,ROYAL ARSENAL PMS,32690201,2103.03
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,CONCORDIA PARKSIDE,32690023,2106.8
