Department,CCG,Date,Expense Type,Expsene Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406395,"5,667.90"
Department of Health,NHS Hounslow CCG,,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,,"5,694.97"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SK MAYOR,32406375,"5,747.11"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,"6,039.98"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,32406383,"6,054.81"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR GM WILLIAMS,32314212,"6,248.25"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,32406377,"6,670.05"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,32287416,"6,694.30"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,32406375,"6,875.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406395,"6,911.14"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,32287420,"6,991.81"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,32314216,"7,316.94"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,32287416,"7,458.51"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,32413199,"7,536.01"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ARGYLE HEALTH ISLEWORTH LTD,32314216,"7,569.25"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR RK SINGH & PARTNERS HOUNSLOW,32421156,"7,795.88"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers NHI-Rchgs to-from Oth Non NHS,CLINICAL SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413104,"8,354.55"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHESTNUT PRACTICE,32398125,"8,359.71"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers NHI-Rchgs to-from Oth Non NHS,CLINICAL SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413195,"8,461.04"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421156,"8,778.30"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,PENTELOW PRACTICE,32421157,"9,081.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406350,"9,873.41"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,"10,296.69"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers Pen-Rchgs to-from Oth Non NHS,CLINICAL SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413104,"10,442.90"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers Pen-Rchgs to-from Oth Non NHS,CLINICAL SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413195,"10,576.30"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WILLOW PRACTICE,32314214,"10,651.75"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,32287412,"10,768.96"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32287424,"11,913.00"
Department of Health,NHS Hounslow CCG,31-May-20,Basic Sal-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413104,"13,260.03"
Department of Health,NHS Hounslow CCG,31-May-20,Basic Sal-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413195,"13,283.18"
Department of Health,NHS Hounslow CCG,31-May-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,32336064,"15,171.03"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,32421156,"15,744.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,32314216,"16,074.00"
Department of Health,NHS Hounslow CCG,31-May-20,Basic Sal-Rchgs to-from Oth Non NHS,PROGRAMME PROJECTS,LONDON BOROUGH OF HOUNSLOW,32413104,"16,432.49"
Department of Health,NHS Hounslow CCG,31-May-20,Basic Sal-Rchgs to-from Oth Non NHS,PROGRAMME PROJECTS,LONDON BOROUGH OF HOUNSLOW,32413195,"16,432.80"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421157,"19,444.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314212,"21,467.00"
Department of Health,NHS Hounslow CCG,31-May-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,32336064,"21,631.01"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406395,"22,437.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,32406377,"24,996.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,32406357,"25,673.74"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413147,"25,750.00"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413104,"26,120.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,"27,077.05"
Department of Health,NHS Hounslow CCG,31-May-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,32489004,"28,077.43"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Serv Recd-F Trsts,LEARNING DIFFICULTIES,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,32354643,"28,556.39"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,"28,568.38"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421157,"28,975.11"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS,32354588,"29,013.29"
Department of Health,NHS Hounslow CCG,31-May-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,32511210,"29,369.73"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,32406364,"29,645.77"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Othe Public Sector,SAFEGUARDING,LONDON BOROUGH OF HOUNSLOW,32406406,"30,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Income tax <1Yr,BALANCE SHEET,HMRC,32321218,"30,193.00"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,NHS 111,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413126,"30,437.50"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (<65),Adult Joint Funded Continuing Care Personal Health Budgets,LONDON BOROUGH OF HOUNSLOW,32321181,"30,690.39"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32354555,"31,754.70"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,32406404,"32,695.23"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,INTERPRETING SERVICES,MARIE STOPES INTERNATIONAL,32413195,"33,153.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,NHS HAMMERSMITH AND FULHAM CCG,32354648,"33,227.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,OXLEAS NHS FOUNDATION TRUST,32354645,"33,239.64"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,32406364,"35,733.67"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS TRUST,32354584,"36,095.28"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,"36,532.62"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,32406361,"37,172.69"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,32354629,"37,849.61"
Department of Health,NHS Hounslow CCG,31-May-20,Telecoms-Phone Rental and Calls,PRIMARY CARE IT,EVERYTHING EVERYWHERE LTD,32413171,"38,045.83"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406350,"38,595.60"
Department of Health,NHS Hounslow CCG,31-May-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32511215,"41,651.41"
Department of Health,NHS Hounslow CCG,31-May-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32511250,"41,651.41"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32354597,"42,149.23"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,32406361,"42,854.40"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413160,"42,857.00"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413163,"42,857.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,32406404,"42,960.94"
Department of Health,NHS Hounslow CCG,,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,PRACTICE SERVICES LTD (THE),,"43,206.75"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413141,"43,499.94"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413184,"43,499.94"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,SOUTH WEST LONDON AND ST GEORGE`S MENTAL HEALTH NHS,32354632,"43,829.49"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,32354641,"44,776.42"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413169,"45,045.55"
Department of Health,NHS Hounslow CCG,,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,,"45,144.98"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,WEST LONDON NHS TRUST,32413097,"47,368.86"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,OMNES HEALTHCARE LTD,32413179,"47,920.42"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,32354619,"49,002.76"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,32406348,"49,869.92"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,32406385,"50,478.91"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,32406368,"51,130.91"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,32287416,"51,185.39"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32321153,"51,703.02"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32354580,"52,857.79"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,32287412,"52,910.86"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,"53,123.92"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32511253,"54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32511298,"54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527382,"54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527386,"54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527391,"54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406348,"57,552.23"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,32406398,"58,172.37"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413137,"58,250.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,32406375,"58,412.25"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,"59,689.33"
Department of Health,NHS Hounslow CCG,31-May-20,Protective Clothing,PRIMARY CARE DEVELOPMENT,CONSOLIDATED LOGISTICS SERVICES LTD,32455875,"59,829.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,32421156,"60,988.32"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,32406389,"62,619.99"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,NHS 111,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413149,"63,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,32406350,"63,485.74"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,32406355,"64,505.52"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406395,"64,738.94"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,Learning Difficulties - S117,LONDON BOROUGH OF HOUNSLOW,32413139,"64,875.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32354626,"65,108.57"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32354586,"66,821.95"
Department of Health,NHS Hounslow CCG,,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,,"68,683.20"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,32406346,"69,004.50"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - SPECIALIST SERVICES,CYGNET HEALTHCARE LTD,32413112,"71,332.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,32406402,"71,719.60"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,32406383,"71,771.53"
Department of Health,NHS Hounslow CCG,31-May-20,Hlthcre-Foundation Trsts,COMMISSIONING SCHEMES,ASHFORD & ST PETERS HOSPITALS NHSFT,32321101,"74,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hlthcre-Foundation Trsts,COMMISSIONING SCHEMES,ASHFORD & ST PETERS HOSPITALS NHSFT,32321100,"74,138.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,32287422,"75,575.28"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),32354623,"78,929.86"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,32321138,"85,140.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,32406377,"85,561.35"
Department of Health,NHS Hounslow CCG,31-May-20,Basic Sal-Rchgs to-from Oth Non NHS,CLINICAL SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413103,"85,634.16"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,NHS 111,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413153,"86,250.00"
Department of Health,NHS Hounslow CCG,31-May-20,Basic Sal-Rchgs to-from Oth Non NHS,CLINICAL SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413194,"86,725.66"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,32406389,"86,803.09"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,32287420,"86,963.05"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413157,"86,999.79"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,32413188,"86,999.79"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,32314214,"97,553.53"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,32287414,"102,939.22"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,32354614,"108,971.18"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,"109,770.76"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ADVINIA CARE HOME LTD,32413189,"111,636.57"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARING HOMES GROUP,32314216,"116,448.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,32287418,"143,598.14"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,,"151,006.18"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,ANCHOR THE COUNSELLING PRACTICE,32455858,"159,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,32354636,"170,837.87"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KINGSTON HOSPITAL NHS FOUNDATION TRUST,32354601,"193,168.12"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32354610,"194,297.67"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32354591,"242,729.31"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32321102,"242,814.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ASHFORD & ST PETERS HOSPITALS NHSFT,32445349,"287,276.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527432,"324,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527440,"324,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32455832,"382,584.00"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,NHS 111,CARE UK (URGENT CARE) LTD,32413183,"410,044.84"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HOUNSLOW CONSORTIUM LTD,32413175,"510,685.13"
