Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33509301,"3,020.02"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,"3,125.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486215,"3,188.49"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,33585588,"3,266.37"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,33486221,"3,307.27"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,33486209,"3,347.17"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486219,"3,582.09"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486213,"3,643.33"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,"3,727.59"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585595,"3,752.41"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,"3,805.89"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,33585585,"3,851.72"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,33486211,"3,853.94"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585606,"3,882.48"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486219,"3,924.98"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,"3,957.46"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486213,"3,971.59"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,"4,000.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,"4,016.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,33486205,"4,080.49"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"4,098.63"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,"4,112.28"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"4,120.83"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,"4,203.22"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,33585624,"4,216.15"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,"4,229.17"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585615,"4,244.86"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,33585585,"4,270.83"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,33486209,"4,291.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585597,"4,317.83"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,33585618,"4,370.99"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,33486207,"4,417.32"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33509301,"4,583.33"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585595,"4,635.15"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,"4,638.86"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,33599224,"4,706.05"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,"4,795.13"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,33585610,"4,893.47"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585615,"4,925.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,33486211,"5,127.04"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,33585612,"5,160.89"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585615,"5,539.84"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,"5,608.57"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,33585574,"5,632.27"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,"5,711.47"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,33486221,"5,712.71"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,33585593,"5,785.18"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,33585622,"5,809.94"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,33585588,"5,998.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486213,"6,010.59"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486217,"6,037.10"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,33585604,"6,254.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,33486203,"6,310.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585597,"6,875.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,33486209,"7,271.26"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486213,"7,316.94"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,"7,419.49"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585593,"7,536.01"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ARGYLE HEALTH ISLEWORTH LTD,33486213,"7,569.25"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR RK SINGH & PARTNERS HOUNSLOW,33585595,"7,795.88"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486217,"7,850.72"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,33585615,"8,778.30"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,PENTELOW PRACTICE,33585618,"9,081.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,"9,648.90"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,33486211,"10,296.69"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,33585574,"10,502.47"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WILLOW PRACTICE,33486211,"10,651.75"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHESTNUT PRACTICE,33585499,"11,378.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,33585499,"15,353.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,"18,802.87"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"19,743.71"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,33585604,"21,739.85"
Department of Health,NHS Hounslow CCG,31-Aug-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,33585499,"22,020.98"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585615,"22,437.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"22,580.51"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,"24,996.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BOC LTD,33621882,"25,049.08"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,33585579,"25,788.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - SPECIALIST SERVICES,CYGNET HEALTHCARE LTD,33621897,"27,280.87"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,"28,486.07"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Serv Recd-F Trsts,LEARNING DIFFICULTIES,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,33531171,"28,556.39"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,33585618,"28,914.80"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS,33530960,"29,013.29"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,33585587,"29,350.97"
Department of Health,NHS Hounslow CCG,31-Aug-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,33535997,"29,369.73"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33509301,"30,218.60"
Department of Health,NHS Hounslow CCG,31-Aug-20,Income tax <1Yr,BALANCE SHEET,HMRC,33555684,"30,620.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33530830,"31,754.70"
Department of Health,NHS Hounslow CCG,31-Aug-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ADVINIA CARE HOME LTD,33536036,"31,989.78"
Department of Health,NHS Hounslow CCG,,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,,"33,175.17"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,OXLEAS NHS FOUNDATION TRUST,33531175,"33,239.64"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,"35,517.29"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,33585588,"35,986.37"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS TRUST,,"36,095.28"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,33486209,"36,416.18"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,33585583,"36,849.15"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,33531122,"37,849.61"
Department of Health,NHS Hounslow CCG,31-Aug-20,Recharge : Received,PRIMARY CARE IT,NHS BRENT CCG,33555595,"38,279.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486215,"38,292.50"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33531043,"42,149.23"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,33585622,"42,664.38"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,33585583,"42,769.14"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,SOUTH WEST LONDON AND ST GEORGE`S MENTAL HEALTH NHS,33531131,"43,829.49"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,33531164,"44,776.42"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,33486203,"45,257.36"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33531096,"49,002.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,"49,355.96"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585606,"50,445.11"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,"51,112.06"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Commercial Sector,NHS 111,HOUNSLOW CONSORTIUM LTD,33599232,"51,392.50"
Department of Health,NHS Hounslow CCG,,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ADVINIA CARE HOME LTD,,"51,987.00"
Department of Health,NHS Hounslow CCG,,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,,"52,332.75"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,33530912,"52,857.79"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,33486205,"52,940.99"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,"53,127.74"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585570,"57,114.61"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585597,"57,872.98"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,33585624,"58,054.92"
Department of Health,NHS Hounslow CCG,,Computer Software/License,PRIMARY CARE IT,ECONSULT HEALTH LTD,,"59,310.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585595,"59,619.87"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585599,"59,839.43"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,33585612,"62,906.44"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,33585572,"63,161.05"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,"64,377.56"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33531114,"65,108.57"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585614,"65,671.15"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,33530950,"66,821.95"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,33585593,"68,606.07"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,"68,681.60"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,33585602,"71,557.01"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,33585622,"71,631.89"
Department of Health,NHS Hounslow CCG,,Clinical&Medical-Commercial Sector,NHS 111,CARE UK (URGENT CARE) LTD,,"73,800.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),33531106,"78,929.86"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,33585606,"85,927.57"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,"86,248.07"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE,33555548,"86,999.79"
Department of Health,NHS Hounslow CCG,31-Aug-20,Recharge : Received,PROGRAMME PROJECTS,NHS BRENT CCG,33555684,"87,010.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,33536011,"87,978.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,33585574,"93,917.94"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,33486207,"103,323.20"
Department of Health,NHS Hounslow CCG,31-Aug-20,Clinical&Medical-Commercial Sector,NHS 111,CARE UK (URGENT CARE) LTD,33555584,"103,726.37"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"105,482.64"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,33531090,"108,971.18"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,"109,770.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33536015,"109,770.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,33486220,"150,844.36"
Department of Health,NHS Hounslow CCG,,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,,"151,006.18"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,33531152,"170,837.87"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486218,"173,400.86"
Department of Health,NHS Hounslow CCG,31-Aug-20,Recharge : Received,RECHARGES,NHS BRENT CCG,33555684,"190,199.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486212,"191,811.84"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KINGSTON HOSPITAL NHS FOUNDATION TRUST,33531053,"193,168.12"
