Department,CCG,Date,Expense Type,Expsense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,HAMPTON MEDICAL CENTRE,34888616,"4,998.74"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"5,012.06"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34888612,"5,071.74"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,,34888635,"5,278.43"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"5,300.11"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,QUEENS ROAD MEDICAL CENTRE,34888631,"5,482.88"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,"5,554.83"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,SINNOTT ROAD SURGERY,34888633,"5,593.63"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"5,898.16"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,"5,977.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"6,047.96"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"6,061.73"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"6,126.27"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HURLEY GROUP,34888641,"6,169.23"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DRS SS & SJ KUMAR,34888614,"6,270.75"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"6,363.93"
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,"6,546.84"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,35041373,"6,583.38"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,KINGSHEAD MEDICAL PRACTICE,34914700,"6,624.63"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34888612,"6,627.08"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,,34888635,"6,766.42"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"6,870.10"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,OLIVER ROAD MEDICAL CENTRE,34888627,"6,873.52"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"6,999.03"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCHILL HEALTHCARE LTD,35021914,"7,222.25"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ALLUM MEDICAL CENTRE,34888604,"7,240.38"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"7,301.38"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,OLD CHURCH SURGERY,35021948,"7,353.37"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COMELY BANK CLINIC,34888606,"7,693.62"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,LYNDHURST SURGERY LONDON,35021943,"7,788.79"
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"7,824.70"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL PRACTICE LTD,34889190,"7,905.73"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"8,308.36"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,35041373,"8,404.91"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,WOOD STREET HEALTH CENTRE,34888637,"9,191.59"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,HIGHAM HILL MEDICAL CENTRE,34888618,"9,333.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"9,593.71"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,LL MEDICAL CARE LTD,34888621,"9,731.37"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,ECCLESBOURNE PRACTICE,34888612,"9,775.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,MIRCOFACULTY,34888625,"10,195.17"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,"10,364.67"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,SINNOTT ROAD SURGERY,34888633,"10,466.90"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,DR S PHILLIPS & DR M PATEL,34888610,"10,558.12"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"10,729.17"
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"10,850.50"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,DR SHAH & PARTNERS,34888608,"11,504.34"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,OLD CHURCH SURGERY,35021948,"11,591.19"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"11,708.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,"11,926.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,RIDGEWAY SURGERY LONDON,35021952,"11,988.54"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,LIME TREE SURGERY LONDON,34888623,"12,930.25"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,LIME TREE SURGERY LONDON,34888623,"13,347.41"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,PENRYHN SURGERY,34888629,"13,463.30"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,"13,623.88"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,CRAWLEY ROAD MEDICAL CENTRE,35021916,"14,309.52"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,OLIVER ROAD MEDICAL CENTRE,34888627,"14,872.32"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,"15,081.50"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,,34888635,"15,589.87"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,,34888635,"15,878.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,34912913,"16,899.53"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-APMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,HURLEY GROUP,34888641,"17,978.61"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"20,987.46"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,COMELY BANK CLINIC,34888606,"21,283.81"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34888608,"21,359.20"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,CHURCHILL HEALTHCARE LTD,35021914,"21,962.06"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,OLIVER ROAD MEDICAL CENTRE,34888627,"22,438.55"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR S PHILLIPS & DR M PATEL,34888610,"22,804.30"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,ST JAMES MEDICAL PRACTICE LTD,34889190,"22,931.13"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"23,124.73"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAMPTON MEDICAL CENTRE,34888616,"23,247.98"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,QUEENS ROAD MEDICAL CENTRE,34888631,"23,407.86"
Department of Health,NHS Waltham Forest CCG,12/31/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,34912913,"24,903.22"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,MANOR PRACTICE LONDON,35021946,"25,072.32"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,DRS SS & SJ KUMAR,34888614,"25,214.04"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,LYNDHURST SURGERY LONDON,35021943,"25,254.46"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,"25,898.21"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"26,172.45"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"26,425.59"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,"30,113.57"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,PENRYHN SURGERY,34888629,"30,293.60"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,ASPRAY HOUSE LTD,35009540,"30,934.28"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,"31,244.91"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,COMMUNITY SPECIALIST CLINICS LTD,34843409,"32,824.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL PRACTICE LTD,34889190,"33,599.75"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,,34827338,"33,610.72"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,COMELY BANK CLINIC,34888606,"34,764.76"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LYNDHURST SURGERY LONDON,35021943,"34,786.68"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"35,576.68"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,,35083692,"36,000.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Charges from CSU,CORPORATE COSTS & SERVICES,NHS NEL CSU,34796098,"36,630.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,HARROW ROAD GP PRACTICE,34888639,"36,791.04"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34888625,"38,026.90"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Charges from CSU,CORPORATE COSTS & SERVICES,NHS NEL CSU,34796095,"38,094.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Income tax <1Yr,BALANCE SHEET,HMRC,34912913,"38,209.20"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Cont Care- Children,CHC CHILDREN,,34818361,"39,515.90"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,WF FEDERATED GP NETWORK LTD,34899912,"39,650.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,LEGAL CLAIMS-OTHER SETTLEMT PAID,"CENTRES
FINANCE",BEVAN BRITTAN LLP,35083299,"40,000.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"41,136.68"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,QUEEN MARY UNIVERSITY OF LONDON,34773370,"41,449.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,ALLUM MEDICAL CENTRE,34888604,"41,737.69"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,35041373,"42,297.02"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,"42,541.80"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOOD STREET HEALTH CENTRE,34888637,"42,548.92"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,"43,825.82"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SINNOTT ROAD SURGERY,34888633,"47,014.08"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34888612,"48,044.16"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR S PHILLIPS & DR M PATEL,34888610,"48,905.91"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34888608,"52,068.53"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,OLD CHURCH SURGERY,35021948,"53,165.18"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY LONDON,35021952,"53,697.65"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,WF FEDERATED GP NETWORK LTD,34944296,"54,627.06"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"56,356.08"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,WF FEDERATED GP NETWORK LTD,35083688,"57,157.26"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Computer Network Costs,PROGRAMME PROJECTS,NHS NEL CSU,35127386,"57,222.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LIME TREE SURGERY LONDON,34888623,"57,907.52"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,COMMUNITY SPECIALIST CLINICS LTD,34827339,"58,475.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Commercial Sector,"CENTRES
CLINICAL ASSESSMENT AND TREATMENT",INHEALTH LTD,35068276,"58,655.62"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"59,888.07"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Voids and Subsidies,PROGRAMME PROJECTS,NHS PROPERTY SERVICES LTD,34856299,"59,971.66"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34856301,"59,971.66"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34832456,"60,736.34"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT,INHEALTH LTD,35068263,"61,190.32"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,34827411,"62,122.50"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PENRYHN SURGERY,34888629,"62,302.58"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,,34832467,"64,651.66"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"64,844.55"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CRAWLEY ROAD MEDICAL CENTRE,35021916,"66,732.40"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,,34888635,"68,811.11"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34888612,"70,789.94"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,"71,372.59"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Voids and Subsidies,PROGRAMME PROJECTS,NHS PROPERTY SERVICES LTD,34856298,"71,649.05"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34856300,"71,649.05"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,OLIVER ROAD MEDICAL CENTRE,34888627,"71,926.54"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,,34832470,"76,645.35"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,EAST LONDON NHS FOUNDATION TRUST,34832457,"79,044.08"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,,34832460,"84,184.23"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,WF FEDERATED GP NETWORK LTD,34899923,"90,824.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,COMELY BANK CLINIC,34888606,"95,987.27"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"98,162.98"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Commercial Sector,I+E SET-UP DEFAULT,,34859819,"100,000.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HURLEY GROUP,34888641,"103,294.56"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL PRACTICE LTD,34889190,"104,237.75"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"105,747.48"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"107,115.45"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,OLIVER ROAD MEDICAL CENTRE,34888627,"108,525.98"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,WF FEDERATED GP NETWORK LTD,34918230,"116,949.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,WF FEDERATED GP NETWORK LTD,35031245,"116,949.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,,35031168,"128,586.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,WF FEDERATED GP NETWORK LTD,34944292,"134,987.31"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-APMS LES Care Home/Nursing Home,PRC DELEGATED CO-COMMISSIONING,WF FEDERATED GP NETWORK LTD,34944294,"134,987.31"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,WF FEDERATED GP NETWORK LTD,35083683,"139,486.89"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,WF FEDERATED GP NETWORK LTD,34899918,"198,500.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34832466,"200,351.62"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,,34832471,"200,666.67"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS CCG-Non Contract,LOCAL ENHANCED SERVICES,NHS ENGLAND,34818373,"201,766.00"
