Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Nhs Blood Products,Pathology And Blood,Nhs Blood Transplant,894510,"74,548.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Non-Nhs Contracts,Clin Admin Management Team,Icnh Ltd  (T/A Drdoctor),CHELWEST0004,"257,802.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Sbs Service Charge,Employee Relations,Nhs Shared Business Services,PAYROLL M12 21,"36,699.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,48/ 2020-21,"53,583.04"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,52/ 2020-21,"42,540.62"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,51/ 2020-21,"51,695.98"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,50/ 2020-21,"43,324.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,49/ 2020-21,"45,998.64"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,48692637K,"41,965.44"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,SIN103131434,"36,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/03/2021,Commercial Rents and Service Charge,Dean Street Facilities,Amas Ltd,0584-968098,"95,975.93"
