Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount,Description,Supplier Postcode
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,"1,403.70",PARTIP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,"6,104.00",CQCRP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,"3,679.67",RANDRP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,571.61,RAMWP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,"5,850.22",QUASPP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33074462,"9,038,600.00",August 20 SLA Payment BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33074470,"2,127,900.00",August 20 SLA Payment BARTS HEALTH NHS TRUST,E1 8PR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,33074482,"35,100.00",August 20 SLA Payment GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,WC1B 5EH
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33074488,"165,700.00",August 20 SLA Payment GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,SE1 9RT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33074495,"216,200.00",August 20 SLA Payment HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33074501,"36,100.00",August 20 SLA Payment IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1NY
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33074508,"38,000.00",August 20 SLA Payment KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE5 9RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEWISHAM & GREENWICH NHS TRUST,33074514,"38,600.00",August 20 SLA Payment LEWISHAM & GREENWICH NHS TRUST,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33074520,"946,800.00",August 20 SLA Payment LONDON AMBULANCE SERVICE NHS TRUST,BB3 0FG
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MID AND SOUTH ESSEX FOUNDATION TRUST,33074533,"189,300.00",August 20 SLA Payment MID AND SOUTH ESSEX FOUNDATION TRUST,SS0 0RY
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33074537,"237,000.00",August 20 SLA Payment MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,EC1V 2PD
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,NORTH EAST LONDON NHS FOUNDATION TRUST,33074544,"2,542,175.00",August 20 SLA Payment NORTH EAST LONDON NHS FOUNDATION TRUST,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hlthcre-Foundation Trsts,COMMUNITY SERVICES,NORTH EAST LONDON NHS FOUNDATION TRUST,33074549,"2,601,285.00",August 20 SLA Payment NORTH EAST LONDON NHS FOUNDATION TRUST,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33074554,"31,400.00",August 20 SLA Payment NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N18 1QX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33074560,"71,800.00",August 20 SLA Payment ROYAL FREE LONDON NHS FOUNDATION TRUST,EN1 3ES
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33074571,"50,000.00",August 20 SLA Payment ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA7 4LP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,33074583,"157,400.00",August 20 SLA Payment UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW1 2PG
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Charges from CSU,RECHARGES,NHS NEL CSU,33081036,"347,944.62",CCG INCOME CONTRACT - SLA 44811016,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33093058,"-24,182.76",PRYERP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33093058,"-3,243.27",PENEEP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33093058,"-1,418.22",SUPCEE,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33093058,"-5,127.52","SUPCER,PENERP",RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33093058,"-22,702.89",PRYEEP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"3,562.60",ZBASAP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"76,039.55",BABALP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"5,032.35",EXTHDP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,DR TOLIA & PARTNERS,33093059,"3,545.76",EXTH2P,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"3,729.92",CPHARP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"2,505.76",CLINDP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"10,169.85",INVIMP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR TOLIA & PARTNERS,33093059,"5,205.88",PCNSUP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"1,458.43",PARTIP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"2,949.08",SPRESP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"3,450.00",NRENT,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,33093059,"7,015.99",QUASPP,IG119LT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"4,120.13",ZBASAP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"62,472.74",BABALP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"4,624.78",EXTHDP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ST ALBANS SURGERY,33093060,"2,924.03",EXTH2P,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"2,672.65",CPHARP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"2,302.82",CLINDP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"10,044.08",INVIMP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ST ALBANS SURGERY,33093060,"4,784.25",PCNSUP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"1,200.61",PARTIP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"8,528.25",SPRESP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"3,245.83",NRENT,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"4,958.22",RANDRP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"5,286.03",QUASPP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"7,470.00",PENAVP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"12,035.01",PENEEP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,33093060,"11,935.41",PENERP,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Not For Profit,OUT OF HOURS,PARTNERSHIP OF EAST LONDON CO-OPERATIVES LTD,33104869,"84,000.00",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/0198e3bd-1a5b-5c13-bd41-687dd2ed13e8,IG1 2FA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,CHOSEN CARE GROUP LTD,33128108,"36,774.00",2292949 JUN (Physical Disabilities (under 65)) Tier 1,IG1 4PG
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Income tax <1Yr,BALANCE SHEET,HMRC,33142723,"16,268.00",,G70 6AA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33142723,229,,G70 6AA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,33142723,"11,308.74",,G70 6AA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,33142723,"8,047.17",,G70 6AA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,33192439,"55,278.00",AJ MOBILITY LTD Wheelchair Service July pmt,BN27 3JF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,MEDEFER LTD,33192526,"31,776.83",MEDEFER LTD Gastroenterology July pmt,N4 3JH
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,FOCUSED HEALTHCARE LTD,33192650,"39,815.52",Focused Healthcare LTD CHC Home Care July pmt,SE1 1UN
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33233389,"40,662.68",GSUMG,RM9 6HT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33233389,"1,357.25",ZADSPG,RM9 6HT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33233389,790.24,PARTIG,RM9 6HT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33233389,"3,129.17",NRENT,RM9 6HT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33233389,"3,226.67",QUASPG,RM9 6HT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BK JAISWAL,33233390,"1,220.54",DRGP,RM9 4SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33233390,"40,388.27",GSUMG,RM9 4SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33233390,782.96,PARTIG,RM9 4SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33233390,147.39,DRGPPF,RM9 4SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33233390,"3,423.10",QUASPG,RM9 4SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,C OLA,33233391,"28,946.89",GSUMG,RM108AR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C OLA,33233391,557.73,PARTIG,RM108AR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,C OLA,33233391,"1,416.67",NRENT,RM108AR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C OLA,33233391,"2,444.92",QUASPG,RM108AR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHIBBER & GUPTA,33233393,264.5,DRGP,IG119XQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33233393,"31,409.23",GSUMG,IG119XQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33233393,596.53,PARTIG,IG119XQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33233393,"1,458.34",NRENT,IG119XQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33233393,78.3,DRGPPF,IG119XQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33233393,"2,096.05",QUASPG,IG119XQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,33233396,"41,481.29",GSUMG,IG117UN
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,33233396,804.19,PARTIG,IG117UN
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,33233396,"3,911.75",NRENT,IG117UN
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,33233396,"4,013.52",QUASPG,IG117UN
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,33233401,"42,717.24",GSUMG,RM109AT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,33233401,"1,995.42",ZADSPG,RM109AT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,33233401,817.94,PARTIG,RM109AT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,33233401,"3,835.42",NRENT,RM109AT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,33233401,744.77,RANDR,RM109AT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,33233401,"2,929.29",QUASPG,RM109AT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR LAWRENCE & PARTNERS,33233403,60.93,DRGP,RM8 2ES
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,33233403,"59,041.62",GSUMG,RM8 2ES
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,33233403,"1,143.47",PARTIG,RM8 2ES
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,33233403,13.82,DRGPPF,RM8 2ES
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,33233403,"5,807.08",QUASPG,RM8 2ES
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N BILA,33233405,"36,990.28",GSUMG,RM9 5AZ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N BILA,33233405,715.15,PARTIG,RM9 5AZ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N BILA,33233405,"2,530.05",QUASPG,RM9 5AZ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,33233407,"36,795.99",GSUMG,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,33233407,730.15,PARTIG,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,33233407,"3,259.00",CQCRG,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,33233407,841.45,RANDR,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,33233407,"3,876.47",QUASPG,RM9 6EA
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FIVE ELMS MEDICAL PRACTICE,33233410,"31,328.35",GSUMG,RM9 5TT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FIVE ELMS MEDICAL PRACTICE,33233410,612.61,PARTIG,RM9 5TT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FIVE ELMS MEDICAL PRACTICE,33233410,"2,744.26",QUASPG,RM9 5TT
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,QUANSAH & PARTNERS,33233415,"48,775.69",GSUMG,RM9 5AS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,QUANSAH & PARTNERS,33233415,944.04,PARTIG,RM9 5AS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,QUANSAH & PARTNERS,33233415,"2,791.67",NRENT,RM9 5AS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,QUANSAH & PARTNERS,33233415,"3,164.08",QUASPG,RM9 5AS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233416,"-24,819.42",PRYERG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233416,"-20,838.62",SUPCEE,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233416,"-4,930.77",PENEEG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233416,"-26,230.81","SUPCER,PENERG",IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233416,"-13,535.58",PRYEEG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"58,817.14",GSUMG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"1,134.73",PARTIG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"5,400.00",CQCRG,IG117RS
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,33233417,"9,966.67",NRENT,IG117RS
