Department,CCG,Date,Expense Type,Exepense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,34614575,868.23
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,34614563,873.89
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,886.41
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,891.24
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,34614617,896.14
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,34614613,898.32
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,34614644,905.08
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,918.46
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,34614550,923.98
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,924.42
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,928.27
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,943.3
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,946.02
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,34614646,956.42
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,34614575,962.62
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614611,966.01
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,34614582,966.94
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,34614672,967.26
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,34614662,977.21
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,988.44
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,"1,012.46"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,34614636,"1,024.60"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,34614605,"1,050.04"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,34614586,"1,050.87"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,34614619,"1,056.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,34614662,"1,056.48"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,34614545,"1,060.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"1,060.56"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,34614597,"1,076.48"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,34614560,"1,077.57"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516353,"1,097.59"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,34614654,"1,100.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,"1,112.35"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,34614631,"1,115.13"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,"1,119.26"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,34614558,"1,122.29"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,34614567,"1,163.47"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,34614578,"1,174.73"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,"1,175.68"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,"1,188.52"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,"1,188.54"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,34614588,"1,195.52"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,"1,216.18"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,34516351,"1,218.87"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,"1,229.18"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,"1,231.26"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR L DAS,34614593,"1,236.92"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,34614664,"1,242.24"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,34516357,"1,247.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,34614580,"1,247.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,"1,247.69"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MG MIKHAIL,34614588,"1,267.92"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,"1,291.46"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,34614597,"1,297.37"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,"1,309.88"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,34614652,"1,309.88"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S RADHAKRISHNAN,34614623,"1,339.09"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,34614582,"1,342.65"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,"1,343.78"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,34614613,"1,372.59"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,"1,378.37"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,34614605,"1,382.65"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,"1,399.63"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,"1,445.02"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHISWICK FAMILY PRACTICE,34614662,"1,448.06"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,34614629,"1,450.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,34614662,"1,450.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,34614654,"1,452.75"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,34614556,"1,465.81"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,34614545,"1,486.60"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,"1,489.02"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,"1,507.40"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,34614599,"1,514.56"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,34614556,"1,515.56"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614603,"1,517.79"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,34614560,"1,528.35"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,34614578,"1,608.09"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,34614584,"1,611.35"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,34614631,"1,616.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,34614672,"1,621.75"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,"1,654.79"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S RADHAKRISHNAN,34614623,"1,657.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,34614664,"1,663.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516361,"1,709.08"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,34516355,"1,713.98"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,"1,714.88"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,"1,734.02"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,34614575,"1,736.10"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,34614625,"1,736.73"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,34614584,"1,747.21"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,34614638,"1,810.30"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,34614548,"1,842.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,"1,871.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,34616751,"1,877.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,"1,881.65"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,34516349,"1,892.04"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MANDEVILLE MEDICAL CENTRE,34614652,"1,908.76"
Department of Health,NHS Ealing CCG,30/11/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,34591591,"1,909.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,34614548,"1,920.62"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,34614615,"1,931.82"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,34614654,"1,933.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,34614654,"1,945.44"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,34614545,"1,971.37"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,"1,973.31"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,"1,974.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,34614664,"1,983.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,"2,016.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,34614597,"2,046.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JM BAYER,34614580,"2,059.45"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,"2,059.60"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,34614619,"2,075.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,34516351,"2,112.96"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,"2,123.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,34614644,"2,150.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516363,"2,162.40"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,34614580,"2,163.37"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,"2,230.02"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,34614556,"2,250.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,"2,250.73"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,"2,256.82"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,34614591,"2,281.80"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,34614657,"2,300.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,34614636,"2,333.06"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614611,"2,356.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,34614605,"2,373.75"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,"2,377.70"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DCM EVANS & PARTNERS,34614565,"2,380.51"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,34516359,"2,381.23"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR H NAY LIN,34616751,"2,387.47"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,34614613,"2,389.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,34614646,"2,389.58"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR S GUHA,34614603,"2,401.49"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,34614560,"2,453.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,34516357,"2,508.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,34516359,"2,553.84"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,34614558,"2,559.98"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,34614652,"2,567.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,34614588,"2,567.62"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516361,"2,578.20"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,34614548,"2,602.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,34614627,"2,616.15"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR S RADHAKRISHNAN,34614623,"2,638.09"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,34614550,"2,640.54"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,34614571,"2,647.20"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614603,"2,658.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,"2,678.63"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,34614563,"2,709.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,34614642,"2,730.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,34614629,"2,742.35"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,34516349,"2,762.32"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,34614662,"2,763.32"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ISLIP MANOR SURGERY,34614646,"2,778.77"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,34614646,"2,824.20"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,"2,847.92"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614603,"2,849.31"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516353,"2,900.41"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,34614625,"2,965.33"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,"2,987.74"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,34614672,"3,012.80"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,34614550,"3,020.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,34614650,"3,029.17"
