Department,,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"6,174.58"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"2,660.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"1,702.11"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"101,071.10"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"3,074.52"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR DCM EVANS & PARTNERS,33908379,"6,387.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"1,973.31"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"6,424.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"3,195.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,78.31
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,33908379,"8,165.13"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,33908381,560
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,33908381,"60,187.32"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,33908381,"1,163.47"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,33908381,"3,532.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,33908381,"5,158.71"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR E M ROBINSKA,33908383,"1,042.18"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,980
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,"1,511.35"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,"70,271.93"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,"1,291.46"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,"1,734.02"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,"14,442.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,77.11
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,191.14
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,33908383,"4,701.68"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,33908385,700
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,33908385,733.67
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,33908385,"42,614.39"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,33908385,773.24
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,33908385,"3,425.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,33908385,"2,647.20"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR IK SANDHU,33908387,444.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,33908387,420
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,33908387,"37,165.10"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,33908387,701.7
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,33908387,"4,597.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,33908387,126.67
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,33908387,"3,466.31"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR HM QADAN,33908389,818.14
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,280
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"1,232.56"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"52,734.15"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,962.62
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"3,817.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"1,736.10"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,62.18
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"4,491.17"
Department of Health,NHS Ealing CCG,30-Sep-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"2,269.14"
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,33908389,"2,269.14"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR G SIVARAJAH,33908391,206.47
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,"2,100.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,"38,584.60"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,707.97
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,"1,174.73"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,34.23
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,46.06
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,33908391,"3,937.78"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JM BAYER,33908393,25.09
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,33908393,249.45
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,33908393,"29,271.04"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,33908393,521.74
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,33908393,"1,247.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,33908393,11.52
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,33908393,"2,163.37"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JS SANGHERA,33908395,996.49
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,"1,260.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,"1,447.77"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,"52,282.45"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,966.94
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,"13,054.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,"6,706.63"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,161.21
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,33908395,"4,279.41"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JW KEEN,33908397,82.21
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,"24,701.21"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,454.51
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,"4,204.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,"1,611.35"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,13.82
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,33908397,"1,747.21"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,33908399,"2,100.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,33908399,851.05
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,33908399,"56,952.69"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,33908399,"1,050.87"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,33908399,"4,411.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,33908399,"4,827.03"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MG MIKHAIL,33908401,534.43
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,"1,400.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,"1,193.43"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,"20,704.94"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,401.5
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,"7,173.13"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,20.73
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,33908401,"2,567.62"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,33908404,313.03
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,33908404,"34,293.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,33908404,685.2
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,33908404,644.96
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,33908404,623.75
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,33908404,"2,281.80"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,"1,645.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,"21,942.82"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,410.21
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,"2,016.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,"7,859.22"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,"3,245.99"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L DAS,33908406,"1,714.88"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N ASGHAR,33908408,43.68
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,"7,419.65"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,176.08
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,"33,414.51"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,"3,694.47"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR N ASGHAR,33908408,"7,675.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,614.47
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,"2,123.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,943.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,48.36
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,33908408,"2,678.63"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N CROWLEY,33908410,"1,331.12"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,"7,918.24"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,"67,563.89"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,"1,297.37"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,"4,960.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,52.97
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,33908410,"6,872.41"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,33908411,560
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,33908411,432.33
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,33908411,"23,732.23"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,33908411,469.62
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,33908411,"1,514.56"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR R SHAH,33908413,410.8
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,"2,800.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,"1,349.95"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,"61,476.08"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,"1,175.68"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,"7,865.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,62.18
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,"5,629.48"
Department of Health,NHS Ealing CCG,30-Sep-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,383.86
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,97.91
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,198.3
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,33908413,745.58
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR S GUHA,33908415,167.22
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,980
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,"1,526.03"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,"34,053.11"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,615.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,"2,658.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,"1,517.79"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,25.33
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,33908415,"2,849.31"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RC MOORE,33908417,"2,162.72"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"1,260.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"1,256.04"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"56,389.06"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"1,050.04"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"5,065.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"2,373.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"1,382.65"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,292.48
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,33908417,"5,462.15"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,"6,408.15"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,33908419,420
