Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Type,Amount
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,"2,358.56"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,"15,366.04"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,"1,289.08"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,234.91
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,"5,411.39"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHANDRASEKARA & PARTNERS,34286668,42.37
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,"38,212.13"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,"1,494.04"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,"2,750.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,"8,158.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,"1,548.98"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,11.51
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,34286668,"3,462.99"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,34286672,"73,776.49"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,34286672,"5,488.42"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,34286672,"2,738.16"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,34286672,"14,762.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,34286672,"1,341.06"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,34286672,"6,267.75"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-2,484.21"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-2,200.00"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-5,757.80"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-3,166.09"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-5,405.45"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-9,066.36"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286673,"-5,405.45"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR J KELLERMANN & PARTNERS,34286674,"3,063.95"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"51,540.87"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"1,900.44"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"4,216.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"2,200.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,112.85
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"4,046.27"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"24,158.40"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"7,612.50"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"7,549.50"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,34286674,"24,360.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR J SALINSKY & PTNRS,34286676,264.99
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,34286676,"59,746.74"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,34286676,"2,312.24"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,34286676,39.14
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,34286676,"5,992.72"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JAYAKUMAR & PARTNER,34286678,980.86
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,34286678,"61,385.03"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,34286678,"2,225.68"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,34286678,66.78
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,34286678,"4,599.54"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JS PATEL & PARTNERS,34286680,"1,135.74"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,"44,710.78"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,"1,675.70"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,"6,800.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,145.09
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,"4,341.91"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,"1,030.71"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,34286680,967.61
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,34286682,"43,788.02"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR K N BALAN,34286682,382.35
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,34286682,"1,729.92"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,34286682,"5,800.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,34286682,147.39
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,34286682,"4,289.88"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,"60,508.96"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KAMAL & PARTNERS,34286684,974.02
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,"3,301.25"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,"2,169.34"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,"8,166.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,769.29
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,126.66
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,34286684,"4,527.77"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR M M BAYER & PARTNERS,34286686,122.44
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,"53,901.60"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,"1,930.90"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,"11,650.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,"2,410.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,73.94
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,23.03
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,34286686,"5,057.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M MAMTORA & DR R BHARDWAJ,34286688,"22,357.36"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M MAMTORA & DR R BHARDWAJ,34286688,876.18
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M MAMTORA & DR R BHARDWAJ,34286688,"1,967.12"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KRAUS & PTNRS,34286690,212.02
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,34286690,"59,489.17"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,34286690,"2,196.14"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,34286690,"13,230.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,34286690,55.27
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,34286690,"6,028.72"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M A KHAN & PARTNERS LONDON,34286692,"38,253.80"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M A KHAN & PARTNERS LONDON,34286692,"2,162.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M A KHAN & PARTNERS LONDON,34286692,"3,968.75"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,34286694,"43,961.71"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P C MEHTA & DR S P MEHTA,34286694,"1,313.24"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,34286694,"3,238.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,34286694,"1,627.82"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,34286694,"9,468.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,34286694,87.51
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,34286694,"4,438.40"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P CHATLANI,34286696,135.35
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,34286696,"37,195.48"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,34286696,"1,255.46"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,34286696,32.24
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,34286696,"2,726.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P JAGADAMBE & DR KHURJEKAR,34286698,213.75
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,34286698,"39,072.85"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,34286698,"1,469.20"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,34286698,"3,091.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,34286698,16.13
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,34286698,"2,559.94"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,34286700,"73,010.55"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,34286700,"2,777.44"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,34286700,"6,766.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,34286700,"5,733.77"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAMDAHEN & PARTNERS,34286704,194.63
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR RAMDAHEN & PARTNERS,34286704,"101,409.54"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RAMDAHEN & PARTNERS,34286704,"3,673.22"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RAMDAHEN & PARTNERS,34286704,43.76
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,34286706,"58,888.41"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,34286706,"2,212.56"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,34286706,"2,241.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,34286706,"2,445.83"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,34286706,"1,195.52"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,34286706,"3,345.38"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR PB PATEL,34286708,58.01
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,"33,397.53"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,"1,229.94"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,"7,715.83"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,"5,695.97"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,"1,191.81"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,13.82
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,34286708,"2,105.44"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR PV KUMAR (GMS),34286709,"23,876.17"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR PV KUMAR (GMS),34286709,"3,769.92"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PV KUMAR (GMS),34286709,929.44
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PV KUMAR (GMS),34286709,"5,554.17"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR PV KUMAR (GMS),34286709,"1,309.88"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR PV KUMAR (GMS),34286709,"2,648.38"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,34286711,"46,545.65"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,34286711,"1,555.08"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,34286711,"5,800.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,34286711,"1,257.90"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,34286711,"2,882.30"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286712,"-8,645.80"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286712,"-6,575.00"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286712,-344
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286712,"-6,523.14"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286712,"-7,089.32"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286713,"180,688.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286713,"6,770.98"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286713,"1,643.75"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286713,"1,309.88"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,34286713,"9,851.30"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR TATE & PARTNERS,34286715,132.45
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"8,077.23"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"67,808.34"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"4,013.57"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR TATE & PARTNERS,34286715,"8,350.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"2,656.10"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"16,339.17"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,383.54
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,"2,346.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,34286715,32.24
