Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043935,698.35
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043525,377.13
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13053525   ,306.71
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13052044  ,645.98
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13030933,698.81
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,HAYS HEALTHCARE LTD,id:13032686    ,423.68
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50522) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13031213   ,498.88
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41870) Integrated Therapies and Medicine,MSI GROUP LTD,id:13009568   ,236.95
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,868.43
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,569.68
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936  ,98.81
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13013740,80.93
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936  ,136.21
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,222.99
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83500) Furniture & Fittings,(id:41869) Integrated Therapies and Medicine,TECHNIBLINDS LTD,id:13018164,834
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12986914    ,606.48
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,1206.95
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,1118.14
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,THERAPY EQUIPMENT LTD,id:13032844   ,561.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12989408    ,1491.9
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12996838    ,573.95
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13013740    ,1238.02
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217    ,16.91
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,29.31
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81100) Dressings,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13010738  ,156.5
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:41869) Integrated Therapies and Medicine,RICOH UK LTD,id:13037505   ,497.67
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,2.88
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83640) IT Costs,(id:41869) Integrated Therapies and Medicine,VIAPATH SERVICES LLP,id:12724756   ,4815.67
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83640) IT Costs,(id:41869) Integrated Therapies and Medicine,VIAPATH SERVICES LLP,id:12367453   ,4815.67
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83640) IT Costs,(id:41869) Integrated Therapies and Medicine,VIAPATH SERVICES LLP,id:12896505   ,4815.67
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81275) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,5.93
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13018774    ,19.3
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13013740    ,67.54
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13024401    ,24.12
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,43.44
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,14.35
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,214.21
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,140.21
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,14.85
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41882) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,6.1
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,85.59
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,258.41
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,7.79
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,3.05
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,78.45
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,82.1
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,126.3
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,184.45
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83500) Furniture & Fittings,(id:41879) Integrated Therapies and Medicine,TECHNIBLINDS LTD,id:13030322,500.4
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,311.47
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,26.44
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50532) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,MSI GROUP LTD,id:13030988   ,210.92
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50522) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,MSI GROUP LTD,id:13031113   ,1076.88
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50522) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,MSI GROUP LTD,id:13030988   ,210.92
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,4.68
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,1164.31
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,621.5
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,147.86
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,121.11
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82800) Bedding & Linen,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,111.79
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,171.27
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,21.48
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83500) Furniture & Fittings,(id:41876) Integrated Therapies and Medicine,INNOVATIVE DISPLAYS (TALKSIGN LTD),id:13006919  ,787.68
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81000) Surgical Appliances,(id:41876) Integrated Therapies and Medicine,TALAR MADE ORTHOTICS LTD,id:13032548   ,55
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81000) Surgical Appliances,(id:41876) Integrated Therapies and Medicine,TALAR MADE ORTHOTICS LTD,id:13020815   ,93
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,811.58
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,31.2
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,70.64
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,103.11
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41881) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13006075   ,679.88
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837 ,459.82
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,6.24
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,3.14
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42256) Integrated Local Services,CDP  PRINT MANAGEMENT,id:13041994,36
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(84200) Rental under Operating Lease,(id:42255) Integrated Local Services,MARSH LTD,id:13014517  ,4035.69
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:42255) Integrated Local Services,RICOH UK LTD,id:13037479 ,570.48
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:590598) Integrated Local Services,REDLAND CONSTRUCTION LIMITED,id:12999176    ,658.8
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:590598) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,19.36
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(82600) Uniforms & Clothing,(id:590598) Integrated Local Services,1ST BIOTECH LIMITED,id:13030353,509.04
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:590584) Integrated Local Services,RICOH UK LTD,id:13037408,996.84
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:590469) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,168.84
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590469) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,15.48
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590466) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,23.89
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:590432) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,50.17
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:590432) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,20.09
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:590431) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,38.1
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:590579) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,18.23
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:590563) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,76.32
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50562) Qualified Nursing Staff,(id:590563) Integrated Local Services,CONTINENTAL NURSE LTD,id:13043916    ,1619.63
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590563) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,23.59
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(84200) Rental under Operating Lease,(id:1006419) Integrated Local Services,MARSH LTD,id:13014517,1345.23
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(53072) Speech Therapists,(id:839420) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13050033,6452.53
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51872) Physiotherapists,(id:1885422) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047794,1218.21
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51872) Physiotherapists,(id:1885422) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047754,1546.31
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:1885424) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936,145.5
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(51862) Physiotherapists,(id:1371419) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13050033,1425.01
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51832) Physiotherapists,(id:1371419) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047774,1043.7
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:1371419) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,5.04
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51872) Physiotherapists,(id:1371419) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047754,1547.21
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50562) Qualified Nursing Staff,(id:1371419) Integrated Local Services,MSI GROUP LTD,id:13052035 ,587.04
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50562) Qualified Nursing Staff,(id:699422) Integrated Local Services,CARE PROVIDERS HEALTHCARE,id:13007539,1188.71
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50572) Qualified Nursing Staff,(id:699422) Integrated Local Services,MSI GROUP LTD,id:13052008  ,1930.49
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51832) Physiotherapists,(id:699422) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047774 ,1984.65
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(51872) Physiotherapists,(id:699422) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13050033 ,2678.4
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(51832) Physiotherapists,(id:590523) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13050033 ,2943.1
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:590492) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,15.3
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:2357419) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,172.86
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:2357419) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,24.41
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:1913419) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,26.28
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:590504) Integrated Local Services,CDP  PRINT MANAGEMENT,id:13040918    ,12.4
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(51862) Physiotherapists,(id:684419) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13050033 ,3670.89
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51842) Physiotherapists,(id:684419) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047794 ,1689.83
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:590503) Integrated Local Services,CDP  PRINT MANAGEMENT,id:13040918    ,3.1
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:590503) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,200.76
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(51852) Physiotherapists,(id:590503) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13050033 ,985.55
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51852) Physiotherapists,(id:590503) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047794 ,985.55
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:4460419) Integrated Local Services,YOUR WORLD RECRUITMENT LIMITED(YOUR WORLD HEALTHCARE),id:13032553 ,987.75
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:4460419) Integrated Local Services,MSI GROUP LTD,id:13031112 ,1005.61
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:4460419) Integrated Local Services,MSI GROUP LTD,id:13043662 ,1156.63
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:4460419) Integrated Local Services,YOUR WORLD RECRUITMENT LIMITED(YOUR WORLD HEALTHCARE),id:13007507 ,882.39
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590522) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,168
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:590522) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,251.86
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:590522) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,102
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:590522) Integrated Local Services,NURSING 2000 LTD,id:13017829    ,1194.37
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590521) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,168.84
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(89120) Other - Legal fees,(id:590521) Integrated Local Services,BEACHCROFT LLP OFFICE ACCOUNT,id:13002134 ,2418.4
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:590521) Integrated Local Services,NURSING 2000 LTD,id:13019907    ,1006.86
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:590521) Integrated Local Services,MSI GROUP LTD,id:13043635  ,1336.92
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:590521) Integrated Local Services,NURSING 2000 LTD,id:13045583    ,652.8
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:590521) Integrated Local Services,NURSING 2000 LTD,id:13043815    ,481.18
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:590521) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,57.26
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(80150) Drug Costs,(id:590521) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837,151.2
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590520) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,782.17
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:590520) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,130.2
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:590520) Integrated Local Services,CARE PROVIDERS HEALTHCARE,id:13018016,596.25
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590473) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,100.4
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590473) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,275.28
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:590473) Integrated Local Services,NURSING 2000 LTD,id:13045577    ,796.47
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81230) Medical Surgical Supplies & Equipment,(id:590473) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,84.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:590471) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,13.54
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590535) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,3.65
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:590535) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217    ,33.01
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590481) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13011457   ,777.64
