,query_string_n,CompanyNumber,CompanyName,audit_type,CHnotes,isCIC,count,amount,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
168,CAMBRIDGE CAMTAD,CE001236,CAMBRIDGESHIRE HEARING HELP,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","CIO, took over from old charity (assoc comp not found, if any) Apr 2014",0 not CIC,1,95629.0,CAMBRIDGE CAMTAD,CAMTAD,CAMBRIDGE CAMTAD CAMPAIGN FOR TACKLING ACQUIRED DEAFNESS,24.455435,18.543367,15.564098999999999,0.0,10.0,40.0
169,CANCER SUPPORT BRADFORD AND AIREDALE,02179048,CANCER SUPPORT YORKSHIRE,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","was Bradford Cancer Support till 11/8/17, but Airedale only ever incl in assorted working names",0 not CIC,6,1230966.0,CANCER SUPPORT SKIPTON CANCER SUPPORT BRADFORD AND AIREDALE AND CANCER SUPPORT,KEIGHLEY AND AIREDALE CANCER SUPPORT,KEIGHLEY AND AIREDALE CANCER SUPPORT,27.345707,22.667189,22.667189,42.0,33.0,33.0
170,CANCERPARTNERSUK,05796994,GENESIS CANCER CARE UK LIMITED,2: CH: 5 corrected imperf name match,was Cancerpartnersuk Limited (unspaced like supplier; unlike 09914783) till 6/10/15; sole NHS pymt later name month,0 not CIC,1,112558.0,,,,,,,,,
171,CANTERBURY CHRIST CHURCH UNIVERSITY COLL,04793659,CANTERBURY CHRIST CHURCH UNIVERSITY,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",in Canterbury as name suggests; NHS custs are Kent,0 not CIC,1,526835.0,CANTERBURY CHRIST CHURCH UNIVERSITY,CANTERBURY CHRIST CHURCH UNIVERSITY,UNIVERSAL CHURCH OF CHRIST,26.845223999999998,26.845223999999998,21.077807999999997,5.0,5.0,28.0
172,CARDIFF UNIVERSITY FINANCE DIVISION,RC000089,CARDIFF UNIVERSITY,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",no separate registration found,0 not CIC,1,754045.0,CARDIFF UNIVERSITY,CARDIFF UNIVERSITY,CARDIFF METROPOLITAN UNIVERSITY,17.865108,17.865108,15.632504,17.0,17.0,20.0
173,CARE AND SUPPORT PARTNERSHIP,07581024,CARE AND SUPPORT PARTNERSHIP COMMUNITY INTEREST COMPANY,2: CH: 4 corrected now perf name match,"joint provider for NHS,LA. Swindon locn accords NHS custs; moved to Bham 2/2/17 after last pymt 31/1/17, diss 2/3/20",1 CIC,55,8946056.0,CARING SUPPORT,CLASP CARING LISTENING AND SUPPORTING PARTNERSHIP,CLASP CARING LISTENING AND SUPPORTING PARTNERSHIP,13.086673,12.773218,12.773218,16.0,21.0,21.0
174,CARE IN MIND LIMITED,06906017,CARE IN MIND LIMITED,2: CH: 1 existing perfect name match,CCnotes> are closer; (b) London char unincorp; (c) matched company is larger & char shows no govt income,0 not CIC,4,70547.0,CARE IN MIND,CARING MINDS,CARE IN MIND LIMITED,14.808829999999999,14.808829999999999,13.078803,8.0,11.0,0.0
175,CARE MANCHESTER,03328039,CENTRES FOR ASSISTED REPRODUCTION LIMITED,2: CH: 5 corrected imperf name match,trades as CARE Manchester or CARE Fertility Manchester. (note 11057589 Care Manchester Ltd never traded). Not a charity,0 not CIC,1,29679.0,MANCHESTER CARE,MANCHESTER CARES,CROSSROADS CARE MANCHESTER,14.25111,14.25111,12.470148,10.0,11.0,11.0
176,CARE NETWORK,06297277,CARE NETWORK CAMBRIDGESHIRE,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",match resolved by sole NHS cust location: Cambridgeshire & Peterborough CCG,0 not CIC,24,1007084.0,THE CARE NETWORK,CARE ADVISER NETWORK,CARE AFRICA NETWORK,13.318067999999998,11.6537075,11.6537075,4.0,8.0,7.0
177,CARE UK,02644862,CARE UK COMMUNITY PARTNERSHIPS LTD,2: CH: 5 corrected imperf name match,Care UK Community Partnerships trades as Care UK,0 not CIC,27,56584056.0,CARE UK,CARE UK,CARE UK PRIMARY CARE LIMITED,10.36709,10.36709,9.110907000000001,0.0,0.0,21.0
178,CARE UK AGW LIMITED,06223045,CARE UK (AGW) LIMITED,2: CH: 4 corrected now perf name match,"diss 1/10/19 (hence not auto-matched), last NHS pymt 19/3/19. Same addr as 02644862 Care UK Community Partnerships Ltd",0 not CIC,52,61531401.0,AGW LIMITED,AGW AND PARTNERS LIMITED,AGW BRECON LIMITED,13.856241,12.124626,12.124626,8.0,13.0,9.0
179,CARERS BUCKS,04941481,CARERS TRUST BUCKS AND MILTON KEYNES,"2: CC: 4 corrected now perf name match, CH: 5 corrected imperf name match",sole cust Bucks CCG accords,0 not CIC,1,33132.0,CARERS TRUST BUCKS AND MILTON KEYNES,CARERS TRUST BUCKS AND MILTON KEYNES,MARY BUCK BUCKS CHARITY,14.6217785,14.6217785,11.716534,24.0,24.0,15.0
180,CARERS CENTRE FOR BRIGHTON AND HOVE,02758481,THE CARERS CENTRE FOR BRIGHTON AND HOVE LIMITED,"2: CC: 4 corrected now perf name match, CH: 4 corrected now perf name match",note CH vs CC ampersand discrepancy,0 not CIC,1,30000.0,THE CARERS CENTRE FOR BRIGHTON AND HOVE LIMITED,THE CARERS CENTRE FOR BRIGHTON AND HOVE LIMITED,THE CARERS CENTRE ASSOCIATION HOVE LIMITED,24.705822,24.705822,18.277420000000003,12.0,12.0,23.0
181,CARERS HUB,11403363,CARERS HUB,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",inc 7/6/18. Recent reg of char & comp accord with NHS payment dates,0 not CIC,3,98000.0,CARERS HUB,CARERS HUB,CARERS HUB LAMBETH,18.937965,18.937965,16.57129,0.0,0.0,8.0
182,CARERS SUPPORT CENTRE,03540988,CARERS SUPPORT CENTRE,"2: CC: 4 corrected now perf name match, CH: 1 existing perfect name match",auto match to Lincs char/comp confirmed by locn of only NHS cust: NE Lincs CCG,0 not CIC,76,2271728.0,CARERS SUPPORT CENTRE,CARERS SUPPORT CENTRE,CARERS SUPPORT CENTRE,20.290676,20.290676,20.290676,0.0,0.0,0.0
183,CARERS TRUST EAST MIDLANDS,03128681,EAST MIDLANDS CROSSROADSCARING FOR CARERS,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","also trades as TuVida, whatever that might mean",0 not CIC,113,5353886.0,EAST MIDLANDS CROSSROADSCARING FOR CARERS,EAST MIDLANDS CROSSROADSCARING FOR CARERS,CARERS TRUST SOUTH EAST WALES,19.315383999999998,19.315383999999998,15.736214000000002,31.0,31.0,12.0
184,CAREWATCH LEEDS,02949558,CAREWATCH CARE SERVICES LIMITED,2: CH: 5 corrected imperf name match,"was large multi-company social care company, all in liquidation Oct-Nov 2020",0 not CIC,1,60059.0,CAREWATCH,CAREWATCH IN NOTTINGHAM,CAREWATCH ACQUISITIONS LIMITED,18.402214,15.774045000000001,13.802762,6.0,13.0,18.0
185,CAREWATCH WESSEX,03174031,MY LIFE (CAREWATCH) LIMITED,2: CH: 5 corrected imperf name match,"was part of large multi-company social care business, all in liquidation Oct-Nov 2020",0 not CIC,1,33379.0,CAREWATCH,CAREWATCH IN NOTTINGHAM,CAREWATCH ACQUISITIONS LIMITED,18.402214,15.774045000000001,13.802762,7.0,13.0,17.0
186,CARFAX HEALTH ENTERPRISE,06853264,CARFAX HEALTH ENTERPRISE COMMUNITY INTEREST COMPANY,2: CH: 2 existing perfect except 'LTD/CIC/LIMITED',always CIC since 2009 incorporation. Swindon location like sole geolocatable NHS customer,1 CIC,110,15118311.0,CARFAX HEALTH ENTERPRISE COMMUNITY INTEREST COMPANY,CARFAX CARDSLIMITED,CARFAX COLLEGE,17.606780999999998,14.525209,14.525209,27.0,15.0,14.0
187,CASTEL FROMA AT HELEN LEY,04777559,CASTEL FROMA NEURO CARE LIMITED,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",no separate registration for Helen Ley Care Centre,0 not CIC,1,122783.0,CASTEL FROMA NEURO CARE LIMITED,CASTEL FROMA NEURO CARE LIMITED,THE LONSDALE CASTEL FROMA COACH COMMITTEE,21.054531,21.054531,21.054531,14.0,14.0,25.0
188,CASTEL FROMA NEURO CARE LIMITED TA HELEN LEY,04777559,CASTEL FROMA NEURO CARE LIMITED,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",no separate registration for Helen Ley Care Centre,0 not CIC,1,122783.0,CASTEL FROMA NEURO CARE LIMITED,CASTEL FROMA NEURO CARE LIMITED,THE LONSDALE CASTEL FROMA COACH COMMITTEE,34.005547,34.005547,21.054531,13.0,13.0,36.0
189,CATCH 22,06577534,CATCH 22 CHARITY LIMITED,"2: CC: 5 corrected imperf name match, CH: 4 corrected now perf name match",web refs confirm links to NHS in right Midlands area,0 not CIC,13,1248900.0,CATCH 22,CATCH 22 LIMITED,CATCH 22 BAITS LIMITED,22.420189,19.618336,17.438986,0.0,8.0,14.0
190,CAVENDISH CARE,03515797,GRESHAM CARE LIMITED,2: CH: 5 corrected imperf name match,"NHS cust location identifies cavendishcare.com website, trading name of Gresham Care. Not a charity",0 not CIC,3,33541.0,CAVENDISH CARE,CAVENDISH AFTERSCHOOL CARE SCHEME,CAVENDISH CARE HOME LIMITED,16.46411,12.806198,12.806198,0.0,19.0,13.0
191,CBS BUTLER,01654251,CBS BUTLER LIMITED,2: CH: 4 corrected now perf name match,"HR company, diss 28/1/20. Only NHS payments were 2012",0 not CIC,2,91260.0,CBS,CBS,CBS LIMITED,13.873269,13.873269,11.891915,7.0,7.0,6.0
192,CCI CREDIT MANAGEMENT LIMITED,04358908,CCI CREDIT MANAGEMENT LIMITED,2: CH: 1 existing perfect name match,Checked & confirmed NOT a CIC: spurious inclusion,0 not CIC,7,316370.0,CCI CREDIT MANAGEMENT LIMITED,CCI,CCI,21.387627,15.820328,15.820328,0.0,26.0,26.0
193,CDI CONSTRUCTION NORTH EAST LIMITED,04685082,CDI CONSTRUCTION (NORTH EAST) LIMITED,2: CH: 1 existing perfect name match,Checked & confirmed NOT a CIC: spurious inclusion,0 not CIC,3,90029.0,CDI CONSTRUCTION NORTH EAST LIMITED,CDI CONSTRUCT LIMITED,CDI CONSTRUCTION LIMITED,23.257803,16.998376999999998,16.998376999999998,0.0,14.0,11.0
194,CEIA LIMITED,08520648,COMPANY FOR ELECTRONIC INDUSTRIAL AUTOMATION (CEIA) LIMITED,2: CH: 5 corrected imperf name match,"sole cust Bham & Solihull Trust, this company is based in Solihull. Expense area blank in transaction record",0 not CIC,1,90888.0,CEIA,CEIA,PALMA CEIA SEMIDESIGN UK LIMITED,19.597198000000002,19.597198000000002,11.856332,8.0,8.0,20.0
195,CELLAR PROJECT,02304802,THE CELLAR TRUST,"2: CC: 4 corrected now perf name match, CH: 5 corrected imperf name match","was The Cellar Project till 8/2/13, just before first NHS payment",0 not CIC,2,2362535.0,CELLAR,THE CELLAR,THE CELLAR CHURCH,13.719542,13.719542,11.760143,8.0,12.0,10.0
196,CENTRAL ESSEX COMMUNITY SERVICES COMMUNITY INTEREST COMPANY,07320006,PROVIDE COMMUNITY INTEREST COMPANY,2: CH: 5 corrected imperf name match,"was Central Essex Community Services CIC (perf match) till 18/3/14; CQC confirms. Custs Essex & adjacent, turnover ~50m",1 CIC,507,227972286.0,ESSEX COMMUNITY DEVELOPMENT COMMUNITY INTEREST COMPANY,COMMUNITY IT SERVICES COMMUNITY INTEREST COMPANY,HYPE ESSEX COMMUNITY INTEREST COMPANY,23.001322000000002,21.520065,21.517265,17.0,17.0,26.0
197,CENTRAL LONDON HEALTHCARE,06135803,CENTRAL LONDON HEALTHCARE CIC,2: CH: 4 corrected now perf name match,"Healthcare provider with multi-million turnover, accts speak of Central London CCG, absent from this database?",1 CIC,2,381505.0,CENTRAL HEALTHCARE,CENTRAL LONDON COMMUNITY HEALTHCARE LIMITED,CENTRAL LONDON HEALTHCARE SERVICES LIMITED,15.190357,14.681438,14.681438,7.0,18.0,17.0
198,CENTRAL LONDON HEALTHCARE COMMUNITY INTEREST COMPANY,06135803,CENTRAL LONDON HEALTHCARE CIC,2: CH: 1 existing perfect name match,"much bigger comp than this suggests, ~£10m turnover mostly from Central London CCG (not in database)",1 CIC,3,381505.0,CENTRAL LONDON HEALTHCARE COMMUNITY INTEREST COMPANY,CENTRAL LONDON COMMUNITY HEALTHCARE LIMITED,COMMUNITY LONDON COMMUNITY INTEREST COMPANY,23.909998,18.60824,17.411360000000002,0.0,26.0,19.0
199,CENTRAL LONDON HEALTHCARE LIMITED,06135803,CENTRAL LONDON HEALTHCARE CIC,2: CH: 4 corrected now perf name match,changed from LTD to CIC 16/9/10. NHS own online contact directory links to CIC website but still calls it LTD,1 CIC,2,381505.0,CENTRAL HEALTHCARE,CENTRAL LONDON COMMUNITY HEALTHCARE LIMITED,CENTRAL LONDON HEALTHCARE SERVICES LIMITED,15.190357,14.777949,14.777949,15.0,10.0,9.0
200,CENTRE 33,03725494,CENTRE THIRTY THREE YOUNG PEOPLES COUNSELLING AND INFORMATION SERVICE,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",geog makes match clear,0 not CIC,3,111611.0,CENTRE 33,CENTRE 33,CENTRE 33,16.749102,16.749102,16.749102,0.0,0.0,0.0
201,CENTRE FOR MENTAL HEALTH TRAINING,07069205,CENTRE FOR MENTAL HEALTH TRAINING LIMITED,2: CH: 2 existing perfect except 'LTD/CIC/LIMITED',"this comp is not charitable, its a commercial subsid of the charity",0 not CIC,1,37200.0,CENTRE FOR MENTAL HEALTH TRAINING LIMITED,CENTRE FOR MENTAL HEALTH,CENTRE FOR MENTAL HEALTH,20.54136,19.832687,19.832687,8.0,9.0,9.0
202,CHANGING LIVES,00995799,THE CYRENIANS LIMITED,"2: CC: 4 corrected now perf name match, CH: 5 corrected imperf name match",confirmed by NHS cust location,0 not CIC,3,115968.0,CHANGING LIVES,CHANGING LIVES,CHANGING LIVES CHANGING COMMUNITIES,16.605503,16.605503,15.686897,0.0,0.0,21.0
203,CHANGING LIVES BUILDING DREAMS CLBD,08778341,CLBD LIMITED,2: CH: 5 corrected imperf name match,"match preferred to 10036466 CLBD Holdings Ltd at same addr, which reports only 2 employees. Accts of both are BS only",0 not CIC,5,75621.0,CLBD LIMITED,CHANGING LIVES,CHANGING LIVES,17.508952999999998,16.605503,16.605503,28.0,21.0,21.0
204,CHANGING PATHWAYS,09941590,CHANGING PATHWAYS,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match","reg 7/1/16, Basildon. not to be confused with 07041934 Changing Pathways Ltd of Oxford",0 not CIC,1,45446.0,CHANGING PATHWAYS,CHANGING PATHWAYS,PATHWAY TO CHANGE LIMITED,19.940105,19.940105,17.44819,0.0,0.0,21.0
205,CHARITABLE FUNDS NORTHAMPTON GENERAL HOSPITAL,CE006698,NORTHAMPTONSHIRE HEALTH CHARITABLE FUND,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","CIO, most unusual for an NHS hosp support charity. reg 23/2/16, well before 1st NHS payment 29/2/20",0 not CIC,1,77547.0,NORTHAMPTON GENERAL HOSPITAL CHARITABLE FUND,NORTHAMPTON GENERAL HOSPITAL FUND,AIREDALE GENERAL HOSPITAL CHARITABLE FUND,27.915122999999998,25.324331,20.82481,33.0,22.0,35.0
206,CHARLES SAUNDERS FOOD SERVICE,01581532,CHARLES SAUNDERS LIMITED,2: CH: 5 corrected imperf name match,SIC 46380 food wholesale,0 not CIC,21,577702.0,CHARLES SAUNDERS,CHARLES SAUNDERS LIMITED,CHARLES SAUNDERS HOLDINGS LIMITED,20.099080999999998,17.587297,15.633571,13.0,11.0,11.0
207,CHEADLE ROYAL HOSPITAL,04433255,PRIORY GROUP LIMITED,2: CH: 5 corrected imperf name match,Cheadle Royal is a Priory Group hospital. Priory Group comprises many company registrations,0 not CIC,60,609847024.0,CHEADLE ROYAL HOSPITAL,CHEADLE ROYAL HEALTHCARE LIMITED,CHEADLE ROYAL INDUSTRIES LIMITED,24.515167,15.681745000000001,15.681745000000001,0.0,15.0,15.0
208,CHELMSFORD PRIORY,04433255,PRIORY GROUP LIMITED,2: CH: 5 corrected imperf name match,Chelmsford Priory [Hospital] is a Priory Group Hospital. The Group comprises many company registrations,0 not CIC,7,609847024.0,THE PRIORY,CHELMSFORD CAB,CHELMSFORD COLLEGE,11.532661000000001,10.846568,10.846568,8.0,6.0,7.0
209,CHELTENHAM AND GLOUCESTER NUFFIELD,00576970,NUFFIELD HEALTH,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","supplier text refers to Chelt & Glouc'r Nuffield Hosp, aka Cheltenham Nuffield Hosp, run by Nuffield Group",0 not CIC,1,326497083.0,CHELTENHAM AND GLOUCESTER UNITARIANS,CHELTENHAM AND GLOUCESTER CANOES LIMITED,CHELTENHAM AND GLOUCESTER CLADDING LIMITED,17.757908,15.785228,15.785228,8.0,11.0,13.0
210,CHESHIRE HOSPICES EDUCATION LIMITED,03594951,THE END OF LIFE PARTNERSHIP LIMITED,"2: CC: 2 existing perfect except 'LTD/LIMITED', CH: 5 corrected imperf name match",was Cheshire Hospices Education Ltd till 2/4/14,0 not CIC,4,942167.0,CHESHIRE HOSPICES EDUCATION,EAST CHESHIRE HOSPICE,EAST CHESHIRE HOSPICE,22.987007000000002,17.038067,17.038067,8.0,24.0,24.0
211,CHESS,02962709,CHESS CYBERSECURITY LIMITED,2: CH: 5 corrected imperf name match,CCnotes> & several CCGs use Chess Cybersecurity though with similar amounts paid,0 not CIC,1,2361969.0,CHESS,AHAVAS CHESSED,CHESS HOMELESS,14.095647,12.082533999999999,12.082533999999999,0.0,9.0,9.0
212,CHICHESTER NUFFIELD HOSPITAL,00576970,NUFFIELD HEALTH,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",sole NHS cust W Sussex Hosps Trust accords,0 not CIC,2,326497083.0,NUFFIELD HOSPITALS,CHICHESTER HOSPITAL RADIO,FRIENDS OF CHICHESTER HOSPITALS,20.935347,16.3049,16.3049,12.0,14.0,18.0
213,CHILCOTE SURGERY TORQUAY,05049269,GOLDMAY LIMITED,2: CH: 7 tentative match,"NOT CIC, spurious inclusion. Most Drs are directors of 05049269 Goldmay, SIC 86210 gen med prac",0 not CIC,88,7034084.0,CHILCOTE CHARITY,CHILCOTE PRACTICE,CHILCOTE CATERING LIMITED,16.029503,16.029503,14.026295000000001,12.0,13.0,14.0
214,CHILDRENS SLEEP CHARITY,CE000010,THE SLEEP CHARITY,"2: CC: 4 corrected now perf name match, CH: 5 corrected imperf name match","was The Childrens Sleep Charity till 4/12/19. reg 24/1/13, before first NHS payment 31/11/14",0 not CIC,1,33225.0,THE SLEEP CHARITY,THE SLEEP CHARITY,INTERNATIONAL SLEEP CHARITY,17.87213,17.87213,15.638649,7.0,7.0,12.0
215,CHIME SOCIAL ENTERPRISE,07491954,CHIME SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY,2: CH: 4 corrected now perf name match,"Royal Devon & Exeter audiology dept spin-off, it says, on its own website. geolocatable NHS custs adjacent",1 CIC,29,1668363.0,CHIME SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY,CHIME,CHIME,17.475584,15.380035000000001,15.380035000000001,27.0,18.0,18.0
216,CHUMS COMMUNITY INTEREST COMPANY,07589791,CHUMS SOCIAL ENTERPRISE C.I.C.,2: CH: 3 existing accepted imperfect name match,"note 1179048 CHUMS Charity at same address, inc as comp no 11427513 CHUMS Charity",1 CIC,6,633176.0,CHUMS SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY,THE GUM CHUMS CLUB COMMUNITY INTEREST COMPANY,CHUM,19.950127,19.950127,17.20723,18.0,13.0,28.0
217,CIMS,03072160,CHAMELEON INFORMATION MANAGEMENT SERVICES LIMITED,2: CH: 5 corrected imperf name match,"explicit supp >20 other trusts, >60 pymts. Prob Croydon too or poss Comm Intgrtd Msk Svc via 02337692 Connect Hlth",0 not CIC,3,5901795.0,CIM,CIM,CIMS LIMITED,16.187126,16.187126,13.875312,1.0,1.0,8.0
218,CITIZENS ADVICE BUREAU,05141612,HULL AND EAST RIDING CITIZENS ADVICE BUREAU LIMITED,"2: CC: 11 multi-supplier record, CH: 11 multi-supplier record","Hull matched, Wigan 02366214, NHSEng 2 perforce match umbrella 279057 / 01436945 National Assoc of Citizens Adv Bureaux",0 not CIC,35,1405741.0,CITIZENS ADVICE BUREAU,THE CITIZENS ADVICE BUREAU,ABERDEEN CITIZENS ADVICE BUREAU,24.664213,24.664213,21.924332,0.0,4.0,9.0
219,CITIZENS ADVICE STH WARWICK,05252247,CITIZENS ADVICE SOUTH WARWICKSHIRE,"2: CC: 4 corrected now perf name match, CH: 4 corrected now perf name match",sole NHS cust Coventry & Warks Trust,0 not CIC,1,50000.0,CITIZENS ADVICE,BROMLEY CITIZENS ADVICE,CITIZENS ADVICE 1066,18.566372,16.246132,16.246132,12.0,18.0,11.0
220,CITY AND HACKNEY GP CONFEDERATION,09125623,CITY & HACKNEY GP CONFEDERATION C.I.C.,2: CH: 2 existing perfect except 'LTD/CIC/LIMITED',"Ltd till 16/9/14, CIC thereafter. 1st NHS payment 31/10/16",1 CIC,11,1218960.0,CITY AND HACKNEY GP CONFEDERATION COMMUNITY INTEREST COMPANY,CITY AND HACKNEY TOGETHER,HACKNEY CITY FARM,23.414082,16.295026999999997,16.295026999999997,27.0,13.0,23.0
221,CITY HEALTH CARE PARTNERSHIP CIC,06273905,CITY HEALTH CARE PARTNERSHIP CIC,2: CH: 4 corrected now perf name match,"always CIC since 2007 inc. Hull based, custs local CCGs & Trust, also Wigan CCG, confirmed by web ref. see CCnotes",1 CIC,79,367717467.0,CITY HEALTH CARE PARTNERSHIP FOUNDATION,CITY HEALTH CARE PARTNERSHIP FOUNDATION,CIC,17.914955,17.914955,16.993942,9.0,9.0,29.0
222,CITY HEALTH CARE PARTNERSHIP COMMUNITY INTEREST COMPANY,06273905,CITY HEALTH CARE PARTNERSHIP CIC,2: CH: 1 existing perfect name match,"always CIC since 2007 inc. Hull based, custs local & Wigan, confirmed by web ref. see CCnotes. typical turnover>50m",1 CIC,1607,367717467.0,CITY HEALTH CARE PARTNERSHIP COMMUNITY INTEREST COMPANY,MOGI HEALTH AND CARE COMMUNITY INTEREST COMMUNITY INTEREST COMPANY,CARE CITY INNOVATION COMMUNITY INTEREST COMPANY,24.612503,19.441399,19.189573,0.0,23.0,22.0
223,CME IN THE COMMUNITY,07539715,CME IN THE COMMUNITY CIC,2: CH: 4 corrected now perf name match,"mental health &c provider, Skelmersdale based near geolocatable NHS custs",1 CIC,43,3084347.0,CME,CME IN THE COMMUNITY COMMUNITY INTEREST COMPANY,ABEL CME LIMITED,15.175064,14.777946,11.382206,17.0,27.0,14.0
224,CNLR HORIZONS LIMITED TA COMMUNITY INTEREST COMPANY,02271807,CNLR HORIZONS LIMITED,2: CH: 3 existing accepted imperfect name match,"NOT a CIC: spurious inclusion. No viable CIC rematch. London-based, sole NHS cust Kingston-U-T Trust",0 not CIC,2,450440.0,CNLR HORIZONS LIMITED,TA CUMBRIA COMMUNITY INTEREST COMPANY,COMMUNITY HORIZONS GLOBAL COMMUNITY INTEREST COMPANY,24.160120000000003,18.853132000000002,18.231129,30.0,21.0,17.0
225,COASTAL WEST SUSSEX MIND,08884776,WEST SUSSEX MIND,"2: CC: 4 corrected now perf name match, CH: 5 corrected imperf name match",was Coastal West Sussex Mind till 12/10/19,0 not CIC,29,4093379.0,COASTAL WEST SUSSEX MIND,WEST SUSSEX MIND,WEST SUSSEX MIND,27.086940000000002,21.21612,21.21612,0.0,8.0,8.0
226,COBALT APPEAL FUND,04366596,COBALT HEALTH,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match","was Cobalt Unit Appeal Fund till swapped names 5/1/15 with 09016631 (inc 29/4/14, after NHS pymt dates in this record)",0 not CIC,2,12772974.0,COBALT APPEAL FUND,COBALT APPEAL FUND,COBALT UNIT APPEAL FUND,25.007967,25.007967,22.229897,0.0,0.0,5.0
227,COBALT DIAGNOSTIC IMAGING FOR LIFE,04366596,COBALT HEALTH,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",all refs lead here & nowhere else,0 not CIC,31,12772974.0,DIAGNOSTIC IMAGING LIMITED,DIAGNOSTICS IMAGING LIMITED,LIFE DIAGNOSTICS LIMITED,16.897701,16.897701,15.788059,14.0,15.0,21.0
228,COBALT HEALTH,04366596,COBALT HEALTH,"2: CC: 1 existing perfect name match, CH: 8 date-dependent match",09016631 inc 29/4/14 was Cobalt Health till name-swap with 04366596 5/1/15; NHS pymts 29/4/14-30/11/19 mostly after swap,0 not CIC,171,12772974.0,COBALT HEALTH,COBALT HEALTH,COBALT,18.865208,18.865208,13.985933,0.0,0.0,7.0
229,COBALT IMAGING CENTRE,04366596,COBALT HEALTH,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","one org, many names. Match is unmistakable though",0 not CIC,55,12772974.0,COBALT,COBALT,COBALT DATA CENTRES LIMITED,13.985933,13.985933,13.932665,15.0,15.0,15.0
230,COLCHESTER CVS,04426567,COMMUNITY360,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",was Colchester Community Voluntary Services till 8/4/17,0 not CIC,3,1674821.0,CVS,ADUR CVS,BBWCVS CVS,14.462823,12.397269999999999,12.397269999999999,11.0,9.0,8.0
231,COLCHESTER MIND,03374820,MID AND NORTH ESSEX MIND,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","bizarrely, sole NHS cust is Herts Ptnrship Univ NHSFT; presumably those in Essex know the names changed",0 not CIC,17,2418943.0,COLCHESTER WP COLCHESTER PCC,COLCHESTER ACADEMY,COLCHESTER FOODBANK,11.506008,10.557607,10.557607,17.0,6.0,7.0
232,COMMON PURPOSE UK,03556983,COMMON PURPOSE UK,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match","note also 02832875 The Common Purpose Charitable Trust, umbrella company, corresponds to parent charity",0 not CIC,1,30000.0,COMMON PURPOSE UK,COMMON PURPOSE UK,COMMON PURPOSE,21.928165,21.928165,20.650543,0.0,0.0,3.0
233,COMMUNITY 1ST CORNWALL LIMITED,05039650,COMMUNITY 1ST CORNWALL LIMITED,2: CH: 1 existing perfect name match,"registration of convenience for NHS estates management org. Not char, despite similarity of name",0 not CIC,81,9176148.0,COMMUNITY 1ST CORNWALL LIMITED,COMMUNITY 1ST CORNWALL HOLDCO LIMITED,COMMUNITY 1ST CORNWALL TORPOINT LIMITED,18.401072,16.561316,16.561316,0.0,7.0,9.0
234,COMMUNITY ACTION SOUTHWARK,05090324,COMMUNITY SOUTHWARK,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","was Community Action Southwark (CAS) till 4/4/16, two years before NHS payment 12/10/18",0 not CIC,1,45425.0,VOLUNTEERS IN ACTION SOUTHWARK,COMMUNITY SOUTHWARK,COMMUNITY SOUTHWARK,17.692623,17.128695,17.128695,11.0,7.0,7.0
235,COMMUNITY COUNSELLING COOPERATIVE LIMITED,08001581,COMMUNITY COUNSELLING CO-OPERATIVE C.I.C.,2: CH: 4 corrected now perf name match,"Newcastle-based, only NHS cust is NHSE, but listed on NHS wesbite with matching addr so it looks like its the right one",1 CIC,2,50000.0,COMMUNITY COUNSELLING COOPERATIVE COMMUNITY INTEREST COMPANY,COMMUNITY COUNSELLING,DERWENTSIDE COUNSELLING COOPERATIVE LIMITED,16.903713,15.190532999999999,14.301470000000002,22.0,20.0,9.0
