Department,CCG,Date,Expense Area,Expense Type,Suppklier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"2,563.67"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"2,731.21"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"2,758.51"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S RANA-MASSON,33956407,"2,760.98"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"2,809.84"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718284,"2,841.43"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"2,956.57"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,33956426,"3,041.67"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"3,083.33"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,"3,092.87"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"3,212.09"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"3,260.91"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,"3,274.39"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"3,286.83"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"3,306.94"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,"3,391.08"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"3,493.73"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,33956413,"3,507.99"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"3,545.22"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"3,566.60"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,"3,625.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,33877511,"3,648.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956409,"3,790.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956393,"3,863.91"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,"3,978.44"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33877511,"4,018.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,TREDEGAR MEDICAL SURGERY,33956435,"4,045.02"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"4,050.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CITY WELLBEING PRACTICE,33956401,"4,115.63"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BETHNAL GREEN HEALTH CENTRE,33956391,"4,145.98"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,TREDEGAR MEDICAL SURGERY,33956435,"4,184.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"4,314.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,"4,365.26"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"4,476.75"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WAPPING HEALTH CENTRE,33956437,"4,594.45"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,STROUDLY WALK,33956428,"4,603.81"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"4,608.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,JUBILEE STREET PRACTICE,33975291,"4,631.13"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"4,766.03"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956409,"4,863.24"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"4,876.25"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"4,914.69"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ALBION HEALTH CENTRE,33956396,"4,930.38"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Service Charges,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"5,000.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,33956426,"5,231.33"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33818090,"5,317.18"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718297,"5,328.22"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"5,371.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"5,374.38"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"5,436.44"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"5,476.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"5,485.11"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARFORD HEALTH CENTRE,33956411,"5,617.99"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"5,643.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"5,655.01"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,MISSION PRACTICE,33956422,"5,674.25"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR N SELVAN,33956405,"5,837.63"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,"5,890.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"5,925.49"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"6,014.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,"6,280.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"6,313.75"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"6,325.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33818090,"6,410.06"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,33956426,"6,499.60"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"6,548.93"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"6,598.98"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ST PAULS WAY MEDICAL CENTRE,33818084,"6,774.75"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"6,892.99"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"7,200.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"7,251.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"7,395.04"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"7,613.19"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"7,741.99"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"7,999.98"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST STEPHENS HEALTH CENTRE LONDON,33956433,"8,072.23"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Service Charges,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"8,333.33"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,33956413,"8,375.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"8,488.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"8,604.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"8,640.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33818090,"8,750.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33975293,"8,757.60"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HARFORD HEALTH CENTRE,33956411,"9,563.39"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"10,011.55"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33853328,"10,185.83"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,"10,504.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"10,546.58"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"11,992.91"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"12,029.93"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"12,278.34"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"12,437.42"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"12,454.58"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"12,687.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"12,774.60"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"13,248.15"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"14,226.78"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"16,336.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"17,698.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33853328,"17,955.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"19,713.29"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Contract & Agency-Agency A & C,PROGRAMME PROJECTS,PRODUCT CONTROL LTD,33749358,"25,458.10"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,External Consultancy Fees,PROGRAMME PROJECTS,HEALTH-E-FINANCIALS LTD,33722259,"25,580.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,"29,675.63"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33878598,"30,498.22"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Contract & Agency-Agency Int Mgr,PROGRAMME PROJECTS,BARTS HEALTH NHS TRUST,33900580,"30,620.89"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,33956424,"31,681.03"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,STROUDLY WALK,33956428,"33,088.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33859288,"33,365.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,NORTH WEST LONDON HOSPITALS NHS TRUST,33755666,"33,507.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Miscellaneous Expenditure (L9),PROGRAMME PROJECTS,LONDON BOROUGH OF TOWER HAMLETS,33737397,"37,397.75"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,"38,350.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,"38,931.55"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,TREDEGAR MEDICAL SURGERY,33956435,"41,129.56"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,"41,890.09"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S RANA-MASSON,33956407,"41,932.05"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33755758,"42,142.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33878434,"42,834.58"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Miscellaneous Expenditure (L9),PROGRAMME PROJECTS,NHS NEL CSU,33801756,"43,054.08"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,"43,806.42"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Delivery,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33853328,"46,396.66"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"46,399.68"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33755766,"48,320.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,33878471,"48,545.86"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,33818074,"50,449.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Clinical Other,LOCAL ENHANCED SERVICES,KCOM GROUP PLC,33859376,"51,411.41"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Miscellaneous Expenditure (L9),PROGRAMME PROJECTS,NHS NEL CSU,33801754,"53,885.83"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEWISHAM & GREENWICH NHS TRUST,33878536,"55,056.72"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,33956413,"56,750.28"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718277,"57,911.42"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33878530,"58,255.03"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718230,"59,861.17"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"60,922.08"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"64,332.25"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BETHNAL GREEN HEALTH CENTRE,33956391,"65,693.54"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"66,625.49"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956393,"66,898.26"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,"68,587.58"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Local AuthorityRevenue-Non-Contract,MENTAL HEALTH CONTRACTS,BARTS HEALTH NHS TRUST,33756132,"70,900.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33878518,"71,505.20"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH EAST LONDON NHS FOUNDATION TRUST,33878573,"71,505.20"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33878591,"71,847.87"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,ST ANDREWS HEALTH CENTRE,33756200,"73,468.78"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,ST ANDREWS HEALTH CENTRE,33756215,"73,468.78"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,33877511,"74,965.84"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HARFORD HEALTH CENTRE,33956411,"75,682.21"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Miscellaneous Expenditure (L9),PROGRAMME PROJECTS,NHS NEL CSU,33801751,"76,642.55"
