Department family,Entity,Date,Expense Type,Expense area,,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,4766.03
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,4896
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Doctors Ret Scheme,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,4922.88
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,ALBION HEALTH CENTRE,32822993,4930.38
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,32674114,4966
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Prem Service Charges,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,5000
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,5083.56
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,5485.11
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",,DOCKLANDS MEDICAL CENTRE LONDON,32822999,5517.02
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,STROUDLY WALK,32823022,5589.91
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,5643.04
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,MISSION PRACTICE,32823016,5674.25
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,5731
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,DR N SELVAN,32838000,5837.63
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,5906.25
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,5925.49
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,5941
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",,ST ANDREWS HEALTH CENTRE,32674111,6014
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,STROUDLY WALK,32823022,6051.48
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,6291.67
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"C&M-APMS DES Extended Hours 
Access","PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,6548.93
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,LIMEHOUSE PRACTICE,32823014,6755
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,ST PAULS WAY MEDICAL CENTRE,32692534,6774.75
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - PMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,6794.55
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,6964.6
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,7200
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,7240
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,GROVE ROAD SURGERY,32823009,7685.96
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823027,7996
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Computer Software/License,PROGRAMME PROJECTS,,CLOUD2 LTD,32799679,8134.51
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Prem Service Charges,"PRC DELEGATED CO-
COMMISSIONING",,ST ANDREWS HEALTH CENTRE,32674111,8333.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",,HARLEY GROVE MEDICAL CENTRE,32823007,8375
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - PMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,8563.1
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,8604
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,8640
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,9068
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,9101.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Locum Sickness,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,9176.04
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",,STROUDLY WALK,32823022,9207.62
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ST ANDREWS HEALTH CENTRE,32674111,9234
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND MEDICAL CENTRE,32674108,9278.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,BRAYFORD SQUARE SURGERY,32823033,9467.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,32674114,9640
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Healthcentre Rates,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,9860.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Programme Support Costs,PROGRAMME PROJECTS,,CARNALL FARRAR LTD,32817434,9998
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,STROUTS PLACE MEDICAL CENTRE,32823024,10040.98
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,10264
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,HARLEY GROVE MEDICAL CENTRE,32823007,10523.92
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,10859.92
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,STROUDLY WALK,32823022,11079.52
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,11371.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,DR S RANA-MASSON,32823002,11498.7
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ABERFELDY STREET PRACTICE,32822991,11591.69
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,11788
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,11952
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,11969.03
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,DR S RANA-MASSON,32823002,12251.85
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,DR S RANA-MASSON,32823002,12351.19
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,12687.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,14628.72
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,14744.08
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",,XX PLACE,32838009,14790.08
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,DOCKLANDS MEDICAL CENTRE LONDON,32822999,15656.84
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,15694
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,16121.19
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ST ANDREWS HEALTH CENTRE,32674111,16309.34
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,16710.67
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,17542.26
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,17788.12
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Achievement,"PRC DELEGATED CO-
COMMISSIONING",,HARLEY GROVE MEDICAL CENTRE,32823007,18763.64
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",,TREDEGAR MEDICAL SURGERY,32838008,19028.22
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",,HARFORD HEALTH CENTRE,32823005,19126.78
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,32674114,19230.19
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822989,19348.13
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,19498.79
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,19796.89
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS PCO Doctors Ret Scheme,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,19999.2
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,21753.06
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,WAPPING HEALTH CENTRE,32823030,21937.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Achievement,"PRC DELEGATED CO-
COMMISSIONING",,ABERFELDY STREET PRACTICE,32822991,22360.29
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Achievement,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,22634.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,22819.68
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,22839.56
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823027,24216.68
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Contract & Agency-Agency Int Mgr,PROGRAMME PROJECTS,,ERNST & YOUNG LLP,32779418,25000
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,BRAYFORD SQUARE SURGERY,32823033,25518.23
Department of Health,NHS Tower Hamlets CCG,30/06/2020,External Consultancy Fees,PROGRAMME PROJECTS,,HEALTH-E-FINANCIALS LTD,32558161,"25,840.00"
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,HARFORD HEALTH CENTRE,32823005,27132.72
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,27480.98
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,LIMEHOUSE PRACTICE,32823014,28823.67
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,GROVE ROAD SURGERY,32823009,29722.12
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,,"ST GEORGES UNIVERSITY HOSPITALS NHS 
FOUNDATION TRUST",32828806,30452.38
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,,"ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS 
TRUST",32654112,30498.22
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,31678.06
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Achievement,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,32746.34
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,STROUDLY WALK,32823022,33270.64
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,33622.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Achievement,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,33997.01
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,34905.34
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,35268.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Achievement,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823027,38576.23
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822997,40229.93
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,TREDEGAR MEDICAL SURGERY,32838008,40526.41
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Computer Software/License,PROGRAMME PROJECTS,,CLOUD2 LTD,32799679,40672.56
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,XX PLACE,32838009,41533.98
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,STROUTS PLACE MEDICAL CENTRE,32823024,41956.4
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,DR S RANA-MASSON,32823002,42349.13
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Baseline,ACUTE COMMISSIONING,,NHS TRUST,32654050,42834.58
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,44018.28
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Programme Support Costs,PROGRAMME PROJECTS,,FUTUREGOV LTD,32799789,45625
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",,XX PLACE,32838009,46990.45
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",ACUTE COMMISSIONING,,"CHELSEA AND WESTMINSTER HOSPITAL NHS 
FOUNDATION TRUST",32654058,48545.86
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Programme Support Costs,PROGRAMME PROJECTS,,CARNALL FARRAR LTD,32817434,49990
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,50449
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,,LEWISHAM & GREENWICH NHS TRUST,32654085,55056.72
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Independent Sector,,,LOOK AHEAD CARE & SUPPORT LTD,32647793,"55,100.40"
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,HARLEY GROVE MEDICAL CENTRE,32823007,56758.02
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Healthcentre Rent,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,59139.88
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Cont Care- Retrospective Claims,,,LONDON BOROUGH OF TOWER HAMLETS,32855937,63706.95
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,64404.37
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Independent Sector,,,LOOK AHEAD CARE & SUPPORT LTD,32647796,"64,956.80"
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822989,65692.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,ABERFELDY STREET PRACTICE,32822991,66142.95
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,DOCKLANDS MEDICAL CENTRE LONDON,32822999,66478.83
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,,BARKANTINE PRACTICE,32762304,67379.39
Department of Health,NHS Tower Hamlets CCG,30/06/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,,HMRC,32769435,71053.42
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32654074,71505.2
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",ACUTE COMMISSIONING,,NORTH EAST LONDON NHS FOUNDATION TRUST,32654099,71505.2
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",ACUTE COMMISSIONING,,ROYAL FREE LONDON NHS FOUNDATION TRUST,32654108,71847.87
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,,ST ANDREWS HEALTH CENTRE,32850797,73468.78
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,HARFORD HEALTH CENTRE,32823005,75662.99
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND MEDICAL CENTRE,32674108,76098
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,WAPPING HEALTH CENTRE,32823030,77244.69
Department of Health,NHS Tower Hamlets CCG,30/06/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",,,LONDON AMBULANCE SERVICE NHS TRUST,32957375,79460.3
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,LIMEHOUSE PRACTICE,32823014,81993.63
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,83710.3
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,85064.6
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,,EAST END HEALTH NETWORK,32957011,85210.67
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS DES Violent Patients,"PRC DELEGATED CO-
COMMISSIONING",,PRIMARY CARE CENTRE(THE),32730092,89600
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,89700
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,93188.31
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,,EAST END HEALTH NETWORK,32957014,94248.26
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,32674114,97119
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,98099.16
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,99159.79
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,105024.37
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823027,107711.17
Department of Health,NHS Tower Hamlets CCG,30/06/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,,HMRC,32769435,109477.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,110157
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,116185
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822997,120896.31
