query_string_n,verif_match
COSSINGTON HOUSE SURGERY,COSSINGTON HOUSE SURGERY
COTDEAN NURSING HOMES LIMITED,COTDEAN NURSING HOMES LIMITED
COTSWOLD CARE HOSPICE,COTSWOLD CARE HOSPICE
COTSWOLD DISTRICT COUNCIL,COTSWOLD DISTRICT COUNCIL
COULBY MEDICAL PRACTICE,COULBY MEDICAL PRACTICE
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST
COUNTRY COURT CARE LIMITED,COUNTRY COURT CARE LIMITED
COUNTRY PARK PRACTICE,COUNTRY PARK PRACTICE
COUNTRYWIDE CARE HOMES 2 LIMITED,COUNTRYWIDE CARE HOMES 2 LIMITED
COUNTRYWIDE CARE HOMES LIMITED,COUNTRYWIDE CARE HOMES LIMITED
COUNTY CARE HOMES LIMITED,COUNTY CARE HOMES LIMITED
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST
COUNTY ROAD SURGERY,COUNTY ROAD SURGERY
COURT STREET MEDICAL PRACTICE,COURT STREET MEDICAL PRACTICE
COURT THORN SURGERY,COURT THORN SURGERY
COURTSIDE SURGERY,COURTSIDE SURGERY
COURTYARD SURGERY,COURTYARD SURGERY
COVALENT SOFTWARE LIMITED,COVALENT SOFTWARE LIMITED
COVENT GARDEN MEDICAL CENTRE,COVENT GARDEN MEDICAL CENTRE
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST
COVERAGE CARE SERVICES LIMITED,COVERAGE CARE SERVICES LIMITED
COWES MEDICAL CENTRE,COWES MEDICAL CENTRE
COWFOLD SURGERY,COWFOLD SURGERY
COWPLAIN FAMILY PRACTICE,COWPLAIN FAMILY PRACTICE
CRADLEY SURGERY,CRADLEY SURGERY
CRANBROOK SURGERY,CRANBROOK SURGERY
CRAVEN COMMUNITY AND VOLUNTARY SERVICES,CRAVEN COMMUNITY AND VOLUNTARY SERVICES
CRAWFORD STREET SURGERY,CRAWFORD STREET SURGERY
CRAWLEY BOROUGH COUNCIL,CRAWLEY BOROUGH COUNCIL
CRAWLEY DOWN HEALTH CENTRE,CRAWLEY DOWN HEALTH CENTRE
CRAWLEY ROAD MEDICAL CENTRE,CRAWLEY ROAD MEDICAL CENTRE
CRAWLEY TOWN COMMUNITY FOUNDATION,CRAWLEY TOWN COMMUNITY FOUNDATION
CRAYFORD TOWN SURGERY,CRAYFORD TOWN SURGERY
CREATE GLOUCESTERSHIRE LIMITED,CREATE GLOUCESTERSHIRE LIMITED
CREATIVE SUPPORT LIMITED,CREATIVE SUPPORT LIMITED
CREST WALTHAM FOREST,CREST WALTHAM FOREST
CRICKET GREEN MEDICAL PRACTICE,CRICKET GREEN MEDICAL PRACTICE
CRICKET GREEN SCHOOL,CRICKET GREEN SCHOOL
CRICKLADE SURGERY,CRICKLADE SURGERY
CRICKLEWOOD HEALTH CENTRE,CRICKLEWOOD HEALTH CENTRE
CRISTIE DATA LIMITED,CRISTIE DATA LIMITED
CROFT CARE TRUST,CROFT CARE TRUST
CROFTLANDS TRUST,CROFTLANDS TRUST
CROFTWOOD CARE LIMITED,CROFTWOOD CARE LIMITED
CROMWELL MEDICAL CENTRE,CROMWELL MEDICAL CENTRE
CROOK LOG SURGERY,CROOK LOG SURGERY
CROOKES PRACTICE,CROOKES PRACTICE
CROSLAND MOOR SURGERY,CROSLAND MOOR SURGERY
CROSS PLAIN HEALTH CENTRE,CROSS PLAIN HEALTH CENTRE
CROSS STREET HEALTH CENTRE,CROSS STREET HEALTH CENTRE
CROSSFELL HEALTH CENTRE,CROSSFELL HEALTH CENTRE
CROSSROADS CARE WEST KENT,CROSSROADS CARE WEST KENT
CROUCH OAK FAMILY PRACTICE,CROUCH OAK FAMILY PRACTICE
CROUCH VALLEY GP CONSORTIUM LIMITED,CROUCH VALLEY GP CONSORTIUM LIMITED
CROWN CARE IV LIMITED,CROWN CARE IV LIMITED
CROWN JOINERY LIMITED,CROWN JOINERY LIMITED
CROYDON GP COLLABORATIVE LIMITED,CROYDON GP COLLABORATIVE LIMITED
CROYDON HEALTH SERVICES NHS TRUST,CROYDON HEALTH SERVICES NHS TRUST
CROYDON VOLUNTARY ACTION,CROYDON VOLUNTARY ACTION
CRUSE BEREAVEMENT CARE,CRUSE BEREAVEMENT CARE
CSC COMPUTER SCIENCES LIMITED,CSC COMPUTER SCIENCES LIMITED
CUBE CREATIVE LIMITED,CUBE CREATIVE LIMITED
CUCKFIELD MEDICAL CENTRE,CUCKFIELD MEDICAL CENTRE
CUERDEN DEVELOPMENTS LIMITED,CUERDEN DEVELOPMENTS LIMITED
CUFFLEY AND GOFFS OAK MEDICAL PRACTICE,CUFFLEY AND GOFFS OAK MEDICAL PRACTICE
CULCHETH HIGH SCHOOL,CULCHETH HIGH SCHOOL
CULCHETH MEDICAL CENTRE,CULCHETH MEDICAL CENTRE
CULVERHAY SURGERY,CULVERHAY SURGERY
CUMBERLAND HOUSE SURGERY,CUMBERLAND HOUSE SURGERY
CUMBRIA COUNTY COUNCIL,CUMBRIA COUNTY COUNCIL
CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST
CURO HEALTH LIMITED,CURO HEALTH LIMITED
CUSTOM HOUSE SURGERY,CUSTOM HOUSE SURGERY
CUSTOMER RESEARCH TECHNOLOGY LIMITED,CUSTOMER RESEARCH TECHNOLOGY LIMITED
CVS CHESHIRE EAST,CVS CHESHIRE EAST
CY EXECUTIVE RESOURCING LIMITED,CY EXECUTIVE RESOURCING LIMITED
CYGNET BEHAVIOURAL HEALTH LIMITED,CYGNET BEHAVIOURAL HEALTH LIMITED
CYGNET CLIFTON LIMITED,CYGNET CLIFTON LIMITED
CYGNET DH LIMITED,CYGNET DH LIMITED
CYGNET HEALTH CARE LIMITED,CYGNET HEALTH CARE LIMITED
CYGNET LEARNING DISABILITIES LIMITED,CYGNET LEARNING DISABILITIES LIMITED
CYGNET LEARNING DISABILITIES MIDLANDS LIMITED,CYGNET LEARNING DISABILITIES MIDLANDS LIMITED
CYGNET NW LIMITED,CYGNET NW LIMITED
CYGNET OE LIMITED,CYGNET OE LIMITED
CYSTIC FIBROSIS TRUST,CYSTIC FIBROSIS TRUST
D3 OFFICE GROUP LIMITED,D3 OFFICE GROUP LIMITED
DAC BEACHCROFT LIMITED LIABILITY PARTNERSHIP,DAC BEACHCROFT LIMITED LIABILITY PARTNERSHIP
DACORUM BOROUGH COUNCIL,DACORUM BOROUGH COUNCIL
DACORUM HEALTHCARE PROVIDERS LIMITED,DACORUM HEALTHCARE PROVIDERS LIMITED
DAISY CHAIN PROJECT TEESSIDE,DAISY CHAIN PROJECT TEESSIDE
DAISY COMMUNICATIONS LIMITED,DAISY COMMUNICATIONS LIMITED
DAISY GROUP LIMITED,DAISY GROUP LIMITED
DALE TOPCO LIMITED,DALE TOPCO LIMITED
DALEFIELD SURGERY,DALEFIELD SURGERY
DALLAM LANE MEDICAL CENTRE,DALLAM LANE MEDICAL CENTRE
DALSTON MEDICAL GROUP,DALSTON MEDICAL GROUP
DALTON TERRACE SURGERY,DALTON TERRACE SURGERY
DAME HANNAH ROGERS TRUST,DAME HANNAH ROGERS TRUST
DAMIBU LIMITED,DAMIBU LIMITED
DAN WOOD COMMUNICATIONS LIMITED,DAN WOOD COMMUNICATIONS LIMITED
DANEBRIDGE MEDICAL CENTRE,DANEBRIDGE MEDICAL CENTRE
DARLINGTON CITIZENS ADVICE BUREAU,DARLINGTON CITIZENS ADVICE BUREAU
DARLINGTON MIND,DARLINGTON MIND
DARNALL DEMENTIA TRUST,DARNALL DEMENTIA TRUST
DART,DART
DARTFORD AND GRAVESHAM NHS TRUST,DARTFORD AND GRAVESHAM NHS TRUST
DATA TRANSPARENCY LIMITED,DATA TRANSPARENCY LIMITED
DATIX LIMITED,DATIX LIMITED
DATRIX LIMITED,DATRIX LIMITED
DAVARD CARE HOMES LIMITED,DAVARD CARE HOMES LIMITED
DAVENPORT HOUSE SURGERY,DAVENPORT HOUSE SURGERY
DAWLEY MEDICAL PRACTICE,DAWLEY MEDICAL PRACTICE
DAYBREAK MEDICAL LIMITED,DAYBREAK MEDICAL LIMITED
DAYBROOK MEDICAL PRACTICE,DAYBROOK MEDICAL PRACTICE
DE BEAUVOIR SURGERY,DE BEAUVOIR SURGERY
DE LAGE LANDEN LEASING LIMITED,DE LAGE LANDEN LEASING LIMITED
DE SOUTTER MEDICAL LIMITED,DE SOUTTER MEDICAL LIMITED
DEAF ACTIVE,DEAF ACTIVE
DEAFLINK NORTH EAST,DEAFLINK NORTH EAST
DEARNE VALLEY GROUP PRACTICE,DEARNE VALLEY GROUP PRACTICE
DEBDALE SPECIALIST CARE LIMITED,DEBDALE SPECIALIST CARE LIMITED
DEEPCAR MEDICAL CENTRE,DEEPCAR MEDICAL CENTRE
DELAM CARE LIMITED,DELAM CARE LIMITED
DELL CORPORATION LIMITED,DELL CORPORATION LIMITED
DELOITTE LIMITED LIABILITY PARTNERSHIP,DELOITTE LIMITED LIABILITY PARTNERSHIP
DELOITTE MCS LIMITED,DELOITTE MCS LIMITED
DELTA HEALTHCARE,DELTA HEALTHCARE
DEMELZA HOSPICE CARE FOR CHILDREN,DEMELZA HOSPICE CARE FOR CHILDREN
DEMENTIA CONCERN,DEMENTIA CONCERN
DENMARK ROAD SURGERY,DENMARK ROAD SURGERY
DENMARK STREET SURGERY,DENMARK STREET SURGERY
DENTON MEDICAL PRACTICE,DENTON MEDICAL PRACTICE
DERBYSHIRE CARERS ASSOCIATION,DERBYSHIRE CARERS ASSOCIATION
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST
DERBYSHIRE COUNTY COUNCIL,DERBYSHIRE COUNTY COUNCIL
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
DERRY DOWNS SURGERY,DERRY DOWNS SURGERY
DERWENT CRESCENT MEDICAL CENTRE,DERWENT CRESCENT MEDICAL CENTRE
DERWENT HOUSE SURGERY,DERWENT HOUSE SURGERY
DERWENTSIDE HEALTHCARE LIMITED,DERWENTSIDE HEALTHCARE LIMITED
DERWENTSIDE HOSPICE CARE FOUNDATION,DERWENTSIDE HOSPICE CARE FOUNDATION
DESIGN 4 LIFE LIMITED,DESIGN 4 LIFE LIMITED
DEVON AND CORNWALL AUTISTIC COMMUNITY TRUST,DEVON AND CORNWALL AUTISTIC COMMUNITY TRUST
DEVON PARTNERSHIP NHS TRUST,DEVON PARTNERSHIP NHS TRUST
DEVONSHIRE GREEN MEDICAL CENTRE,DEVONSHIRE GREEN MEDICAL CENTRE
DHU 111 EAST MIDLANDS COMMUNITY INTEREST COMPANY,DHU 111 EAST MIDLANDS COMMUNITY INTEREST COMPANY
DHU HEALTH CARE COMMUNITY INTEREST COMPANY,DHU HEALTH CARE COMMUNITY INTEREST COMPANY
DIABETES UK,DIABETES UK
DIADEM MEDICAL PRACTICE,DIADEM MEDICAL PRACTICE
DIAL BARNSLEY,DIAL BARNSLEY
DIAL HOUSE CHESTER,DIAL HOUSE CHESTER
DIANE HEDGES LIMITED,DIANE HEDGES LIMITED
DIGITAL HEALTHCARE LIMITED,DIGITAL HEALTHCARE LIMITED
DIGNUS HEALTHCARE LIMITED,DIGNUS HEALTHCARE LIMITED
DIMENSIONS UK LIMITED,DIMENSIONS UK LIMITED
DIPTON SURGERY,DIPTON SURGERY
DIRECT HEALTHCARE SERVICES LIMITED,DIRECT HEALTHCARE SERVICES LIMITED
DIRECT LOCAL HEALTH LIMITED,DIRECT LOCAL HEALTH LIMITED
DISABILITY ASSOCIATION CARLISLE AND EDEN,DISABILITY ASSOCIATION CARLISLE AND EDEN
DISABILITY SOLUTIONS WEST MIDLANDS,DISABILITY SOLUTIONS WEST MIDLANDS
DIVERSITY CARE SOLUTIONS LIMITED,DIVERSITY CARE SOLUTIONS LIMITED
DIVERSITY CREATIVE MARKETING SOLUTIONS LIMITED,DIVERSITY CREATIVE MARKETING SOLUTIONS LIMITED
DMC HEALTHCARE,DMC HEALTHCARE
DNS CONSULTANCY LIMITED,DNS CONSULTANCY LIMITED
DOCKHAM ROAD SURGERY,DOCKHAM ROAD SURGERY
DOCOBO LIMITED,DOCOBO LIMITED
DOCTORLINK LIMITED,DOCTORLINK LIMITED
DOCTORS OF THE WORLD UK,DOCTORS OF THE WORLD UK
DODINGTON SURGERY,DODINGTON SURGERY
DOLPHIN CARE LIMITED,DOLPHIN CARE LIMITED
DOLPHIN HOUSE SURGERY,DOLPHIN HOUSE SURGERY
DOLPHINS PRACTICE,DOLPHINS PRACTICE
DONNEYBROOK MEDICAL CENTRE,DONNEYBROOK MEDICAL CENTRE
DONNINGTON HOUSE CARE HOME LIMITED,DONNINGTON HOUSE CARE HOME LIMITED
DONNINGTON MEDICAL PRACTICE,DONNINGTON MEDICAL PRACTICE
DORIS RESOURCES LIMITED LIABILITY PARTNERSHIP,DORIS RESOURCES LIMITED LIABILITY PARTNERSHIP
DORKING HEALTHCARE LIMITED,DORKING HEALTHCARE LIMITED
DORKING HEALTHCARE LIMITED LIABILITY PARTNERSHIP,DORKING HEALTHCARE LIMITED LIABILITY PARTNERSHIP
DORKING MEDICAL PRACTICE,DORKING MEDICAL PRACTICE
DORRIDGE SURGERY,DORRIDGE SURGERY
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST
DOUGLAS MACMILLAN HOSPICE,DOUGLAS MACMILLAN HOSPICE
DOVE CARE HOMES LIMITED,DOVE CARE HOMES LIMITED
DOVE COTTAGE DAY HOSPICE,DOVE COTTAGE DAY HOSPICE
DOVE HOUSE HOSPICE,DOVE HOUSE HOSPICE
DOVECOT HEALTH CENTRE,DOVECOT HEALTH CENTRE
DOVECOTE CARE HOMES LIMITED,DOVECOTE CARE HOMES LIMITED
DOWNTON SURGERY,DOWNTON SURGERY
DRAKESET LIMITED,DRAKESET LIMITED
DRAYTON MEDICAL PRACTICE,DRAYTON MEDICAL PRACTICE
DRB HEALTHCARE LIMITED,DRB HEALTHCARE LIMITED
DROYLSDEN MEDICAL PRACTICE,DROYLSDEN MEDICAL PRACTICE
DRUIDS HEATH SURGERY,DRUIDS HEATH SURGERY
DUCHY HOSPITAL,DUCHY HOSPITAL
DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST
DUDLEY METROPOLITAN BOROUGH COUNCIL,DUDLEY METROPOLITAN BOROUGH COUNCIL
DUDLEY STROKE ASSOCIATION,DUDLEY STROKE ASSOCIATION
DUDLEY TAYLOR PHARMACIES LIMITED,DUDLEY TAYLOR PHARMACIES LIMITED
DUKE MEDICAL CENTRE,DUKE MEDICAL CENTRE
DUKE STREET SURGERY,DUKE STREET SURGERY
DUKINFIELD MEDICAL PRACTICE,DUKINFIELD MEDICAL PRACTICE
DUNELM MEDICAL PRACTICE,DUNELM MEDICAL PRACTICE
DUNNINC ROAD SURGERY,DUNNINC ROAD SURGERY
DURHAM COUNTY CARERS SUPPORT,DURHAM COUNTY CARERS SUPPORT
DURHAM COUNTY COUNCIL,DURHAM COUNTY COUNCIL
DXS UK LIMITED,DXS UK LIMITED
DYKES HALL MEDICAL CENTRE,DYKES HALL MEDICAL CENTRE
DYNAMIC INITIATIVES LIMITED,DYNAMIC INITIATIVES LIMITED
DYNELEY HOUSE SURGERY,DYNELEY HOUSE SURGERY
DYSART SURGERY,DYSART SURGERY
EACH,EACH
EACH LIFE LIMITED,EACH LIFE LIMITED
EAD SOLICITORS LIMITED LIABILITY PARTNERSHIP,EAD SOLICITORS LIMITED LIABILITY PARTNERSHIP
EAGLESCLIFFE MEDICAL PRACTICE,EAGLESCLIFFE MEDICAL PRACTICE
EALING GP LIMITED,EALING GP LIMITED
EALING HOSPITAL NHS TRUST,EALING HOSPITAL NHS TRUST
EARL MOUNTBATTEN HOSPICE,EARL MOUNTBATTEN HOSPICE
EAST AND NORTH HERTFORDSHIRE NHS TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST
EAST ANGLIAS CHILDRENS HOSPICES,EAST ANGLIAS CHILDRENS HOSPICES
EAST BANK MEDICAL CENTRE,EAST BANK MEDICAL CENTRE
EAST BARNET HEALTH CENTRE,EAST BARNET HEALTH CENTRE
EAST CHESHIRE NHS TRUST,EAST CHESHIRE NHS TRUST
EAST COAST COMMUNITY HEALTHCARE,EAST COAST COMMUNITY HEALTHCARE
EAST COAST COMMUNITY HEALTHCARE COMMUNITY INTEREST COMPANY,EAST COAST COMMUNITY HEALTHCARE COMMUNITY INTEREST COMPANY
EAST COWES MEDICAL CENTRE,EAST COWES MEDICAL CENTRE
EAST CROYDON MEDICAL CENTRE,EAST CROYDON MEDICAL CENTRE
EAST DURHAM MEDICAL GROUP,EAST DURHAM MEDICAL GROUP
EAST HILL SURGERY,EAST HILL SURGERY
EAST HULL FAMILY PRACTICE,EAST HULL FAMILY PRACTICE
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST
EAST KENT THERAPY REHABILITATION ALLIANCE LIMITED,EAST KENT THERAPY REHABILITATION ALLIANCE LIMITED
EAST LANCASHIRE HOSPITALS NHS TRUST,EAST LANCASHIRE HOSPITALS NHS TRUST
EAST LANCASHIRE MEDICAL SERVICES LIMITED,EAST LANCASHIRE MEDICAL SERVICES LIMITED
EAST LEAKE MEDICAL GROUP,EAST LEAKE MEDICAL GROUP
EAST LONDON NHS FOUNDATION TRUST,EAST LONDON NHS FOUNDATION TRUST
EAST LYNNE MEDICAL CENTRE,EAST LYNNE MEDICAL CENTRE
EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST
EAST MIDLANDS CROSSROADS,EAST MIDLANDS CROSSROADS
EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST
EAST ONE HEALTH,EAST ONE HEALTH
EAST PARK PRACTICE,EAST PARK PRACTICE
EAST RIDING FERTILITY SERVICES LIMITED,EAST RIDING FERTILITY SERVICES LIMITED
EAST RIDING OF YORKSHIRE COUNCIL,EAST RIDING OF YORKSHIRE COUNCIL
EAST RIDING VOLUNTARY ACTION SERVICES ERVAS LIMITED,EAST RIDING VOLUNTARY ACTION SERVICES ERVAS LIMITED
EAST SHORE PARTNERSHIP,EAST SHORE PARTNERSHIP
EAST STAFFORDSHIRE PRIMARY CARE PARTNERSHIP LIMITED,EAST STAFFORDSHIRE PRIMARY CARE PARTNERSHIP LIMITED
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST
EAST SUSSEX COUNTY COUNCIL,EAST SUSSEX COUNTY COUNCIL
EAST SUSSEX HEALTHCARE NHS TRUST,EAST SUSSEX HEALTHCARE NHS TRUST
EASTBURY SURGERY,EASTBURY SURGERY
EASTERN BIRMINGHAM HEALTH ORGANISATION LIMITED,EASTERN BIRMINGHAM HEALTH ORGANISATION LIMITED
EASTERN COUNTY CARE LIMITED,EASTERN COUNTY CARE LIMITED
EASTFIELD HOUSE SURGERY,EASTFIELD HOUSE SURGERY
EASTGATE MEDICAL GROUP,EASTGATE MEDICAL GROUP
EASTHAM GROUP PRACTICE,EASTHAM GROUP PRACTICE
EASTLANDS HEALTH CARE LIMITED,EASTLANDS HEALTH CARE LIMITED
EASTVILLE MEDICAL PRACTICE,EASTVILLE MEDICAL PRACTICE
EASTWOOD GROUP PRACTICE,EASTWOOD GROUP PRACTICE
EASTWOOD PRIMARY CARE CENTRE,EASTWOOD PRIMARY CARE CENTRE
ECDP,ECDP
ECDP VENTURES LIMITED,ECDP VENTURES LIMITED
ECHOGENICITY LIMITED,ECHOGENICITY LIMITED
ECONSULT HEALTH LIMITED,ECONSULT HEALTH LIMITED
EDDISONS COMMERCIAL PROPERTY MANAGEMENT LIMITED,EDDISONS COMMERCIAL PROPERTY MANAGEMENT LIMITED
EDEN BROWN LIMITED,EDEN BROWN LIMITED
EDEN HEALTH CARE SERVICES UK LIMITED,EDEN HEALTH CARE SERVICES UK LIMITED
EDEN MEDICAL GROUP,EDEN MEDICAL GROUP
EDEN PARK SURGERY,EDEN PARK SURGERY
EDEN SUPPORTED LIVING LIMITED,EDEN SUPPORTED LIVING LIMITED
EDENBRIDGE HEALTHCARE LIMITED,EDENBRIDGE HEALTHCARE LIMITED
EDENVALE CARE LIMITED,EDENVALE CARE LIMITED
EDF ENERGY CUSTOMERS LIMITED,EDF ENERGY CUSTOMERS LIMITED
EDGE HILL HEALTH CENTRE,EDGE HILL HEALTH CENTRE
EDGE HILL UNIVERSITY,EDGE HILL UNIVERSITY
EDITH CAVELL PRACTICE,EDITH CAVELL PRACTICE
EDUCATION FOR HEALTH,EDUCATION FOR HEALTH
EDWARDS TRUST,EDWARDS TRUST
EE LIMITED,EE LIMITED
EFFECTIVE WAY CONSULTING LIMITED,EFFECTIVE WAY CONSULTING LIMITED
EGRESS LIMITED,EGRESS LIMITED
EGTON MEDICAL INFORMATION SYSTEMS LIMITED,EGTON MEDICAL INFORMATION SYSTEMS LIMITED
EGTON SURGERY,EGTON SURGERY
ELDERCARE HALIFAX LIMITED,ELDERCARE HALIFAX LIMITED
ELDERLY CARE HOME LIMITED,ELDERLY CARE HOME LIMITED
ELEPHANT KIOSKS LIMITED,ELEPHANT KIOSKS LIMITED
ELIZABETH COURTAULD MEDICAL LIMITED,ELIZABETH COURTAULD MEDICAL LIMITED
ELLISON VIEW SURGERY,ELLISON VIEW SURGERY
ELM HOUSE SURGERY,ELM HOUSE SURGERY
ELM LANE SURGERY,ELM LANE SURGERY
ELM TREE SURGERY,ELM TREE SURGERY
ELMCROFT CARE HOME LIMITED,ELMCROFT CARE HOME LIMITED
ELMHAM SURGERY,ELMHAM SURGERY
ELMS MEDICAL PRACTICE,ELMS MEDICAL PRACTICE
ELSDALE STREET SURGERY,ELSDALE STREET SURGERY
ELTHAM MEDICAL PRACTICE,ELTHAM MEDICAL PRACTICE
ELVINGTON MEDICAL PRACTICE,ELVINGTON MEDICAL PRACTICE
EMBER SERVICES LIMITED,EMBER SERVICES LIMITED
EMERALD CARE SERVICES LIMITED,EMERALD CARE SERVICES LIMITED
EMERSONS GREEN MEDICAL CENTRE,EMERSONS GREEN MEDICAL CENTRE
EMMER GREEN SURGERY,EMMER GREEN SURGERY
ENABLE,ENABLE
ENCOMPASS GP PARTNERSHIP LIMITED,ENCOMPASS GP PARTNERSHIP LIMITED
ENFIELD CARERS CENTRE,ENFIELD CARERS CENTRE
ENFIELD HEALTH PARTNERSHIP LIMITED,ENFIELD HEALTH PARTNERSHIP LIMITED
ENFIELD HEALTHCARE ALLIANCE LIMITED,ENFIELD HEALTHCARE ALLIANCE LIMITED
ENGAGE HEALTH SYSTEMS LIMITED,ENGAGE HEALTH SYSTEMS LIMITED
ENOVATION UK LIMITED,ENOVATION UK LIMITED
EPHEDRA HEALTHCARE LIMITED,EPHEDRA HEALTHCARE LIMITED
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST
EPSOMEDICAL LIMITED,EPSOMEDICAL LIMITED
EQUALITY CARE LIMITED,EQUALITY CARE LIMITED
EQUILIBRIUM HEALTHCARE LIMITED,EQUILIBRIUM HEALTHCARE LIMITED
EQUITY HOUSING GROUP LIMITED,EQUITY HOUSING GROUP LIMITED
ERBE MEDICAL UK LIMITED,ERBE MEDICAL UK LIMITED
ERNST AND YOUNG LIMITED LIABILITY PARTNERSHIP,ERNST AND YOUNG LIMITED LIABILITY PARTNERSHIP
ERS TRANSITION LIMITED,ERS TRANSITION LIMITED
ESCHMANN HOLDINGS LIMITED,ESCHMANN HOLDINGS LIMITED
ESCRICK SURGERY,ESCRICK SURGERY
ESPLANADE SURGERY,ESPLANADE SURGERY
ESS PRIMARY CARE SOLUTIONS LIMITED,ESS PRIMARY CARE SOLUTIONS LIMITED
ESSENTIA TRADING LIMITED,ESSENTIA TRADING LIMITED
ESSENTIAL CARE AND SUPPORT LIMITED,ESSENTIAL CARE AND SUPPORT LIMITED
ESSEX CARES LIMITED,ESSEX CARES LIMITED
ESSEX COMMUNITY FOUNDATION,ESSEX COMMUNITY FOUNDATION
ESSEX COUNTY COUNCIL,ESSEX COUNTY COUNCIL
ESSEX EQUIP LIMITED,ESSEX EQUIP LIMITED
ESSEX LODGE,ESSEX LODGE
ESSEX OPHTHALMOLOGY SERVICES LIMITED,ESSEX OPHTHALMOLOGY SERVICES LIMITED
ESSITY UK LIMITED,ESSITY UK LIMITED
ESTHER CARE HOMES LIMITED,ESTHER CARE HOMES LIMITED
ESTON GRANGE NHS HEALTH CARE CENTRE,ESTON GRANGE NHS HEALTH CARE CENTRE
ESTUARY HOUSING ASSOCIATION LIMITED,ESTUARY HOUSING ASSOCIATION LIMITED
ETS COMMUNICATIONS LIMITED,ETS COMMUNICATIONS LIMITED
EUROKING MATERNITY SOFTWARE SOLUTIONS LIMITED,EUROKING MATERNITY SOFTWARE SOLUTIONS LIMITED
EUROPEAN CARE AND LIFESTYLES UK LIMITED,EUROPEAN CARE AND LIFESTYLES UK LIMITED
EUROPEAN ELECTRONIQUE LIMITED,EUROPEAN ELECTRONIQUE LIMITED
EUXTON HALL HOSPITAL,EUXTON HALL HOSPITAL
EVALUCOM CONSULTING LIMITED,EVALUCOM CONSULTING LIMITED
EVE HILL MEDICAL PRACTICE,EVE HILL MEDICAL PRACTICE
EVENWOOD MEDICAL PRACTICE,EVENWOOD MEDICAL PRACTICE
EVERDALE GRANGE LIMITED,EVERDALE GRANGE LIMITED
EVEREST HOUSE SURGERY,EVEREST HOUSE SURGERY
EVERGREEN LODGE LIMITED,EVERGREEN LODGE LIMITED
EVERSLEY MEDICAL CENTRE,EVERSLEY MEDICAL CENTRE
EVERTON IN THE COMMUNITY,EVERTON IN THE COMMUNITY
EVERYTHING EVERYWHERE LIMITED,EVERYTHING EVERYWHERE LIMITED
EVOLUTIO CARE INNOVATIONS LIMITED,EVOLUTIO CARE INNOVATIONS LIMITED
EVOLVE PEOPLE SOLUTIONS LIMITED,EVOLVE PEOPLE SOLUTIONS LIMITED
EXECUTIVE DEVELOPMENT CONSULTANTS UK LIMITED LIABILITY PARTNERSHIP,EXECUTIVE DEVELOPMENT CONSULTANTS UK LIMITED LIABILITY PARTNERSHIP
EXPERIENCE TRAINING LIMITED,EXPERIENCE TRAINING LIMITED
EXPRESS DIAGNOSTICS LIMITED,EXPRESS DIAGNOSTICS LIMITED
EXTERION MEDIA UK LIMITED,EXTERION MEDIA UK LIMITED
EYECOMM LIMITED,EYECOMM LIMITED
EYHURST COURT LIMITED,EYHURST COURT LIMITED
EZEC MEDICAL TRANSPORT SERVICES LIMITED,EZEC MEDICAL TRANSPORT SERVICES LIMITED
FABRIK GAMES LIMITED,FABRIK GAMES LIMITED
FACERE MELIUS LIMITED,FACERE MELIUS LIMITED
FACTS 4 LIFE LIMITED,FACTS 4 LIFE LIMITED
