Dept Family,Organisation Name,Accounting Year,Period,Dater,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1467366,Corona Energy,577704800,Rf:Energy,Gas,"-175,449.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1468786,Martech Technical Services Ltd,881307326,Rf:Int Building Fabric-Backlog,Building Contracts,"30,274.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469355,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"90,703.98"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469356,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"187,601.10"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469449,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Outpatients - Slr,"52,848.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469450,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Outpatients - Slr,"52,848.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469451,North Middlesex University Hospital Nhs Trust,654946204,Rf:Ophthalmology-Medical,Outpatients - Slr,"52,848.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469643,Supply Chain Coordination Ltd (Maintenance),290885854,Rf:Radiology,Radiology Maint Contracts,"86,748.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469674,Synergy Health Managed Services Ltd,243829687,Bh:Operations Dir Admin,Bedding & Linen,"51,945.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1469861,Softcat Limited,,Tw:Nursing Administratn,Other Non-Clinical Services,"89,280.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1470530,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"82,187.29"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1470532,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"113,024.67"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1470661,Mems Power Generation Ltd,472890613,Rf:Hv Generator  - Backlog,Estates Services Contracts,"25,331.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1470916,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1471909,Uclh Nhs Foundation Trust,654948687,Tw:Balance Sheet,Pharmacy Issues & Receipts,"28,888.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1472568,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,125.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1472756,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,867.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1473387,Dictate It,835575990,Tw:Patient Systems,Office Equipment,"33,422.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1473620,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Energy Management Contracts,"150,978.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1474068,Darwin Group Limited,907075331,Bh:Modular Ward,Building Contracts,"1,861,250.27"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1474314,Nhs Pensions,654434729,Tw:Balance Sheet,Early Retirement > 1 Year,"130,307.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1474967,Ecourier,577249206,Rf:Rfh Transport,Transport-Equipment/Materials,"63,607.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475024,Nhs Resolution,,Rf:Projects,Insurance Costs,"2,759,807.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475024,Nhs Resolution,,Tw:Clinical Risk + Safety,Insurance Costs,"58,902.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475295,Biotest Uk Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475300,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"30,806.10"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475586,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475827,Cec Healthcare Coding Ltd,215249033,Tw:Clinical Coding,It Service Contracts,"46,801.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1475858,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"28,962.41"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1476889,Radiology Reporting Online Llp,134072836,Bh:Radiology,Healthcare Commercial Sector,"50,831.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1477081,Utilyx Healthcare Energy Services Ltd (Ancil),,Rf:Energy,Rentals Operating Leases,"93,496.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1477705,Nhs Blood And Transplant,654961603,Bh:Blood Tran,Blood Products,"70,992.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1477708,Nhs Blood And Transplant,654961603,Rf:Haematology Labs,Blood Products,"168,943.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1478721,Esine Limited,256531208,Rf:Electrical Projects-Backlog,Engineering Equip & Materials,"27,301.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1478730,Link Treasury Services Ltd,618184140,Rf:Renal Technicians,Msse Lease Charges,"25,104.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1480449,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"58,371.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1481632,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"928,470.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1481638,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"62,162.46"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1481667,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"198,734.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1481695,Change Healthcare Uk Holdings Ltd,174668567,Bh:Barnet Ecg Dept,Msse Maintenance Contracts,"36,542.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,17637,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"35,114.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,17638,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"56,389.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,3060,Currie & Brown Uk Limited,737655010,Tw:Whht Consultancy,Consultancy Fees,"71,928.79"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,3212,Althea Uk And Ireland Ltd,191726588,Tw:Ebme,Msse Maintenance Contracts,"43,745.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,3213,Althea Uk And Ireland Ltd,191726588,Tw:Ebme,Msse Maintenance Contracts,"43,745.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1473736,Mbi Healthcare Technologies Ltd,157524303,Tw:Performance Information,It Service Contracts,"124,018.01"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1474069,4c Associates Ltd,4018096,Tw:Commercial  Finance,Other Non-Clinical Supplies,"108,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1474370,Ellis Building Services Ltd,259448855,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"200,159.04"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1475169,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"64,698.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1475321,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"168,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1475341,Eumedica Sa,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,653.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1475373,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"98,750.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1475424,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"72,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1476345,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"34,085.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1476896,Imperial College Healthcare Nhs Trust,654945990,Rf:Haemophilia,Drugs (Tedd),"278,525.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1477111,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"85,820.36"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1477942,London International Exhibition Centre Plc,268747352,Tw:Nightingale Ward (Excel),Building Contracts,"30,625.38"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1478977,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"35,945.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1479001,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,275.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1480667,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"42,963.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1480679,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"115,512.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1481637,Virgin Media Business,,Tw:It Infrastructure,It Equipment,"25,280.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,1482838,Bayer Plc,641958611,Tw:Balance Sheet,Pharmacy Issues & Receipts,"59,309.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,18004,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"28,293.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/08/2020,2777,Jc Watson Mechanical Ltd,226481508,Tw:Ih Catering Patients,Catering Equipment,"36,238.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1477195,Molnlycke Healthcare Ltd,834868290,Rf:Covid-19 (Surge),Med&Surg Equipment Disposable,"39,693.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1477300,Sharpsmart Ltd,801449649,Rf:Waste Management,Refuse Collection-Clinical,"216,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1478033,Supply Chain Coordination Ltd (Maintenance),290885854,Rf:Medical Physics,Msse Maintenance Contracts,"99,566.06"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1478632,Atalian Servest Security Limited,,Rf:Rfh Facilities Management,Other Non-Clinical Services,"406,180.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1479871,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1480391,Genzyme Therapaeutics Ltd,246079843,Tw:Balance Sheet,Pharmacy Issues & Receipts,"42,270.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1482705,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"40,436.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1482917,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"108,404.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1483448,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"43,885.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1483535,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"44,366.44"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1483566,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"51,825.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,1483862,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,165.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/08/2020,18003,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"35,033.23"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,11/08/2020,1478111,Metier Healthcare Ltd,726536033,Bh:Pfi Project,Consultancy Fees,"3,278,186.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,14/08/2020,1481180,Interserve Catering Services Ltd,576994073,Rf:Pp Hotel Services,Contract Catering,"77,106.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,14/08/2020,1481181,Interserve Catering Services Ltd,576994073,Rf:Pp Hotel Services,Contract Catering,"77,106.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,14/08/2020,1481498,Abbott Laboratories Ltd,430867056,Bh:Pathology Managed Lab Serv.,Pathology Mls Contract,"83,540.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,14/08/2020,1481541,Charles & Co. Construction Services,988553747,Rf:Covid 19 2na Icu Surge,Bld Mnt-Ext Repairs,"59,808.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,14/08/2020,1482850,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"51,343.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,21/08/2020,1440616,Ascom (Uk) Ltd,205503996,Rf:Engineering,Engineering Equip & Materials,"59,983.36"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,21/08/2020,1453103,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"620,182.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,21/08/2020,1470538,Ascom (Uk) Ltd,205503996,Rf:Engineering,Engineering Equip & Materials,"-59,983.36"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,04/09/2020,1414583,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"-94,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,04/09/2020,1448791,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"-64,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,04/09/2020,1479914,Rfl Property Services Limited,,Rf:Property Services,Ic Management Service,"72,903.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1453102,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Services Nhsts Clinical,"112,458.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1453105,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"620,182.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1453106,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Services Nhsts Clinical,"112,458.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1453107,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"620,182.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1453108,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Services Nhsts Clinical,"112,458.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1454945,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Ahp Recharges In,"-52,327.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1467478,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"-207,164.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/09/2020,1474246,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"732,640.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1407226,University College London,524371168,Tw:Library Services,Library Service Non-Nhs,"99,084.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1449782,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"1,374,191.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1450022,Rdp Group (Uk) Ltd,725468124,Tw:Information Man And Tech,Other Non-Clinical Supplies,"33,011.09"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1453950,A1r Services Ltd,898244568,Rf:Minor Works,Building Equipment & Materials,"30,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1457331,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"809,552.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1461191,Cfes Limited,876320218,Cd:Decontamination Services,Building Contracts,"185,161.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1461835,University College London,524371168,Tw:Library Services,Library Service Non-Nhs,"99,084.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1469666,Elis Uk Ltd,226516179,Rf:Rfh Facilities Contract,Contract Laundry,"85,642.98"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1469890,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"1,828,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1473718,Hologic Uk Ltd,724644532,Ed:Breast Screening-Kit Celbss,Radiology Equipment,"174,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1477348,Hologic Uk Ltd,724644532,Ed:Breast Screening-Kit Celbss,Radiology Equipment,"165,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1481892,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"80,523.66"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1481900,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"88,538.06"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1485149,Abbott Medical Uk Ltd,536433154,Rf:Cardiology,Med&Surg Equipment,"-29,526.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,1485475,Multitone Electronics Plc,232150709,Tw:Telecommunications,Telecomms Maintenance,"129,564.35"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,18311,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"32,529.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,01/08/2020,3347,Cbre Managed Services Ltd,853936883,Ch:Highlands Compliance Works,Ic Building Contracts,"59,154.17"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1185970,Central London Community Healthcare Nhs Trust,654440485,Rf:Uc - Pace Project,Services Clch Nhst Clinical,"68,785.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1345409,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Healthcare Commercial Sector,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1405448,Imperial College Healthcare Nhs Trust,654945990,Bh:Radiology,Other Med - Recharge In,"83,060.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1407184,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Healthcare Commercial Sector,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1431643,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Healthcare Commercial Sector,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1431792,Care Quality Commission (F179),948043217,Tw:Nursing Administratn,Subscriptions,"713,806.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1432074,Synertec Ltd,736676494,Tw:Patient Systems,Office Equipment,"27,366.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1440954,Nhs Blood And Transplant,654961603,Bh:Blood Tran,Blood Products,"70,992.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1441823,Societe Generale Equipment Finance Ltd,629280722,Tw:Information Man And Tech,Other Non-Clinical Supplies,"26,193.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1448888,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Healthcare Commercial Sector,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1460853,Societe Generale Equipment Finance Ltd,629280722,Tw:Information Man And Tech,Other Non-Clinical Supplies,"26,193.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1466053,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Healthcare Commercial Sector,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1469556,Synertec Ltd,736676494,Tw:Patient Systems,Office Equipment,"33,291.45"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1469745,Siemens Healthcare Diagnostics Ltd,636163443,Rf:Covoid19 Equipments,Med&Surg Equipment,"28,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1473389,Dictate It,835575990,Tw:Patient Systems,It Software,"81,900.41"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1474181,Edf Energy Customers Plc,523041202,Rf:Energy,Electricity,"144,242.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1477837,British Red Cross,,Rf:Rfh Facilities Management,Other Non-Clinical Services,"71,597.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1481779,Logan Construction (Se) Ltd,674915890,Rf: Enabling Works - Mri Unit,Building Contracts,"366,660.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1484885,Notting Hill Genesis,577334122,Rf:Princess Christian House,Other Non-Clinical Supplies,"55,079.23"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1487547,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"34,920.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1487699,Keystream Healthcare Resources Ltd,105919025,Tw:Information Man And Tech,Other Non-Clinical Supplies,"97,914.43"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1487708,Premier Inn Business Account,243292864,Rf:Accommodation-Pay,Patient Hotel Accommodation,"28,574.25"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1487765,Synertec Ltd,736676494,Tw:Patient Systems,Office Equipment,"38,746.88"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,07/08/2020,1488811,Air Handling Systems Ltd,GB 859 7488 47,Rf:Corona Virus 11south Works,Engineering Equip & Materials,"42,432.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1338432,De Lage Landen Leasing Ltd,621784929,Rf:Vascular Lab,Msse Lease Charges,"27,941.63"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1405927,Nhs North Central London Ccg,654467120,Bh:Hospital Management Unit,Serv Other Nhs Non-Clinical,"724,756.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1407988,Nhs North Central London Ccg,654467120,Bh:Pathology Managed Lab Serv.,Pathology Mls Contract,"85,480.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1449840,Bates Office Services Limited,696521207,Rf:Covid-19 (Surge),Staff Clothing,"45,745.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1469808,Haverstock Healthcare Ltd,215028936,Rf:Diabetic Team,Healthcare Commercial Sector,"85,884.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1470064,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Other Non-Clinical Supplies,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1477113,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"26,391.61"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1477114,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"84,972.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1478623,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"77,437.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1478625,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"86,786.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1481431,Supply Chain Coordination Ltd (Maintenance),290885854,Rf:Medical Physics,Msse Maintenance Contracts,"435,266.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1481909,Lawmed Ltd,766027227,Rf:The Airseal-Ulpa Units,Med&Surg Equipment,"48,948.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1482593,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"94,161.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1482595,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"110,806.37"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1484127,3m United Kingdom Plc,362586629,Tw:Clinical Coding,It Service Contracts,"55,393.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,5,14/08/2020,1485121,Canon (Uk) Ltd,,Tw:Information Man And Tech,Other Non-Clinical Supplies,"218,446.51"
