Dept Family,Organisation Name,Accounting Year,Period,Date,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1413434,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,271.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1413435,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"33,657.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1414410,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"31,107.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1414496,Hsl (Fm) Llp,204055358,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,008.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1414534,London Dermatologist Ltd,,Rf:Dermatology,Agency Other Medical,"37,260.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1415515,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"28,819.46"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1415588,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"-153,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1417440,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"55,727.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1417441,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,971.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1417902,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-71,480.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1418521,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"94,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1418768,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"38,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1418769,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"77,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1419834,Bytes Software Services Ltd,823818226,Rf:Covid-19 (Surge),Other Non-Clinical Supplies,"80,901.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1419983,Artic Building Services Limited,718578593,Rf:Ucl-Maintenance,Building Contracts,"104,075.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1420067,Mitie Technical Faciliities Managment Ltd,416706654,Tw:Nightingale Ward (Excel),Building Contracts,"103,116.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1420135,The Anthony Nolan Trust,707042760,Rf:Renal Transplantation,Couriers,"85,979.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1420197,Pricewaterhousecoopers,,Tw:Financial Director,Audit Fees - External,"90,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1420199,Pricewaterhousecoopers,,Tw:Financial Director,Audit Fees - External,"90,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1985,Cbre Managed Services Ltd,853936883,Ch:Highlands Compliance Works,Ic Building Contracts,"76,675.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,20/04/2020,1372582,Ash Corporate Finance (Hampstead) Ltd,820733844,Tw:Balance Sheet,Finance Lease Obligation,"363,754.22"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,21/04/2020,1415904,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"1,893,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,21/04/2020,1416025,Premier Inn Business Account,243292864,Rf:Accommodation-Pay,Patient Hotel Accommodation,"80,814.05"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,21/04/2020,1416778,Compass Contract Services (Uk) Limited,466477701,Tw:Nightingale Ward (Excel),Contract Catering,"273,167.94"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,21/04/2020,1422320,Cfes Limited,876320218,Tw:Nightingale Ward (Excel),Building Contracts,"3,600,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,22/04/2020,1412030,Haverstock Healthcare Ltd,215028936,Rf:Diabetic Team,Healthcare Commercial Sector,"87,093.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1000968,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"102,969.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1000969,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"84,745.71"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1000970,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"95,333.08"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1000972,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"85,412.67"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1021764,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"83,915.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1260934,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"98,064.58"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1280076,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Healthcare Non-Nhs Recharge,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1286434,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Healthcare Non-Nhs Recharge,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1302694,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Healthcare Non-Nhs Recharge,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1309831,Medicx Health (Eleven) Limited,168883253,Th:Tottenham Kcc-Dialysis,Rent,"122,670.13"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1319939,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"118,108.68"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1357004,Medtronic Ltd,467254526,Bh:Paediatric Diabetes,Med&Surg Equipment,
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,13763,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"55,449.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1383948,Nhs Blood And Transplant,654961603,Bh:Haematology Barnet,Blood Products,"66,241.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1385102,University College London,524371168,Tw:Chief Executive,Consultancy Fees,"-124,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1388334,Nes Holdings (Uk) Ltd,688377859,Ch:Wellington Ward,Agency Other Medical,"35,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1389792,Elis Uk Ltd,226516179,Rf:Rfh Facilities Contract,Other Non-Clinical Services,"83,492.88"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,13909,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"38,750.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1391419,Pro Economy Ltd,657679473,Rf:Engineering,Msse Maintenance Contracts,"64,324.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1392550,Hsl (Fm) Llp,204055358,Bh:General Pathology Barnet,Laboratory Equip Disposable,"25,662.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,13932,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"28,484.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1398172,Radiology Reporting Online Llp,134072836,Bh:Radiology,Healthcare Commercial Sector,"103,254.22"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1398913,Productive People Llp,202097936,Tw:Od & Workforce Management,Consultancy Fees,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1406851,Fresenius Medical Care (Uk) Ltd,674637108,Tw:Dialysis Machines Ref-334,Med&Surg Equipment,"70,884.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,14075,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"-32,816.04"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1408011,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"115,598.43"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1408012,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"171,035.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1408130,Insight Direct (Uk) Ltd,,Tw:Information Man And Tech,Other Non-Clinical Supplies,"34,608.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411613,Armstrong Medical Ltd,432578934,Rf:Covoid19 Equipments,Med&Surg Equipment,"33,739.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411628,Medtronic Ltd,467254526,Bh:Barnet Ecg Dept,Pacemakers,"35,040.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411641,Supply Chain Coordination Ltd (Maintenance),290885854,Ch:Sonography,Msse Maintenance Contracts,"35,760.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411652,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"158,786.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411653,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"93,704.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411808,Logan Construction (Se) Ltd,674915890,Rf: Enabling Works - Mri Unit,Building Contracts,"209,520.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411834,Mems Power Generation Ltd,472890613,Rf:Hv Generator  - Backlog,Estates Services Contracts,"25,331.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411858,De Smit Medical Systems Ltd,935009926,Ch:Covid-19,Med&Surg Equipment Disposable,"30,844.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411895,Synertec Ltd,736676494,Tw:Patient Systems,It Equipment,"39,799.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411896,Synertec Ltd,736676494,Bh:Breast Screening Admin Hub,Healthcare Commercial Sector,"48,518.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411907,Nhs Blood And Transplant,654961603,Rf:Haematology Labs,Blood Products,"168,943.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411929,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"29,068.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411946,Elis Uk Ltd,226516179,Rf:Rfh Facilities Contract,Other Non-Clinical Services,"80,428.58"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411948,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"74,141.04"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1411962,Maquet Ltd,468850893,Rf:Ircu Balloon Pump Refno 302,Med&Surg Equipment,"50,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1412031,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1412032,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1412170,Supply Chain Coordination Ltd (Capital),290885854,Tw:Ultrasound 16 Nhsi Nhssc,Radiology Equipment,"254,206.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1412375,Ap Clarity Ltd,189700769,Tw:Od & Workforce Management,Consultancy Fees,"31,074.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1412890,Anetic Aid Ltd,301258992,Rf:Replacement Trolleys Ref331,Med&Surg Equipment,"29,070.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1413029,Softcat Limited,,Tw:Patient Systems,Other Non-Clinical Supplies,"130,115.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1413058,Dell Corporation Ltd,635823528,Bh:Radiology,Med&Surg Equipment Disposable,"28,312.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1413632,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"40,680.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1414545,Iqvia Technology Services Ltd,678124612,Tw:Information Management,Agency Admin & Clerical 1-7,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1414632,Supply Chain Coordination Ltd (Capital),290885854,Rf:Medical Physics,Med&Surg Equipment Disposable,"771,583.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1414772,Varian Medical Systems Ltd,,Rf:Radiotherapy Physics,Msse Maintenance Repairs,"181,563.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1414943,K & H Medical Ltd,,Rf:Corona Virus 11south Works,Engineering Contracts,"62,209.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1415916,Chameleon Information Management Services Ltd,674857971,Tw:Patient Systems,Other Non-Clinical Supplies,"236,966.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1415918,Childcare Vouchers Ltd,649503520,Tw:Balance Sheet,Childcare Vouchers,"35,935.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417126,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417134,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417139,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417143,Ucl Consultants Ltd,524371168,Tw:Vanguard,Consultancy Fees,"59,999.98"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417233,Corona Energy,577704800,Rf:Energy,Gas,"222,249.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417236,Corona Energy,577704800,Rf:Energy,Gas,"-122,023.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417239,Corona Energy,577704800,Rf:Energy,Gas,"210,099.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417423,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"52,808.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417457,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1417621,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,714.45"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1418960,Akcea Therapeutics Ireland Ltd,DE321363572,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,359.04"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1419667,Cec Healthcare Coding Ltd,215249033,Tw:Clinical Coding,Other Non-Clinical Supplies,"107,149.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1420115,Sharpsmart Ltd,801449649,Rf:Waste Management,Refuse Collection-General,"216,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1420935,Fresenius Medical Care (Uk) Ltd,674637108,Tw:Replace Dialysis Mach 329,Med&Surg Equipment,"170,121.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421194,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421197,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421272,Qualasept Ltd (T/A Bath Asu),974972165,Tw:Balance Sheet,Pharmacy Issues & Receipts,"26,046.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421296,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,491.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421300,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"41,074.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421349,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421407,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"175,018.85"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1421413,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"38,675.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1422383,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"51,825.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1422442,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"43,885.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1423000,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"26,813.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1423685,Philips Respironics Uk Ltd,407850060,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,"31,163.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1423695,W  & I Craig (Civil Engineering) Ltd,220702418,Rf:Corona Virus Assessment Pod,Building Contracts,"27,246.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1423704,Cfes Limited,876320218,Tw:Covid-19 Stp,Building Contracts,"486,885.42"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1426281,University College London,524371168,Tw:Chief Executive,Consultancy Fees,"124,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1900,Imtech Low Carbon Solutions Ltd,263126326,Tw:Estates Maintenance,Msse Maintenance Contracts,"46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1901,Universal Sealants (Uk) Ltd,353895222,Ch:Mscp Refurbishment,Ic Building Contracts,"502,599.94"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,24/04/2020,1942,Corona Energy,577704800,Tw:Energy & Utilities,Gas,"39,624.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,27/04/2020,1420070,Ihi Institute For Healthcare Improvement,,Tw:Improvement  Faculty,Courses & Conferences,"149,528.17"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1159854,Central And North West London Nhs Ft,654970895,Rf:Diabetic Team,Healthcare Commercial Sector,"99,805.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1159855,Central And North West London Nhs Ft,654970895,Rf:Diabetic Team,Services Uclh Ft Clinical,"39,681.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1244831,University College London,524371168,Tw:Amit Nathwani Nihr Grant,Courses & Conferences,"52,172.23"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,13651,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"32,957.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1388272,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"82,581.71"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1393089,University College London,524371168,Rf:Haemophilia,Blood Products,"31,188.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1398170,Nhs Shared Business Services Ltd,848137212,Tw:Payroll,Other Non-Clinical Services,"54,864.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1405445,Castle Water Limited,189775040,Rf:Energy,Sewerage,"29,487.98"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1412991,Bates Office Services Limited,696521207,Rf:Covid-19 (Surge),Med&Surg Equipment Disposable,"68,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1414626,Olympus Keymed,250317495,Tw:Windfall Endoscopy Money,Med&Surg Equipment,"274,298.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1414693,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1414699,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1414752,Block Solutions Limited,GB 194 8850 54,Tw:Information Man And Tech,Other Non-Clinical Supplies,"154,919.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1414909,Interserve Catering Services Ltd,576994073,Rf:Pp Hotel Services,Contract Catering,"42,446.39"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1415581,Supply Chain Coordination Ltd (Capital),290885854,Hw:Hadley Wood Day Surgery,Msse Maintenance Contracts,"29,877.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1415936,Dictate It,835575990,Tw:Patient Systems,Other Non-Clinical Supplies,"37,578.02"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1416960,Mbi Healthcare Technologies Ltd,157524303,Tw:Performance Information,Other Non-Clinical Services,"114,819.66"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1421414,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"91,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1423278,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"70,125.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1423484,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1426958,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"262,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1426960,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"84,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1426961,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"30,450.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1427039,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"98,750.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1427041,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"79,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1427304,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"89,763.84"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1427325,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"154,095.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,01/05/2020,1986,Imtech Low Carbon Solutions Ltd,263126326,Tw:Energy & Utilities,Msse Maintenance Contracts,"46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,06/05/2020,1426341,Metier Healthcare Ltd,726536033,Bh:Pfi Project,Consultancy Fees,"2,997,159.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1007298,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Tw:Trust Board,Services Other Nhs Clinical,"50,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1072046,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Tw:Trust Board,Services Other Nhs Clinical,"50,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1135369,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Tw:Trust Board,Services Other Nhs Clinical,"48,700.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1152204,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Services Nhsts Non-Clinical,"75,579.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1239657,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"-101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1239658,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"-101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1249294,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"-101,584.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,07/05/2020,1249295,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Bh:Psychiatric Liaison Serv.S,Services Other Nhs Clinical,"-101,584.51"
